,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.1376034241991,0,0,0,0,0,0,0,0,0,0,-0.0977138993884999,0.434730208476014,0,0.688275734217543,0,0.0393179620914914,0,-0.127708449213827,0,0,-0.082268180190857,0,0.103755323126334,0,0,0,0,-0.135507819580493,0,-0.339562815464069,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.131378709435497,0,0,0,0,0,0,0,0,0,0,0.0387947864369989,0,0,0.326021270007376,0,0,0,0,0,0,0,0,0,0.121119340337276,0,0,0,0,0,0,0.200686633837303,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206721164994845,0.141539742881255
X601939.CH.EQUITY,0,0,0,0.803162523278057,0.00227046014590647,0.00150944091089642,0.0154944884527606,0,0,0,0,0,0.0107578448437818,0,0,0,0,0,0.052082450994774,0,0,0,0,0,0,0,0,0,0,0,0,0.0897112031054998,0.0418542365229493,0,0,0,0,0,0,0,0,0,0,0,0.0320710275863205,0,0,0.0379136184921024,0,0,0,0.0144990461079822
X601288.CH.EQUITY,0,0,0.920380271527468,0,0,0,-0.0678161523615824,0,0,0,0,0,0,0,0,0,0,0.116129469737086,0,0,0,0,0,0,0,-0.0148211940410702,0.0589039532971811,0,0,0,0,0,0,0,0,0,0,-0.103997588947938,0,0,0,0,0,0,0,0,0,0,0,0,-0.048385758608965,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.116706439900952,0,0,0,0,0,1.16075085507601,0,0,0,0,0,0,-0.1253002320766,-0.0110557152943622,0,0,0.0821256505338213,0,0,0.0613651312649712,0,0,0,0,0,-0.218656568909599,0,0,-0.252672906065901,0,0,0,0,0,0.0416612178155707,0,0.0878647543406488,0,0,0,0,0,0,0,0.190014259681434
X600036.CH.EQUITY,0,0,0.386078427224037,0,0,0,0,0,0.0082261201089847,-4.33680868994202e-19,0,0,0,0,0,0.132671563745757,0,0,0,0,0,0,0,0,0,0,0.189960623629776,0,0.016567351020479,0,0,0,0.175114154547875,0,0,0,0,0,0,0,0,0,0,0.0212515950572428,0,0,0,0,0,0.0102660442370822,0.00744002066591801,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.708645418334888,0,0,0,0,0.102298089726369,0,0,0,0,0,0.111117358782872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650386798638162,0,0,0,0,0,0.0898391344445721,0.158529973366047
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0228688267272436,0,0,0,0,0,0,0,0,0.207737422740836,0,0,-0.191743668992464,0,0,0.139755275228953,0,0.0154274858146939,0,0.290956140678198,0,0,0.11507380274284,0,0,0,0,0,0,0,0,0,0,0,0.383789063629157,0,0.0152134679337869,0,0.153434607987092,0.116971680258008,0.111229972656879
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0247443538159798,0,0,0,0,0.402806338118248,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.461946462277269,0,0.089043133736591,0,0.0172085979635874,0.311228462198382,0,0.0172391448028045,0,0,0,0,0,0,-0.378445421356901,0,0,0.139951148656641,0,0,-0.0592519001747056,-0.103763149877218,0,0,0,0,0.174953853404301,-0.0983483606216329
X388.HK.EQUITY,0,0,0,0,0,0,0.249945848950192,0,0,0,0,0,0,0,0,0,0,0,-0.235430221441911,0,0,0,0,0,0,0.390715755149062,0,0,0,0.0633776525647089,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.221946198857291,0.0367073157787595,0,0.0837285160931076,0,-0.220986407196317,-0.0713977037617149,0.0280414218356479
X601658.CH.Equity,0,0,0,0.224226015101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287480309856257,0,0,-0.100421111117759,0,0,0,0,-0.0683346010092361,0,0,0,0,0.0630325578608308,0,0,0,0,0,0,0,0,0,0,0,0.334332399377255,0,0,-0.00186176782788174,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.159298397037908,0,0,0.0140693227265037,0,0,0,0.0296388339682867,0,0,0.0764799692538998,0,0,0,0,0,0,0,0,0,0,0,0.107897296790188,0,0,0,0,0.661627353191223,0,0,0,0,0,-0.0298934608196745,0,0,0,0.0128859209338985,0.0118466185998912,-0.0210914143198526,0.00472045272645279,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.549453995101046,0,0,0,0,0.00140462071236897,0.0737458004705241,0,0,0,0.051375601783453,0.0885722519148728,0,0,0.0158053409793343,0,0,0,0.0412495674531474,0.0351431192371241,0,0.09800089083411,0,0,0,0,0,0.0611708359857667,0.0296352388826566,0,0,0,0,0,0,0,0,0,0,0,-0.0299570586000454,0,0,0,0,0,0,0
