,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.222842454931899,0,0,0,0,0.372389710002651,0,0,0,0,0,0.0285662174033336,0,0,0,0,0,0,0,0,0,0,0,0.254579393505544,0,1.38777878078145e-17,0,0.0173477021936195,0.0257069587878062,0,0,0.072956997410896,0,0.060815390223399,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898759801620097,0,0,0
X601318.CH.EQUITY,0,0,0.0902245793271708,0,0,0,0,0.0210897028233495,0.259592395505462,0,0,0,0,0.0388612585874016,0.318320523146713,0,0,0,0,0.07878421377674,0,0.0469440185845727,0,0,0,0,0,0.29583876516609,0,0,0,0.0408371324391044,0,0,0,0,0,0,0.0397648029255942,0,0,0,0,0,-0.116094925475593,0.0191596649769381,0,0,0,0,0.0633226532940251,0
X601939.CH.EQUITY,0.285370122556944,0.191997569721546,0,0,0,0,0,0.499599579240266,0.0863421386816305,0,0,0,0,0,0,0,0.0145798622601441,0,0,0,0,0,0,0,0,0,0,0.0635534417740771,0,-0.0184008626675557,0,0,0,0.0457479881522096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18282739703395,0
X600036.CH.EQUITY,0,0,0,0,0,0.155474888212489,0,0,0.0624003976931163,-0.103508359160553,0,-0.0999545329427611,0.145698806948493,0,0,0.154765984998929,0,0,0,0.16188588380736,0,0,0,0,0,0,0.399811678659715,0.0316951964902431,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716314802934497,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-2.16840434497101e-19,0.476674203582378,0,-0.0798041905038467,0,0.0436173330737614,0,0,0,0,0,0,0,0.0403244261157706,-0.00341635662761064,0,0.0584466721503013,0,0,0.173847443838391,0,0.0947293102839957,0,0,0,0,0,0.0997128598219686,0,0,0,0,0,0,0,0,0,0,0,0,0.0261159421969681,0,0,0,0.0773791120078091,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.10017062528955,0,0.223752791244711,0,-0.0297784210686746,-0.0259982126108263,0,0,0,0,0,0,0,0,0,0.190086775877409,0,0,0,0,-0.00122794948596335,0,0,0,0,0,0.145872787507772,0,0.064061912293984,0,0,0.169553035704587,0,0,0,0.186219256897333,0,0,0,0,0,0.217722065044903,0,-0.0896136175146114,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899257706119037,0,0,0,0,-0.164201870050744,0,0,0,0,0,0,0,-0.0263311980349909,0,0,0,0,0,0.459961636250665,0.0266026779697128,0,0,0,0,-1.73472347597681e-18,0,0,0.0108067498498926,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.5250737909729,0,0,0,-0.00800720175078129,0,0,0,0,0,0,0,0.286910025031627,0.135133441278653,0,0.0435132773398467,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418198476844356,0,0,0,0,0,0,0,0,0,0,-0.0982175003122969,0.00137932261797859,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0209253721021657,0.0846663680679243,0,0,0,0,0,0,0,0.163243340836028,0,0,0,0,0,0,0,0,0,0,0,0.0815566362656398,0,0.100921004513084,0,0,0,0,0,0,0,0,0.105617998760887,0,0.0850736605545206,0,0,0,0,0.376690670072694,0,0,0,0,0,0.0849469354793375,0,0,0,0,-0.0571654292952182
X388.HK.EQUITY,0,0,0,-0.21157532363669,0,0.300496003033005,0,0,-0.0209677006109622,0,0,0,0,0,0,0,0,0,0.0814476450121572,0,-0.136225877687527,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513581598172036,0,0,0,0,0,0.0460673105094177,0,0,0,0.261549674452029,0,0,0,0.108228692005447,0,0,0.157645656502286,-0.134245000301173
