,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.292286344112303,0.0283739795564256,6.93889390390723e-18,0,0,0.461507567275292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100396047792797,0.0411540076152266,0,0,0,0,0,0,0,0,0,0,0.07900035778522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.177051188075925,0,0,0,0,0,0.169192530774226,0,0,0.028027680585169,0.096277566533474,0,0.0459651930476331,0,0,0.0267938940683209,0,0,0.185531855614144,0,0,0,0,0,0,0,0,0,0.0247936588336001,0,0.035472119407027,0,0,0,0,0.0590473735560508,0,0,0.0321809948594482,0,-0.0728214587261941,0,0,0.0539668881699061,0,0,0,0,0,0.0806807816471877
X601939.CH.EQUITY,0.463978466504387,0.109539172965728,0,0,0,0,0,0.172554978712156,0,0,0,0,0,0,0,0,0.0190194929277622,0,0,0,0,-0.143679767010118,0,0,0,0,0,0,0.156667741425887,0,0,0,0.139813425606569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198757326295267,0.14168365573669,0
X600036.CH.EQUITY,0,0.0137114137365949,0,0,0,0.210009318392392,0,0.0756390525302269,0,0,0,-0.00571717721388208,0.202525284282575,0,0,0.0614218849748344,0,0,0,0,0,0,0,0,0,0.0801978771380611,0.066347376839954,0,0,0,0,0,0,0,0,0,0,0.0611248483575374,0.0369499627584307,0,0,0,0,0,0,0,0,0,0,0.379202141440825,-0.0812091647874677,0.0640829609064388
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.561147961290112,0,0,-0.0819233445835935,0.0376480555240887,0,0,0,0,0,0,0,0,0,0.0584446502145078,0.0756930699084357,0,0,0.105110576403998,0,0,0.113133934644538,0,0,0,0.055317553717977,0,0,0,0,0,0,0,0,0,0,0,0,0.0531468862813006,0,0,0,0,0.0057817825970508,0
X1299.HK.EQUITY,0,0,-0.20905502811484,0,0,0,0,0,0,0,0.107468392620126,0,0,0,0,0,0,0,0,0.0199477522851368,0,0,0.112246173330814,0,0,0,0,0,0,0,0,0,0.173986707700091,0,0,0,0,0,0.0957404771088299,0.163688739133869,0.0672235549889508,0,0.298365892115165,0,0,0,0.294927962089923,0,0,0,0,0
X601628.CH.EQUITY,0.0971490230119291,0,0,0,0,0,0,0,0,0,0.0262863733930071,0.0989191972795463,-0.0925933478398172,0,0,-0.280458634120926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672163194535751,0.0677244548562537,0,0,0,0,0.00110636628454425,0,0,0,0,0.0131591820848659,0,0,0.084667799562929,-0.0186409832083508,0,0.00645179152861257,0.206478431519641
X601988.CH.EQUITY,0.0754799109895786,0,0.0944995725501469,0,0.355704194320004,0,0,0,0,0,0,0,0.211353687889488,0,0,0,0.144142780780033,0,0.00640382921395549,0,0,0,0.00636416536086541,0,0,0.0196843049069567,0,0,0,-1.73472347597681e-18,0.126943861134103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123650652595319,0,0,0,0,0,0,0,0,0,0,0.00283352044077875,-0.0947241109060769,0,0,0,0,0,0,0.234301469599614,0,0.189707794499146,0.14061008699658,0,0,0,0,0,0,0,0,0.0603572849855355,0,0,0,0,0,0.198130021569834,0.0625133277836135,-6.93889390390723e-18,-0.0628838192955193,0.259339188434916,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0250197170042741,0,0,0,0.0707373724005397,0,0,0,0,0.0699800413635169,0.125150446809543,0,4.33680868994202e-19,0.092547432231324,0,0,0,0,0,0,0,0,0,0,0.154009425137178,0.00863956665658081,0.426232557885861,0,0,0,0,0,0,0,0,0,0,0.00296698231113543,0,0,0,0,0,0,0,-0.0266717392995871,0,0,0,-0.0713483898978939
