,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.266561042484016,0.13805823346093,0,0,0,0,0,0,0,0,0,0,0.130299325299182,0,0,-0.0276768444049433,0,8.67361737988404e-19,0,0,0,0,-0.353503020338465,0,0.0917307058744204,0.863306850362013,-0.18274332481219,0,0,-0.0746684679409361,0,0.097009590930886,-0.0266941543816299,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.241881419457874,0,0,0,0,0,0,0.12672859988638,0.109622605290995,0,0,0,0,0.111857026165704,0,0.04017571543993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115333597296321,0.0758115713195119,0,0,0.26438930902217,0,0,0,0,0,0,0,0,0,0,-0.111273221595172
X601939.CH.EQUITY,0.297747112374646,0,0,0,0.16764914916218,0,0,0,0,0.0325608621682653,0,0,0,0,0,0,0,0.0304112114409479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139886050781032,-0.108241816424499,0,0.107141138967647,0,0,0.419480496226031,0,0.0766658895486182,0,0,0,0,0,0,0,0,0.0235972402664602
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.58325205128637,0.321266801520337,0.0852987097400821,0.507349970908835,0,0,0,0.243189561940476,0.217438680160918,0,0,0,0,0,0,0,-0.326707137260273,0,0,0,0,0,0,0,0,-0.670130496782426,0,0,0,0,0,0,-0.372812128944353,0,0,0,0,0.241771264585371,0,0.312656624975328,0,0,0,0
X5.HK.EQUITY,-0.208944310985691,-0.0260288997609489,0,0,0,0,0,0,0,0,0,0,0,0,0.639441031772398,0,0,0.105950720676584,0,0.347150882451564,0,0,0.233567295173245,0.0988361798997003,0,0,0,0,0,0,-0.111431921692776,0,0,-0.153925594749747,0,0,0,-0.114653962722476,0,0,0,0,0.0252947519113772,0,0,0,0,0,-0.118455021659937,0.0804057150890919,0
X601988.CH.EQUITY,-0.101072376689991,0,0,0,0.374962888128229,0,0,0,0,0,0,0,0,0,0,0.0643250843300316,0,0,0.451428154593166,0,0,0,0,-0.110400621741859,0,0,0,0,-0.322337632027119,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0792325129235233,0,0,0,0,0
X600036.CH.EQUITY,0,0.225207365718899,-0.0660160909908058,0,-0.125170000427454,0.0308212352524516,0,0,0,0.671648878028599,0,0.0907610594353929,0,0,0,0,0.146470788077421,0,0,0,0,-0.0284041178187659,0,0.325032616599369,0,0,0.129609911940926,0,0,0,0,0,0,-0.230655802567535,0,0,0,0,0,0,0,0,0.0841841427003927,-0.146169512196765,0,0,0,0,0,0,0.0956243064303066
X1299.HK.EQUITY,0,0,0,0,0.198363385370298,0,0,0,0,0,0,-0.117386759947727,0,0,0,0.0557840907795401,0,0,0,0,0,0.139153606795207,0,0,0,0.167544385976018,0,0,0,0.0431090525727869,0,0.144370285387717,0,0,0,0,0,0,0,0,0,0,-0.121044492073697,0,0,0,0,-0.00873162488379663,0,0,0
X601628.CH.EQUITY,0,0.0631004164592055,0,0.00632623084871779,0,0,0,0,0,0,0.148859596612914,0,0,0.384298250236186,0,0,0,0,0.0078692653796535,-0.0214788460912095,0,0,0,0,0,0,0,0,0,0,-0.0645817700442969,0,0,0,0,0.0987464714965913,1.73472347597681e-18,0,0.136810036298319,0.0580557542869071,0,0,0,0,0,0.0500928944728117,0,0,0,0,-0.10362704658566
X601328.CH.EQUITY,0,0,0,0,0,0,0.470990421364747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539043166030449,0,0,0.213385645156733,0,0.172727086291673,0.13012174888378,0,0,0,0,0,0,0,-0.188041496497494,0,0,0,0,0,-0.0516398587915188,0.122541574300183,0,0,0,-0.0367860166849246,0,0,0,0,-0.255101256598822
