,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0.255628661318782,0,0,0,0,0.181055020049226,0,0,0,-0.073513028412401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359428163654576,0,0,0,0.0791836031511425,0,0,0,0,0.0520261111995329,0,-0.0504534376387586,0,0,-0.0815110551641149,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175003070404427,0,0.0712717474288852,0,0.296651828198429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741356881773983,0,0,0,0,0,0,-0.265294939674613,0.261608628598384,0,0,0.204515656813808,0,0,0,0,0,-0.0132332694586652,0,0
X601939.CH.EQUITY,0.249712375409174,0,0,0,0.102776472017873,0,0,0,0,0,0,0,0,0.13726865592437,0,0,0,0,0,0.0168935651320025,0.140604566980185,0,0,0,0,0,0.128230149769733,0,0,0,0,0,0,0,0,0,0,0,0.167650238692104,0,0,0,0,0.117503002578818,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.306047447875936,0.0295223264497324,0.0546458602647489,0,0.0539461298420489,0,0,0,0.0629794830324974,0,0,0,0,0,0,0,0,0,0,0,0.0618121615051546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0937825490067607,0,0,0.171042198653505,0.131418687723672,0,0,0.163597680664894,0,0,0,0,0.162812319493688,0,0,0
X5.HK.EQUITY,-0.000597133538599495,-0.240299168653354,0,0.388710919925593,0,0,0,-0.147369228721029,0,0,0.20572196268133,0,0,0,0,0,0.0780695365138589,0.104296820485704,0,0,0,-0.0880315682362477,0.479404007550108,0,0,-0.0380653243204051,0,0,0,0,0,0,0,0,0,-0.173318650515049,0,0,0,0,0,0.0976977245551416,0,0,0,0,0,-0.166713918710077,0,0.0408596722535881,0
X601988.CH.EQUITY,0,0,0.147213115897778,0.16986636519436,0,0,0,0,0.0833265853740078,0.140261994376828,0.295146351255829,0,0,0,0,0,0,0,0,0,0,0,0,0.0107492479505566,0,0,0,0,0,0,0,0,0,0.0643561369814514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.133781922572885,0.151305510155533
X600036.CH.EQUITY,-0.0622093925055489,0.173549972798684,0,0,0,0,0,0,-0.00283038708330248,0,0,0.138799642362945,0,0.254416822586235,0,0,0,0,0.170393435120644,0,0,0,0.00859933858922975,0,0,-0.0424184031051563,0,0,0,-0.02484895896481,0,0.161956419088982,0,-0.0318277558334857,0,0,0.0980195067493762,0,0,0.0747825994563407,0.210933112277057,0,0,0,0,0,0.0725244362354783,0,0,0.1012049220581,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.064196262726149,0,0,0,0,0,0,-0.0643674568022964,0,0,0,0.0737531542093939,0.144085359240234,0,0.156782505158914,0.114106065581374,0.0785662400569783,0,0,0,0,0,0.180795912347953,0,0,0,0.0358717385763121,0,0,0,0,0,0,0,0,0,0,0,0,0.0772308078418776,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0457081327287436,0,0,0,0,0.0486036990108502,0,0,0,0,0,0.140397331962545,0,0,0,0,0,0,0,0,0,0,0,0.0363520013715108,0,0,0,-0.117950797778106,0,0,0,-0.0176988736156477,0,0,0,0.417175709702759,0,0,0,0,0,0,0,0,0.0434393836750955,0.0880926302343281,0.00450577375918727
X601166.CH.EQUITY,0,0,0.0214922524131737,0.102805608400761,0,0.151485552622829,0,0,0.0164405090763467,0,0,0,0,0,0,0.196155780830994,0,0,0,0,0,0,0,0,0,0.105259397449792,0,0,0,0,0,0.333447577414746,0,0.13234531740972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169335112957067
