,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.245134346388642,0,0.253457625415479,0,0,0,0,0,0,0,0.0467532369496521,0.247382162421468,0,0,0,0,0.061448886633011,0,0,-0.139738321055445,0,0,0,0,0,-0.0994030996883035,0,0,0,0,0,0,0,0.018008654219589,0,0,0,0,0.0596375327983535,0,0,0,0,0,0,0,0.0885505241933887,0,0,0,0
X601318.CH.EQUITY,0,0,-0.0572614186420843,0,0,0.0645134046231656,0,0,0.220664382609205,0,0,0,0.132814800645743,0,0,0,0.215607029503597,0,0,0,0,0,-0.0158839849743072,0,0,0,-0.11548348665408,0,0,0,-0.148491693361093,0,0,0,0,0.222511978797307,0,0,0,0.13630878163253,0.288422631683739,0,-0.245142459636447,0.250081373926999,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.611492227720284,0,0,0,0.0243798408008307,0,0,0,0,0,0.136910090808657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350260957010674,0.00594955023885259,0,0,0,0,0.0435144582594425,0,0,0.258559507391321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.346406932242118,0,0,0,0,0.387007187116252,0,0,0,0,0.0306380343853644,0,0,0,0,0,0.0499511824417521,0.122020994550603,0.00639882537488653,0,0,-0.0687005238789221,0,0,0,0,-0.0151840806562317,0,0,0,0,0,0,0,0,-0.0661595848727208,0,0,0,0,0,0,0.166016285275335,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.156071749772428,0.0667886051570231,0.153712184948974,0,0.0980782987255795,0,-0.0926550864027049,0,0,0,0,0.178338787163062,0,0,0,0,0,0.496842418540498,0,0.0122215709784437,0,0,0,0,0,0,0,0,0,0.307550556628265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159169494903303,-0.00935562501921489,0,0.0959424897504429,0
X601988.CH.EQUITY,0.105862996323233,0.147305860544153,0.299448352825292,0,0,0,0,0,0.103969930841799,0,0,0,0,-0.054964752484697,0,0,0,0,0.120455125503969,0,-0.0416507794049617,0,0,0,0,0,0,0,0,0,0,0,0,0.164852390568677,0.118173746247627,0,0,0,0,0,0,0,0,0.0354380697893866,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.1597832235308,0,0,0.0290421741315076,0,0.135598397673854,0,0.356033478844901,0,0.0420155068270859,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0737079023515565,0,0,0.11388891289979,0,0,-0.0205514841836203,0.0741290458894098,0,0.0271292360156665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0940873893261771,0,0.179383923932463,0,0.0331195596007828,0,0,0,0,0.0581903986465333,0,0.369736064419075,0.0252168297700442,0,0.0575254321717262,0,0,0.0168040662095168,0,0.162629411576148,0,0.0645701956567857,0,0,0,0.00363528071901644,0,0,0,0.0211127345562573,0,0,0,0,0.00485371131374366,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.255248242491496,0.148985638072077,0,0,0,0,0,0.134715479526451,0,0,0,0,0,0,0,0,0,0,-0.24766294485186,0,0.0479902525093465,0,0,0.0537028371985221,0,0.0102649368143227,0,0.0350141661576176,0,0,0,0.154759238810782,0.104736820969319,0,-0.0747654995297103,0,0,0,0,0,0,0,0,0,0,0,0.0947803633056432,0,0,0,0,0.128848660677311
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.116737875388803,-0.520336938193406,0,0,0,0,0,-0.0497091644913453,0,0,0,0,0,0.795553486838036,0,0,0,0.0183752892544183,0,0,0,0,0,0,0,0,0,0,0,-0.568378679713091,0,0,0.189176162247296,0,0,0.0890983640583084,0.256368070847453,-0.119229338009587,0,-0.0168722505372815,0,0.0151951913488957
