,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.268445122861947,0.164751374626179,0,0,0,0,0,0,0,0,0,0,0.194231207966529,0,0,0,0,0,0,0,0,0,-0.301689743367994,0,0,0.891151088721166,0,0,-0.177321936650591,-0.0394071893253246,0,0.0550885073518918,-0.0306700351096022,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.243202799733625,0,0,-8.67361737988404e-19,0,0,0,0.127126070629031,0.106864167881741,0,0,0,0,0.111292489989043,0,0,0.0402498321349736,0,0,0,0,0,0,0,0,0,0,0,0,0.116064803391967,0.0761011368955284,0,0.265916781117536,0,0,0,0,0,0,0,0,0,0,0,-0.111849164817791
X601939.CH.EQUITY,0.288838453269826,0,0,0,0.115366160469904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160318872703768,0,0,0,-0.124841831449948,0,0,0,0,0.468706378656635,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.500587018069579,0.177383534257583,0,0.465883614819546,0,0,0,0.498087665063001,-0.268067183742572,0.1083148718748,0,0,0,0,0,0,-0.18686357200068,0,0,0,0,0,0,0,-0.604208266600133,0,0,0,0,0,0,0,0,0,0,0,0,0.229965525175161,0,0.144673550298711,0,0,0,0
X5.HK.EQUITY,-0.0289429934509529,-0.0713930234404078,0,0,0,0.0733609625926571,0,0.00718692937453053,0,0,0,0,0,0,0.0908773294325044,0.0582341773811125,0,0,0,0.844835789400107,0,0,0,-0.190685674170112,0,0,0.0691969751475669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137158835469425,0,0,0,0,0.112810389444348,0,0,0
X601988.CH.EQUITY,-0.293309713836899,0,0,0,0.416297452471826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649986862189463,0,0,0,-0.099036747284638,-0.0461920796459108,0,0,0,0,0,-0.44605779491217,0,0,0,0,0,0,0,0,0,0.147214827442419,0,0,0,0,0,0.0978560933700535,0,0,0,0,0
X600036.CH.EQUITY,0,0.279831658811191,-0.0695705665609075,0,-0.077686932783125,0,0,0,0,0.685917669767728,0,0,0,0,0,0.105810823566871,0,0,0,0,0,0,-0.0732682575003265,0.314159283618695,0,0.128097969272208,0,0,0,0,0,0,0,-0.246633336300083,0,0,0,0,0,0,0,0,0.00607206652334173,0,0,-0.0803316245768587,0,0,0,0,0.0391560072469819
X1299.HK.EQUITY,0,0,0,0,0.278330827384745,0,0,0,0,0,0,-0.06704618953384,0,0,0,0,0.0211633820519175,0,0,0,0,0,0,0,0,0,0.169096765207354,0,0.101595403919322,0,0,0,0.117241098490985,0,0,0,-0.0139746773856363,0,0,0,0,0,-0.0987239094133539,0,0,0,0,0,0,0,-0.016158202755081
X601628.CH.EQUITY,0,0.0580414284322472,0.000201501046964788,-8.67361737988404e-19,0,0,0,0,0,0,0.158540014108704,0,0,0.385954188913588,0,0,0,-0.0076784990090853,0,-0.0181892582040652,0,0,0,0,0,0,0,0,0,0,-0.066136944608573,0,0,0,0,0.109515133703278,0,0.136121910140881,0.0651130616706904,0,0,0,0,0,0,0.0415823494276186,0,0,0,0,-0.107841827334285
X601328.CH.EQUITY,0,0,0.0306106882801707,0.0378488166128288,0,0,0.530546158340017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394655917139914,0,0,0.244900109720511,0,0,0.219350426919467,0,0,-0.0290322721867341,0,0,0,0,-0.138678754175269,0,0,0,0,0,-0.0242865020341917,0.10436725033571,0,0,0,-0.151442383357675,0,0,0,0,-0.164798275946789
X601166.CH.EQUITY,0,0,0,0.270666608124874,0,0,0,0,0,0,0,0.217919152805933,-0.000877691485383368,-8.67361737988404e-19,0.00234440240994251,0,0,0,0,0.0625985765922891,0,0,0.110422063834232,0,0,0,0,0,0.174755275955863,0,0.0878241621829901,0,0,0,0,0,0.0398099561448887,0,0,0,-0.0295022558449347,0,0,0,0,0,0,0,0,-0.0223456687977241,0
X600000.CH.EQUITY,0.0106706079193246,0,0,0,0,0,0.24714641059441,0,0,0.384710124145168,0.133335739004357,0,0,0,0,0,0,-0.191874322591257,0,0,0,0,0.103803974191651,0,0,0,0.218573035438781,0,0.0800684467140512,0,0,0,-0.139676736339872,0,0,0,0.0445247754063425,-0.247519702569095,0,0,0,0,-0.0855912004063751,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386604329527395,0,0,0,0,0,-0.0570811895818004,0,0.107914627567995,0,0,0,0,-0.0744382490763744,0,0,0,0,0,-0.010857451595057,0,0,0.402283844858781,0,0,0,0,0,0,0,0,0,0,0,-0.139771695592709,0.0379403888845385,0,0
X601601.CH.EQUITY,0,0.0337615426331014,0,-0.0608809350629685,-0.0769644503680948,-0.159638939352828,0.0351357360437342,0,0.686201388259688,0,0,0,0,0,0,0,0,0,0,0,0,0.0443466176418641,0,0,0,0,0,0.17885427325986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319981759266084,0,0,0.105045552664626
X000002.CH.EQUITY,0,0,0,0,-0.0414273653692738,-0.0768407808773918,0,0,0,0,0,0,-0.100064526956187,0.282328158104531,0,0,0.0581981024157502,-0.0774444086952053,0.268231036592167,-1.0842021724855e-19,0,0,0,0,0,0,0,0.256174821681796,0,0,0.2354451645775,0,0,0.466088204384263,0,-0.0778396793545745,0,0,0,0,0,0,0.0730200077766856,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.0296834977119982,0,0.17620958138434,0.0225787164086566,0,0,0,0,0,0,0,0,0,0,0,0,0.097069153598723,0.374289596043122,0,0,0,0,0,0,0,0,0.0192209809562306,0.434666729667721,1.38777878078145e-17,0,0,0,0,0,0.181249391586793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
