,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.465199468272171,0,0,0,0.0665880154408788,0,0,0.00889179508865368,0.117635995637492,0,0,0.165046343180131,0,0,0,0.0731193159410271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588751798432791,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0293819499637627,0.0982992457867919,0.265117138380099,0,0,0,0,0,0,0.0531210438831544,0,0.325176806934293,0.0889710900613006,0,0.064834591341192,0,0,0,0,0.0250941855825635,0,0,0,-0.0396394875886043,0,0,0,0,0,0,0,0,0,0.0508054306524646,0,0.0019488727351645,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.135622688660953,0,0,0.495798475816267,0.0910265343635423,0.0745373245255412,0,0,0,0.0668526388651669,0,0,0,0,0,0,0,-0.0336615388191843,0,0,0,0,0,0,0,0,0,0.199335257639966,0,-0.0106410770024024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454152985943995
X601288.CH.EQUITY,0,0,0.15953977831474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288748178114001,0,0,0.124282977632883,0,0,0,0.0767611160143569,0,0,0,0.0532597992214833,0,0,0,0,0,4.33680868994202e-19,0.0856353410218954,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565688199442007,0,0,0.206149055030402,0,0.206667449793258,0,0,0,0.21197299485119,-0.00846587739474051,0,0,0,0,0,0.195461871136043,0,-0.242529649186889,0,0,0,0,0.0447041240805597,0,0,-0.0597585805632691,0,0,0,0,0,0.196417767863214,0,0,0,0,0.0805358690616594,0,0,0,0,0,0,0.171792828316543,-0.00758541071862504,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.263877306660155,0,0,0,0.107569373508906,0,0,0,0,0,0,0.0353883310059463,0.109209540035182,0,0,0,0,0,0,0,0.0891549556779253,0,0,0,0,-0.192156624909365,0,0.0607009159847069,0,0,0,0,0,0,0,0,0,0.0803341837695605,0,0,0,0,0,0,0,0.151722309527985,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141732474175714,0,0,0.123309717772097,0,-0.106510484237026,0,0,0,0,0,0.502285522922184,0,0,0.0796212293481565,0,0,0.0932238284540789,0.124173181463057,-0.065579263646607,0,0,0,0.0596992805102167,0,0,0,0,0,0.264169010601329,0,0,0,0.129793357419905,0,0,0,0.0655196655004434
X1299.HK.EQUITY,0,0,0,0,0.133652973661748,0,0,0,0,0,0,0,0,0.0460705291607651,0,0,0.191478959949331,0,0,0,0,0,0,0,0,0.0375664909638962,0.159771050272089,0,0.153396613247442,0,0.0480931080701829,0,0,0,0.111378764135244,0,0,0,0,0,0,0,0,0,-0.0944403116152616,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.18252157284949,0,0.164811782368098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068242922647699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075539621866549,0,0,0.386990071329022,0,0,0.0348673474513006,0.018720372372477,0,0.133406296188319,0,0.056361416999809,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.362418707289372,0,0,0,0,0,0,0,0,0.412070435448781,0,0,0,0,0,0,0,0,0.023937900239865,0.0716700348245067,0.132504055667118,0,0,0,0,0,0,0,-0.00773155465801177,0,0,0.0109607353426921,0,0,0,0,0,0.0897975829945754,0,-0.0516217535642626,0.213450636145778,0,0,0,0.0798628416575573,0,0,0,0
X601166.CH.EQUITY,0.0373171653590431,0,0.163758400929307,0,0,0,-3.46944695195361e-18,0,0,0.264404381398648,0,0.295637558651025,-0.0200888440257174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111403867158533,0.04875759021372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383967180530462,0
