,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,1.73472347597681e-18,0.0358370651780887,0,0.0946488210813028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095369420850701,0.453033199045663,0,0.684593026361114,-0.0684368104600467,0,0.151998488216375,0,0,0,0,0,0,0.0173401479358429,-0.250846771497914,0,0,0,0,0,0,0,0,0,0,-0.282924631095525,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.140484765535333,0,0.0064175814851301,0,0,0.0352633547777091,0,0,0,0,0,0,0,0,0,0.444754093261772,0,0,0,0,0,0,0,0,0.145961952771498,0.00515844073390677,0,0,0,0,0,0,0,0,0,0.143696887951994,0,0,0,0,0,0,0,0,0,0,0,0.139731571786907
X601939.CH.EQUITY,0,0,0,0.854522189770809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767464062875929,0,0,0,0,0.100689426189585,0,-0.0530272026936799,0,0,0,0,0,-0.019326616575039,0.0437136390348369,0,0,0,0,0,-0.0415862108163988,0,0,0,0,0.0589556408253617,0.000151866427198983,0,0.0391830375695045
X601288.CH.EQUITY,0,0,0.881522042542108,0,-0.0745996729357757,0,0,0,0,0,0,0,0,0,0.0206365616271983,0,0.063675238486611,0.11820338324727,0,0,0,0,0,0,0,0,-0.0312936263021848,0.0527450275554951,0,0,0,0,0,-0.0176054269332051,0,0,0,0,0,0,-0.109329934724971,0,0,0,0,0,0,0,0,0,-0.0356528487560986,0
X601628.CH.EQUITY,0,0.0492032776640025,0.0222268549977881,0,0,0,0.294432403818903,0,0,-0.0471104049116852,0,0,0,0,0,0,0,0,0,0,0,0,0.0440908740572023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126932525799499,0,0.133964211542966,0,0,0,-0.0285432962248088,0,0.0579902485338434,0,0.0911706281575959,0,0.105483101675354,0.0872798227089282,0.0584510116153821
X601988.CH.EQUITY,0.0809552969629715,0,0,0,-0.284629588116705,0,0,0,0,0,0,0,0,1.10200055306201,0,0,0,0,0,-0.10843099950451,-0.0017681850165011,0,0,0,0,0,0,0,0,-0.00711086457403628,0,0,0,-0.190068266280394,0,0,-0.0725966092064569,0,0,0,0,0,0,0,0,0,0,0,0,0.172177644520899,0,0.23940977423059
X600036.CH.EQUITY,0,0,0.306105924930245,0.159614629627965,0,0,0,0.101141847751859,0.0840547901740415,-0.068079177972151,0,0,0,0,2.16840434497101e-19,0.0470048094167425,0,0,0,0.0122010790566409,0,0,0,0,-0.0188572948872525,0,0,0.0184044058806516,0,0,0,0,0,0.254201015351211,0,0,0,-0.0620468216067121,0,0,0,0,0,0,0,0,0,0.0813554454083977,0,0,0.0191141167904025,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0968228304311045,0,0,0,0,0,0,0,0,0.200684241527681,0.0405409966300446,0,-0.0525088203148296,0,0,0,0,0,0,0.207368108100226,0,0,0,0,0,0.153354264364453,0,0.0382354553548311,0,0,0,0,0,0,0,0,0.34441739441823,0,0,0.179826156219635,0.101149248064298
X5.HK.EQUITY,0,0,0,0,-0.178347467595094,0,0,0,0,0.0979248731436206,0,0,0,0,0,0,0.382643071953381,0,0,0,0,0.157471065813565,0,0,0,0.305413770986217,0,0.107500598771172,0,0.0927968548083984,0.0212203594523908,0.000518825823246613,0,0,0,0,0,0,-0.153270999936552,0,0,0,0,0.128615065533922,0,0,0,0,0,0,0.026094904443212,-0.120769849466954
X388.HK.EQUITY,0,0.245064992251158,0,0,0,0,0,0,0,0,-0.0132405571946065,0,0,0,0.0370333521924949,-3.46944695195361e-18,0,0,0,0,0.490569663143217,0.253393095877927,0,0,0,0,0,0.141165889425368,0,-0.217384381693803,0,0,0,0.0625576031341677,0,0,0.188111741029551,0,0,0,0.00784531958082577,0,-0.517232402856889,0,-0.133342836718249,0,0,0,0,0,0,0.0498277085455526
X601658.CH.Equity,0,0,0,0.232975172258227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224879162149665,0.0490322439004238,0,-0.110390817746908,0,0,0,0,0,-0.131662660145117,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.387440248732546,0,0,0.0634952354942267,0,0,0,0.00233273555292989,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00514069004488155,0,0,0,0,0.236401543668395,0,0.065565079806946,0,0,0,0,0,0,0,0,0,0.0494096178074019,-0.00395684625929772,0,0,0,0,0,0,0.340925519400178,0,0,0.0604671519205347,0,0,0,0.0658408677908347,0,0,0,0,0,0.0036947340820547,0.0929828726412309,0,1.38777878078145e-17,0,0.0150472396114585,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0491939703954788,0,0,0.421248160278606,0,0,0,0,0,0,0,-0.0343752799697736,0,0,0,0,0.233930596879695,0,0,0,0,0,0,0,0,-0.0427151928410799,0,0.196612709025941,0.0233537901987943,0,0,0,0,0,0,0.010288373201732,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00524842812322928,0,0,0,0.577561492231693,0.00908710617772878,8.67361737988404e-19,0,0,0.0457770615444849,0,0,0,0,0.093439979243719,0.076105345710186,0,0,0,0,0,0.0263558708001647,0,0,0,0.0370181083107896,-1.73472347597681e-18,0,0,0,0,0,0.0877410613271083,0,0,0,-0.0294915882129621,0,0,0,0,0,0,0,0,0,0,0,0.0270151304814398,0,0
X601328.CH.EQUITY,0.198025863571001,0,0,0.134364890392755,0,0.0242086051863297,0,0,0,0,0,0,0,0,0,0.0802927762888401,0,0,0,0,0,0,0.242474920148096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0694816163579379,0,0.0338731258445172,0,0,-3.46944695195361e-18,0.00345790413884636,0,0,0,0,0,0.448777364125586,0.165285940769572,0,0,0,0,0,0,0,0,0,0,0,0.00846551379849138,0,0.0136246418986484,0.092875558984367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0093261774953163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102505479259338,0,0,0,0,0,0,0.117331100445868,0,0.00280173966920063,0,0.0938164885688897,0,0.156052205632566,0.27866107318701,0,0,0,0,0.0342638335767372,0,0,0,0,0,0,0,0,0.0442421184220277,0,0,0,0,0,-0.0106149297756183
