,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.484859135137342,0.0899680803509704,0,0,0,0,0,0,0,0,0,0.0816412421315835,0.0668166071432338,0,0,0,0,-0.143773284325575,0,0,0,0,0,0,0,0,0.024735113379374,0,0,0,0,0,0,0.0485305678681493,0,0,0,0,0,0,0,0,0,0,0.100375351431534,0.182408643495451,0.0392204601585275,0,0
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0,0,0
X601939.CH.EQUITY,0.331715770966147,0,0,0,0,0,0,0,0,0,0,0,0,0.456194884862993,0,0,0,0,0.14864680951728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104734652374197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.347944787877844,0,0.017139624281964,0,0.506022453152589,0,0,0,0,0,0.0105264181974528,-6.93889390390723e-18,0,0,0,0.0488394271052114,0,-0.0318625678425467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004349036497324,0,0,0,0,-3.46944695195361e-18,0,0,0.0857223428137373,0,0,0
X601988.CH.EQUITY,0,0,0,0.109221008283152,0,0,0,0,0,0,0,0.500006341112304,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0208084416771532,0,0.00742625141997735,0,0,0,0,0,0,0,0,0,0.104773881000567,0,0,0,0,0,0.112225157049657,0,0,0,0,0.0312712232785038,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.176004544146189,0,0,0,0,0,0,0,0.278858584912036,0,0,0,0.415563807141276,0.266733256343552,-0.619888432183632,0,0,0,0,0.0117703946663325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31728763376952,-0.148229994862432
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121516541877335,0.0260930322970222,0,0,0,0.0888930370368094,0.0843221496391183,0,0,-1.38777878078145e-17,0,0,0,0.0707858780606254,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.313038005649492,0,0,0
X601628.CH.EQUITY,0,0,0.264630786106568,0.0322125769505214,0.226387414957783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539740797576579,0,0,0.132113448008818,0,0,0,0,0,0,0,0.110452479019794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.265902615275788,0,0,-0.0725714420029768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140593843205168,0,0.395223079733508,-0.360689940834065,-0.0738953278542117,0,0,0,0.841279002849703,0,-0.0553401235420579,0,0,0
