,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.205039703269351,0,0.0322730925529479,0.00213989833494409,0,0.393221143672025,0,0,0,0,0,0,0.00814637506499374,0,0,0,0,0,0,0,0,0,0,0.250349319974878,0,0.0427176375477088,0,0,0,0,0,0.0863744653993293,0.0532544940619381,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926698974799756,0,0,0
X601318.CH.EQUITY,0,0,0.114179732398168,0,0,0,0,0,0.249379358602721,0,0,0,0.0351112020144476,0.267093634385414,0,0,0.0650609322168016,0,0,0,0,0.0034146736971909,0,0,0,0,0,0.166384997710127,0.221837724629606,0.0648807723750238,0,0,0,0,0,0,0,0,0.00764665606129521,0,0,0,0,0,-0.113128166466209,0,0.0719363192484804,0.0175370977871301,0,0,0,0
X601939.CH.EQUITY,0.315157140353798,0.0593282204058032,0,0,0,0,0,0.296199509557692,0.253150146647359,0,0,0,0,0,0,0.0869627908535151,0,0,0.106630539427859,0.0520391616894044,0,0,0,0,0,0.0375462211046185,0.0999830560232429,0,0.153515217999459,0,-0.0350549207386175,0,0,0.0958524984850406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078211694167877,0.1121061788314,0
X600036.CH.EQUITY,0,0,0,0,0,0.195280085631994,0,0,0.0484294853802796,-0.128888863899247,0,-0.0424067471970398,0.0853872439140448,0,0,0.128751626224912,0,0,0.113065683172029,0,0,0,0,0,0,0,0.442492753730389,0,0.0302927263664767,0,0,0,0,0,0,0,0,0,0,-0.0488785333930319,0,0,0,0,0,0,0,0,0,0,-0.0107636510608951,0
X601288.CH.EQUITY,0,0,0.105344441762505,0,0,0,0,0.486880048631179,0,-0.0557458138269112,0,0.047103904966064,0,0,0,0,0,0,0,0,0,0,0.141732007053571,0,0,0.0678727421103408,0,0,0.134557637911891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163566677973011,0,0,0.00280723477144652,0,0
X1299.HK.EQUITY,0,0,-0.1035170372247,0,0,0,0,-0.0373077922790509,0,0.216183037807263,0,-0.0748669859150552,0,0,0,0,0,0,0,0,0,0,0.162194301800749,0,0,0,0,0,6.93889390390723e-18,0,0.0748418637824729,0,0,0.160445833657596,0.0232983470354346,0,0,0,0.209511373532916,0,0,0,0.201831302263969,0,0,0.0615392374992376,0,0,0.184699648235875,0,-0.0549346100441987,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134539207625283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428021401802907,0,0,0.0585862926093962,0,0,1.73472347597681e-18,0,0,0.044064430450078,0,0,0,0.000156822702506125,0
X601988.CH.EQUITY,0,0,0,0,0.527353800772056,0,0,0,-0.00796010386970678,0,0,-5.42101086242752e-20,0,0,0,0,0,0.283217862144069,0.04325343914444,0.147523730711197,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419412396427123,0,0,0,0,0,0,0,0,0,0,-0.0982826472036752,0,0,0.00141422019578916,0,0,0,0
X5.HK.EQUITY,0,0,0.00879196571199663,0,0,0,0,0,0,0,0.156398006549295,0,0,0,0,0,0,0,0,0,0,0,0.239962757823571,0.0505981000296526,0.0770211101336908,0,0,0,0,0,0,0.0156771806363036,0,0.217561769257447,0,0,0,0,0,0.293653153606064,0,-6.93889390390723e-18,0.141269149692169,0,0,0,0.0985185234390486,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.0993357155786953,0,0.0606750085053705,-0.111027548432107,0,-0.0825275449735743,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.0269588914157608,0,0,0,0,0,0,0,0,0,0,0,-0.216951590015773,0,0,0,0.0900119574564434,0,0,0,0,0,0.540179700995462,0,0,0,0,0.108325094110801,0,0.169580400189614,0
