,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.254000886794208,0,0.37585255854594,0,0.0825630356557824,0.0398211885736685,0,0.0294639053227062,0,0.0404402407776455,0,0,0,0,0,0,0,0,0,0,0,0,-0.0998961508506505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978954853486369,0,0.125732866438135,0
X601939.CH.EQUITY,0.41118911718514,0,0,0.197419417636763,0,0,-0.138733892973827,0,0,0.00623287325377896,0,0,0.164688971282699,0,-0.0652656335151748,0,0,0,0,0,0,0,0,0,-0.00793374766562294,0,0,-0.0304165745358155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272838098412706,0.013101411002379,0,-0.086305561698661,0
X601318.CH.EQUITY,0,0,0,0,0.216548202182055,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260356148680814,0,1.38777878078145e-17,0,0,0,0,0.181052997352427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258934327253735,0,0,0,0,0.218581635230313,0,0,0,0,0,0,0.110925815828168,0,0
X601288.CH.EQUITY,0.500273392858188,0,0,0,0.198608800062314,0,0,0,0,0,0,0,0.0746831459505964,0,0,0,0,0,0.0129216744032117,0,0.117491050718789,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0508066461432522,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381086012197368,0,0,0,0,0,0.26432557922492,0,0,0,0,0,0.355030379612112,0.0873546398787612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.367502152509432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.00225682971411699,0,0,0,0.325081363051901,0,0,0,0,0.0671360318128172,0,0,0,0,0,0,0.00715740332206069,0,0,0,0,0,0.0464748537484672,0.174025954074193,0,0,0.0705208345254607,0,0,0,0,0,0,0,0.180937082704932,0,0,0,0,0.10650602912839,0,0.0171091437510876,0,0,0
X1299.HK.EQUITY,0.0759513248020586,0,0,0,0,0,0,0,0.134434340666742,0,0,0,0.101291071490289,0,0,0,0,0,0,0,0,0,0.0102377993540586,0,0,0,0.225814524590117,0,0,0,0,0,0,0,0,0.178415246346026,0,0,0,0,0,0,0.0718943730615846,0,0,0,0.106829678383598,0,0,0,0,0
X5.HK.EQUITY,0,-0.0593338163075227,0,-0.193024840496249,0,0,0,0,0,0,0,0,0.0465666658536727,0,0,0,0,-0.0160301806126008,0,0,0.100279054504996,0,-0.630402910981297,1.10971540699954,0,0,0,0,0.409743706619823,0,0,0,0,0,0,0,0,0,0.418224974397334,0,0,0,0,-0.0945994827091108,0,0,0,0,0,0,0.102009013166136,0
X601628.CH.EQUITY,0.0407734736094086,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.146156684567861,0,0,0,0,0.188421600544384,0,0,0.0118640233100352,0,0.135889059944869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843787418725312,0.0863023327171869,0,0,0,0,0.0456952736727597,0.0193003291616913,0,0.0892886686432086,0.00604013925097311
X601658.CH.Equity,0,0,0,0.050890928629633,0.158784995701751,0,0,0,0,0,0,0,0.27132156264615,-0.0430564557864757,0,0,0,0,0,0,0,0,0,0,0,0,0.109619310851659,0.203048766811609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374062699248807,0,0,0,0
X601328.CH.EQUITY,0.119236968169699,0,0,0.298068732843728,0,0,0,-0.0980625419744315,0,0,0,0,0,0.163340537590983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291695832981761,0,0,0,0.169614500745575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671678720470605,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.431452550586084,0,0,0,0,0.0357498904289155,0,0.00709013815519867,0,0,0,0.0297367513027539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219980166717874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403484175038054,0.0372879398877854,0.105061632436865,0.047185010995392,0,0,0
X600000.CH.EQUITY,0.137135534002401,0.0815250234755948,0,0,0.0938458685788829,0,0.0126790420668706,0,0.0130179708093788,0,0,0,0,0,0,0,0.107707447566656,0,0.0810221622981715,0,-3.46944695195361e-18,0.141113493773346,0,0,0,0,0.0437869816700761,0,0,0,0,0,0.0621175558060776,0,0,0,0,0,0,0,0,0,0.0122843760466213,0,0,0,0.0708954219403488,0,0,0,0,0
X388.HK.EQUITY,0,0,0.242682191301805,0,0,0,0,0,0,0,0,0.0294809628248734,0,0,0,0,3.46944695195361e-18,0.107181020725645,0.0395635917192279,0.210345391375809,0,0,0.0725442025209741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632150197840379,0,0,0,0,0,0,0,-0.0781977332172337
X000002.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112131083596617,0,0.382028186056253,0,0.108762756204516,0,0.0578836745283036,0,0.170601755589773,0,0,0.0727517118657773,0,0,0,0,0,0,0,0,0,0,0,-0.0335837861309461,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228963206415065,0,0,0,0,0,0.0151822713844529,0,0.0276324215557795,0,0.206090927113408,0,0,0,0,0,0.0422128258000459,0,0,0.0974028613247966,0.305327530786767,0,0,0,0,0.076116455146725,0,0
X000001.CH.EQUITY,0,0,0.0842140502050991,0,0,0.30544268234827,0,0,0,0.122769014950939,0,4.33680868994202e-19,0,0,0.147077011883232,0,0,0,0,0,0,0,0,-0.0473443412898535,0.125646970708734,0,-3.46944695195361e-18,0,0,0,0,0.179493406322216,0,0,0,0,0,0,0.0365837848894959,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026067533215255,0,0,0,0,0.200792546650615,0,0,0,0.113902777047586,0,0,0,0,0,0,-0.119352103779188,0,0.264806491164051,0,0,0,0.175093730429197,0,0.194300072101809,0,0,0,-0.156162738680155,0.188787997805985,0,0,0,0,0,0,0,0,0
