,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.12140415927972,0,0,0,0.208754710767436,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.236207324716679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295940135314761,-0.0149534412268087,0,0.0511504832711767,0
X601939.CH.EQUITY,0.205566730699251,0,0,0.329772856221186,0,0,0,0,0,0,0,0,0,0.260468129359641,-0.0215791064873321,0,0,0,0,0,0.000981754992373999,0,0,0,-0.10949786386042,0.235427919006597,0,0,0,0,-0.108087747071671,0,0,0,0,0,0,0,-0.0222704512284919,0,-0.0384370877762551,0,0,0,0,0,0,0.0797816178370586,0,0,0,0
X601318.CH.EQUITY,0.0445829441917785,0,0,0,0.213303189464876,0.0432760466947544,0,0,0,0,0,0,0.170590773144595,0,0,0,0,0,0,0.137551871433497,0,0,0,0.141291061817983,8.67361737988404e-19,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0335939614799432,0,0,0,0,0.0662573128265318,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.26175463386917,0.0777496100871456,0,0.226045971252959,0,0,0,0,0,0.370508140292429,0,0.174880161048877,0.0437857975027721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176064606189364,-3.46944695195361e-18,0,0,0,0,0,-0.0427065750842364,0,0,0,0,-2.16840434497101e-19,0,-0.123693701839927,0,-0.0600206580521607,0,0
X601988.CH.EQUITY,0,0,0,0.416263851781999,0,0,0,0,0,0.343617152767845,0,0,0,0,0,0.197506479750951,0,0.0676688663805148,0,0.110732279904484,0,0,0,0,0,0,0.0797213415125142,0,0,0,0,0,0,0,0,0,0,0,-0.535273217740105,0,0.0633404730882823,0,0,0,0,0,0,0,0,0,0,0.246545299818353
X600036.CH.EQUITY,0,0.17517278356093,0,0,0,0,0,0,0.0971601880886816,0,0,0,0.0355520211794781,0,0,0,0,0.175146699962671,-0.00182780140475462,0,0,0,0,0.181230630399361,0,0,0,0,0,0,0,0,0.369978829835546,0,0,0,0,0,0,0,0,0,0.0430214582846699,0.00829973077228977,0,0.0893399517846339,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131097448261174,0,0,0.373020989319932,8.67361737988404e-19,-3.46944695195361e-18,0,0,0,0.00749409220919766,0,0,0,0,0,0,0,0.0441561952304549,0,0,0,0,-2.16840434497101e-19,0,0,0,0.291457275168127,0,0,0.0289319712121197,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104584495896772,0,0,-0.0110928829628606,0,0,0,-0.356866284359103,0.563570849260943,0,0,0,0,0.640181357930469,0,0.105666774494631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245346772954286,0.0126136678183734,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.401803834208989,0,0,0,0,0,-0.0777769806919054,0,0,0,0,0,0,0,0,0,0.219979364986374,0.0487921301237801,0,0,0,0,0,0,0,0,0.019583972165447,0,0,0,0,0,0,0,0,0,0.0180456126268191,0,0,0,0,0,0,0,0,0.207045819888771,0.0883484027761085
X601658.CH.Equity,0,0.145498442515902,0,0,0.0151754228861478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394245330875153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187779257436281,0,0,0.111773115134705,0,0,0,0,0,0,0.00877295229373169,0,0,0,0,0,0
X601328.CH.EQUITY,0.356481847119377,0,0,0.243644140464797,0,0,0,0,0,0,0,0,0,0,0,0.0897124585162143,0,0,0,0,0,0,0,0,0,0.0498789517383844,0,0,0,0.225041357062516,0,0.0586123880965755,0,0,0.0432241632126764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.306784866546887,0,0,0,0.104012267685609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938561973972174,0,0,0.0245102420010496,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0231757803218265,0,0,0,0,0,0,0,0
