,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601066.CH.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0344566456591786,0,0,0,0,0,0,0,0,0,0,-0.00193148860652724,0,0.536652337982453,0.78983347029972,-0.107316978418566,0.010888715815819,0,0,0.207392343556501,0,-0.234031651608702,0,0,0,0,-0.324460274071045,0,0,0,-0.0450283185674178,-0.080198626017697,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.20797812619246,0,0,0,-0.0185291642460024,0,0,0,0,0,0,0,0.0854488411422639,0,0,0,0,0,0,0,0,0,0,0,0.0325486369983898,0,0.0707734722180614,0,0,0,0,0,0.245999518311816,0,0,0,0,0,0,0,0.0982371562682732,0,0,0,0.218548667428771,0,0.0818516462949053
X601939.CH.EQUITY,0,0,0,0.826023269765521,0,0,0,0,0,0.018452355477415,-0.0766601570423966,0,0,0,0,0,0.0687877113298871,0.0735586422166654,0,0,0,0.00170240678157031,0,0,0,0,0.055191863197741,0,0.0301303162589211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217949991530425,0,0,0,0,0.0280937668759354,0.035052113663513,0,0
X601288.CH.EQUITY,0,0,0.918402980163186,0,-0.084919583042358,0,0,0,0,0,0,0,0,0,0,0,0,0.14119933937038,0,0,0,0,0,0,0,0,0.0639906255784503,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.0579371680494001,0,0,0,0,0,-0.00546423312739686,0,0,0,0,-0.0600126670736269,0
X601628.CH.EQUITY,0,0.0172876530918154,0,0,0,0,0,0,0,0.0627528723549954,-1.73472347597681e-18,0.419980849840039,0,0,0,0,0,0,0,0,0,0.102862932863888,0,0,0,0,0,0,0,0,0,0,0,0,0.362289004782721,-0.0812575895848071,0,0,0,0,0,0,0,0.124204874025864,0,0,3.46944695195361e-18,0,0,0,0.0777645909085077,0.126386494193032
X600036.CH.EQUITY,0,0,0.383823989260644,0,0,0,0,0,0.0189904859118908,0,0,0,0,0,0,0,0.125795001947915,0,0,0.00148580931472839,0.00715610704188455,0,0,0,0,0,0.186277860904683,0,0.176596745264139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194951043470718,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0774607314183509,-0.14899731702962,0.0247574672588662,0,0.0506441758334256,0,0,0,3.46944695195361e-18,-0.0658806143459469,0,0,0,0,0,0,0,-0.106418801320775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711110523875987,0,0,0.00707089470766358,0.0281139621530772,0.0204186864397765,0,0,0,0,1.04431969024773,0,0
X1299.HK.EQUITY,0,0,0,0,0.2066406515527,0,0,0,0,0.262745806596654,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202018725487435,0,0,0.336633878402022,0,0,0.244323806320159,0.120191800331614,0.138480698654333,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.122400612834248,0,0,-0.0737894740883981,0,0,0,0,0,0.100032199996569,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0477642397687696,0,0,0,0.0748696914723175,0,0,0,0.295889420713965,0.405780613867458,0,0,0,0,0,0,-0.0451348304001229,0,0,0,0,0,0,0,0.0354569470002154,-0.158107811651192,3.46944695195361e-18,0,0,0,0,0,0.214587748354695,-0.0972721798877669
X388.HK.EQUITY,0,0,0,0,0.303885091571271,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158821281014317,0,3.46944695195361e-18,0,0,0,0,0.409357962503514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116316963411439,0.223421936126456,-0.146567203201954,0,0.0804029848544087,0,0,0,-0.135013823494238,0.0588329589735332
X601066.CH.EQUITY,0,0.00502734633633805,0,0,0,0,0,0,0,-0.00846945342285881,0,0.550161242244403,0,0,0,0,0,0,0,0,0.0130592808172136,0,0,0,0.219528604877059,0,0,0,0,0,0,0.014774747433281,0,0,0.0615808016491214,0.0584004819511413,0,0,0,0,0,0,0.0399588559433126,0.0397028350066108,0,0.0108402466363659,0,0,0,0,-0.0371904306030993,0
X600030.CH.EQUITY,0,0,0,0,0.0708372271981352,0,0,0,0,0.065992800274893,0.190131413849163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276536012507369,0,0,0,0,0,0,0,0,0.366723775302322,0.0919957867680091,0,0,0,0,0,0,0,0,0.059434325416706,0,0.129703238116085,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.213441189002333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280262947200659,0,0.0504375917282015,-0.0632743855197216,0,0,0,0,-0.0382862671779836,0,0,0,0,0.0460795586129336,0,0,0,0,0,0,0,0,0,0,0.270523262738161,0,0,0,0,0,0,0,0,0,0
