,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.287795900103306,0,0,0,0,-0.0517396699279429,0,0,0,0,0,-1.38777878078145e-17,0,0,0.12113221266443,0,0,0.144687107781317,0,0,0,0,0,0,0,0,0,0,0,0.000207543041773672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193105077599642,0,0,-0.0568244655500616,0
X601318.CH.EQUITY,0,0,0,0,0,0.0150865288639832,0,0.0402979367704124,0.00743630467762389,0,0,0,0.228385933711631,0,0,0,0,0,0,0.534390882478015,0,0,0,0,0,3.46944695195361e-18,0,-0.0519355632790295,0.123974110441224,0,0.0809592939711437,0,0,0,0,0,0,0.0685565092307848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101998858247598
X601939.CH.EQUITY,0,0,0,0,0.190271847539345,0,0.245066390933944,0,0,0.0840177296682076,0.0264918290395647,0,0,-0.139130007992863,0.00895538462183844,0,0,0,0,0,0.079979859872159,0,0.491688836385904,0,-6.93889390390723e-18,-0.0160770519682452,0,0,0,0,0,0,0,0,0,0,0,-0.0371850368565969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.113928727471526,0,0,0,0,0,0,0.267481785541505,0,0,0,0,0,0,0.0497438209261535,0,-0.199208366734306,0,0,0.00807887931774064,0,0.0590580506518637,0,0,0.269217086301794,0.391940158125353,0,0,0,0,0,0,0,-0.00114543392628341,0,0,0.113011926284458,0,0,0,0,-0.0303826483991922,0.0330775184935826
X601288.CH.EQUITY,0.0928004621848871,0,0.00165465103742471,0,0,0,0,0,0,0.0239715128195662,0,0,0.0246681398098917,0,0,0.494783292300384,0,0,0,0,0,0,0.28224276358758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131687199123897,0,0,0,0,0,-0.0512314973365438
X600036.CH.EQUITY,0.179177866152457,0.110236928829712,0,0.127032009888313,0,0,0.0264285600965032,0.0678638854934039,0,0,0,0,0.301272049686871,0,0,0,0,0,0,0,0,0,0,0,0.217457743588443,0,0,0,0.0487055314667969,0,0,0,0,0,0,0,0,0,0,0,0.0489915917025063,0,0,0,0,0,0,0,-0.0275014486816033,0,0,0
X601988.CH.EQUITY,0,0.255854152973409,0,0,0.180594300865056,0.206967768446673,0,0,0,0,0,0,0,0,0,0.110415736615451,0,0,0,0,0.185662112575194,0,0,0,0.0944098118335851,0,0,-0.0310411848584306,0,0,0.136096792484265,0,0,0,-0.00509940747217304,0,0.0475300638770105,1.38777878078145e-17,0,0,0,0,0,-0.145170654280343,0,0,0,0,0,0,-0.0763952724799076,0
X1299.HK.EQUITY,0,0,0,0,-0.140914007930841,0,0,0,0,0.360371669149936,0,0,0,0,0,0,0,0.119449835941476,0,-0.00192361743410654,-0.0554321367277246,0,0,0,0.053527034782019,0,0.364254789876093,0.1449095222743,0.0601369967556129,0,0,0,0,0,0,0,0,0,0,0,0,0.0499832462963299,0.02435414819971,0,0,0,0,0,0,0,0,-0.0211964903250543
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.121743687579055,0,0,0,0,-0.0671270357950995,0,0,0,0,0,0,0,0,0.433518509050096,0.0842663212467483,0,0.0368998939301743,0,0,0.135634415302168,0,0,0,-0.00209472846277277,0,0,0,0,0,0.306906886129937,0,0.183701137915715,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0207384997878242,0,0,0.0921211123864538,0,0.171244103712029,0,0,0,0,0,0,0,0,0,0,0.371571699537404,-0.0432787309544503,0.0377209262773328,0,0.0375733943444681,3.46944695195361e-18,0,0,0.369620595917482,0,-0.225160538837924,0.310656687490547,0,0,0,0,0,-0.0575151212621805,0.156368728031506,0,0,-0.352281769478673,0.102080767639191,0,0,0,0,0.127699430226184,0
