,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.232861698204416,0,0.129570326070861,0,0,0,0,0.252013079736425,0.0618534316965706,0,0.132407416660796,0,0,0,0,0,0,0.0959758494787539,0,0,0,-0.0775863227518989,0,0,0,0,0,0,0,0.00234094628035729,0,0,0,0,0.0731071960487314,0,0,0,0,0,0,0,0,0,0.0180423164271945,0.0265687002850221,0,0,0,0,0
X601939.CH.EQUITY,0.457666690411055,0,0,0.0182149485528223,0,0,-0.0318860084235106,0,0,0,0.192605883079919,0,0.226738367407885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852785018701454,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0481442064181158,0,0,0,0,0,0,0,0.25844907149789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204051232043489,0,0,0,0,0,0,0,0.0620227935644613,-6.93889390390723e-18,0.0429541085380557,0,0,0.206542388454345,0,0,0,0,0
X601288.CH.EQUITY,0.472552555068501,0.0317175673875603,0,0,0.171256938721834,0,0,0,0,0,0,0,0.0722456005103285,0,0,0,0,0,0,0,0.0672866364177549,0.0535831839582621,0,0,0,0,0,0,0,0,0.0365621730868086,0,0,0,0,0,0,0,0,0,0,0.0465641090526291,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.342466829204866,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.165340116727184,0,0.0104070954352607,-1.38777878078145e-17,0,0,0,0,0,0.38791160911177,0,0,0.0988593022489152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105042156550892,0
X600036.CH.EQUITY,0,0,0.0217004927686636,0,0,0,0,0,0,0,0,0.415787387798557,0,0,0,0,0,0,0,0,0,0,0.0541268768839023,0.125025997639801,0,0,0,0,0,0,0,0,0,0,0,0,0.0850053623497114,0,0,0.0599456293014874,0,0,0,0,0,0,0,0,0,0.26975884155883,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.113917535178264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535725376463684,0,0,0.200474036796035,0,0.0540238558997268,0,0,0.193865248362339,0,0,0,0,0,0,0,0,0.00135893816383665,0,0,0,0.190132764641602,0,0,0,0
X5.HK.EQUITY,0,-0.333980794809795,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.0956334950930195,0,0,0,1.27827811119218,0.163375248305214,-0.858969769176776,0,-0.00956980477508415,0.356354812160741,0,0,0,0,0,0,0,0,0,0,0,0,0.429659875852092,0,0,0,0,0,0,0,0,0,0.123148763106991,-0.0655947834081573
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.118907033623948,-6.93889390390723e-18,0,0,0,0,0,0.0904443934287624,0,0.148683835773218,0.158787135434685,0,0,0,0.196262374553129,0,0,0,0.0500833493801204,0,0,0,0,0,0.0222982639613478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516608835051528,0
X601658.CH.Equity,0,0,0,0.568368492849405,0,0,0,0.00409680854711505,0,0,0,0,0,0,-0.374043872430859,0,0,0,0,0,0,0,0.10463236772066,0.0349289173611954,0,0,0,-0.00929268616717702,0,0.947874947440608,0,0,0,0,0,0,0,0,0,0,-0.113114079088028,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.130297852510359,0,0
