,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.395961566174686,0,0,0.352757361388777,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436712594891189,0,0,0.103201485700813,0,0,-0.246760708552257,0,0,0,0,0,0,0,0,0,0,0.220578692717705,0,0,0,0,0.0659110562195662,0,0,0,0,-0.131764896377595,0,0,0,-0.0131298133698547,0
X601318.CH.EQUITY,-0.0192819598168756,0,0,0,0,0,0,0,0,0,0.260396817418109,0.222395273710956,0,0,-0.0423927638647175,0,0.142580444175244,0,-0.00393718606670081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123437468277271,0.375644934201512,0,0.0262216621073342,0,0.0760675944800123,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.276420422870802,0,0,0,0.0976402556579102,0,0,0,0,0,0,0,0,0.106637643255022,0,0,0,0,0,0,0.0355808766646589,0,0,0,0,0.331489895900582,0,0,0,0,0,0,0.030622533322382,0,0.133059562808547,0,0,0,0.00310223247090444,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.313793851000824,0,0,0,0,0,0,0,0.0193430583208278,0,0,0,0,0,0,0,0,0,0,0,0.0240056508963757,0,0,0,0,0.0519624888380746,0,0,0,0,0,0,0,-0.0314173147631429,0,0,0,0,0.0758559654044968,0.169327326097207,0,0,0,0.295500643224881,0,0,0,0.00372715766835896,0.156074617797155,0,-0.106012215816842
X5.HK.EQUITY,0,-0.192976943190491,0,0.405266005862025,0,0,0,0,-0.221048440653473,0.312025666843665,0,0,0,0,0,0.19002076406022,0,0.258310827130571,0,0.0838206007841308,0,0,0.423710386002002,-0.210823615266961,0,0,-0.0198059423766809,-0.0039290858351932,0,0,0,0,-0.0546970749800247,-0.157121078924309,0,0,0,0,0.0130154139444389,0,0,0.126814948501452,0,0,0,0,0,0,-0.121344068794642,0.044905442948368,0
X601988.CH.EQUITY,0,0,0.035080925673311,0.339657299829308,0,0,0,0,0,0.157816126421189,0.170064185727515,0,0,0,0,-0.0714104471240875,0,0,0,0,0,0,0,0,0,0,0.0906960429353968,0,0,0,0,0,0.0332408177792082,-0.0217437336212351,0,0,0,0,0,0.108141230404757,0,0,0,0.0554439558834109,0,0,0,0.0696571118347784,0,0.0114832679916133,0.130702070100811
X600036.CH.EQUITY,0,0.297805591705175,0,0,0,0,0,0,0,0,0,0.151809586956884,0,0.0304886530147168,0,0,0.0255580692095149,0,0.0332572037448106,0,0,0,0,0,0,0,-0.0424289566604635,0,0,-0.0208962641006056,0.0123680436749997,0.196371618829643,0.11536524949176,0,-0.169303622191215,0.0339235662245928,0,0,0,0.200240754540229,0,0,0,0,0,0,0,0,0,0.188918551871312,0
X1299.HK.EQUITY,0,0.0333542835031876,0,0,0,0,0,0,0,0,0,0,0,-0.0763800334064261,0,0,0,0.271824085835859,0.169283872403876,0,0.298737145491394,0,0,0.181638104638018,0,0,0,0.015772263329923,0.0471338783463617,0,0,0,0,0,0,0,0,0,-0.152211410086881,0,0,0,0,0,0,0,0,0,0,0,-0.206887134915933
X601628.CH.EQUITY,0,0,0,0.0184597693850567,0,0,0,0,0,0,0.0168720286101954,0,0.0201451161833768,0,0,0,0.167195176834686,0,0,0,0.00379787665368765,0,0.0370657241497163,0,0,0,0,0,0,0,0,0,0,0,0.0332048933003504,0,0,0,0,0.347411202664381,0,0,0,0,0,0,0,0,0,0.154561536910017,0
X601328.CH.EQUITY,0.123171644193362,0.00139080304022088,0.017065702160371,0,0.0874350542781387,0.419871174896811,0,0,0,0,0,0.125541759340984,0.103721392740298,0,0,0,0,0,0,0,0,0.0157040682317844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171769297384075,0,0.0611782667064941,0.0177634806978442,0,0.121141588755856,0,0,0,0
