,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.732246369716237,0,0,0.00520493070479356,0,0,0,0,0.0385653778071713,0,0,0.0685974999852762,0,0,0,0,0,0.0190860197986664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00183816018764234,0,0,0.0657598896684614,0,0,0,0,-0.029278607659101,-0.00536703106200718,0,0,0,0,0,0.00229888191056987
X601939.CH.EQUITY,0.245517767656193,0,0,0.355310508245832,0,0.179436332620786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315666442164907,0.0563240363780618,0,0,0,0,0,0.0655853761264215,0,0,0,-0.0121753838297079,0,0,0.0107801792413195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111217889740934
X601318.CH.EQUITY,0,0.0847444978031466,0,0,0,0,0,0,0.00711795825500158,0.0593731783162211,0,0,0,0,0,0,0,0.0257046114540393,0.113073831275197,0,0,0,0,0,0,0,0,0,0,0,0,0.0893405585834042,0,0.167220539360066,0.0317481677467219,0,0,0,0.11028207446834,0,0,0,0,0.223106193031601,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.323456113227612,0,0,0,-0.0397292614411597,0.0300950690493633,0,0,0,0.131390316794734,0,0,0,0,0,0,0,0,0.0698556239197683,0,0,0,0,0,0.018026523220597,0.242082136831242,0,0.0746884319060751,0,0.0836099207400994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584423098252212,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.326383084395247,0,0,0.213557847943439,0,0,0,0,0.238895196832805,0,0,0,-0.11711260495997,0,0,0,0,0,0.0683114408884657,0,0,0,0,0.105537216831844,0,0,0,0,0,-0.0987644374862422,0,0,0,0,0,0,0,0,-0.664551350141078,0,0,0,0,0.262357344081756,0
X601988.CH.EQUITY,0.0510528909364158,0.00441540280810535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686286165855501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00780282170150211,0,0,0,0,0,0,0,0,0,0.135184932278123,0.0807819893383871,0
X1299.HK.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,-1.38777878078145e-17,0,0,0,3.46944695195361e-18,0.0599229200888875,0,0,0,0,-0.0337309156386317,0,0,0.278919081528109,0,0,0,0.0704991541766338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113580108905435,0,0,0,0,0,0,0,0,0.303093137496951,0,0.117012501747544
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250429741256065,0.000775117816919061,0,0,0,0,0,0,0.775033741955309,0,0,0,0.104333289930819,0.00419517326406815,0,0.000700083101345981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.13547627949036,0.0672969606011569,0,0,0,0,0,0,0,0,0,0,0,0.0295835523011811,0.00344081975394178,0,0,0,0,0,0,0,0,0.0702694244932286,0,0,0,0,0,0,0,0,0,0,0.31992718616932,0,0,0,0,0,0.209940755354905,0.0698345438281564,-0.0271509337811199,0,0,0,0,0,0
X601328.CH.EQUITY,0.00162176068733608,0,0,0,0,0,0,0.170597480620074,0,0,0.0379767282264487,0.147447049226849,0,0,0,0,0,0,0,0,0,0.251189688618804,0,0,0,0,0.0313509877205566,0,0,0,0,0,-0.00875512747570192,0.0403800066295696,0,0,0.000779416865447175,0,0.252480806296092,0.0685608348521397,0,0.0396125717882218,0,0,0,0,0,0,0,0,0
