,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.12984859559349,0,0,0,0,0,0,0,0.0564242463516007,0,0,0,0,0,0,0,0,-0.0696636353304453,-0.187852741929435,0,0,-0.190411886086731,0.0135406154835706,0,0,0.0222159962095318,0,0.623310103668482,0,0,0.198504765206304,0,0,0,0,-0.00757486475141672,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.142693678755484,0,0.111459362284593,0,0,0,0,0,0,0.0568104248559495,0,0,0,0,0,0,0.0932254126648791,0,0,0,0,0.0681309794978861,0,0.0242236619196603,0.0130769454770084,0,0,0,0,0.340062411623078,0,0,0,0,0,0,0.0300048998023208,0,0.0160150992915883,0,0.0237874127701689,0,0,0,-0.0335960539377862
X601939.CH.EQUITY,0.220019649465725,0,0,0,0.0434090397551588,0,0,0,0,0.190352005753295,0,0,0,0,0,0,0,0.09926832065069,0,0,0.00676284882316651,0,0,0,0,0,0,0,0,0.111221972450593,0,0,-0.148079296122498,-0.0525288761785102,0,0,0,-3.46944695195361e-18,0.0624490537630857,0.422005475850401,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.362669563651775,0.158105802422783,0,0.579546374156109,0,0,0,0.330366324245098,0.111485058438929,-0.279273630556019,0,0,0,0,0,0,0,-0.191577119521439,0,0,0,0,0,0,0,0,-0.599773975116255,0,0,0,0,0,-0.0395445284981622,0,0.271815419650752,0,-1.38777878078145e-17,0,0,0,0.277851885581655,0,0,0
X5.HK.EQUITY,-0.0476098402550006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490964801709078,0,0,0.447998220928381,0,0,0,0,0.0530310114815299,0.0921802439131765,0,0,-0.112834257438161,0,-0.0272375166281325,-0.164244853366835,0,0,0,0,0,0,0,0,0,-0.0723575127735723,0,0.174921683427165,0,0,0,0,0,-0.12516687897582,0,0
X601988.CH.EQUITY,-0.245587791149309,0,0,-0.0252760753997707,0.451433445914914,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.652810165080085,0,-0.0935654726594975,0,0.0361244397276144,0,0,-0.50155412757403,0,0,0,0,0,0,0,0,0,0,0.119109515044159,0,0,0,0,0.106046068578415,0,0,0,0,0
X600036.CH.EQUITY,-0.0866821989733507,0.631456149176833,-0.0244573677130502,0,0,0,0,0,-0.142425254121203,0.191359497340008,0,0.453720100541677,0,0,0,0,0.0453739230154311,0.0287635218405914,0,0,-0.251103502568372,0,-0.170407694453249,0,0.216120705371334,0,0,0,0.0872322002749677,0,0.136322830461168,0,-0.137986378324428,0,0,0,0,0,0,0,0,0.0664089794229888,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0620926000203364,0.000256058318070969,0,0.179604805892049,0.00144904811917616,0,0,0,0,0,-0.0256186724431062,0,0,0.104180633108294,0.00688959438302843,0,0,0,0,0,0,0,0,0,0.219787555465304,0,0,0,-4.33680868994202e-19,0,0.155659186817742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0448320986687147,0,0,0,0,0,0,0,0.0814120883559174,0,0,0.341908682165696,0,0,0,0,0,0,0,0,0.0290506375930766,0,0,0,0,0,0,0,-0.00644392539338759,0,0,0,0,0.183647259354313,0.129058717232206,0,-0.00957078702937514,0,0,0,0,0,0,0.00521653605099225,0,0,0,0,-0.156186935157172
X601328.CH.EQUITY,0,0,0.0227373369496872,0,0,0,0.0801136249278502,0,0,0,0,0.32888742965718,0,0,0,0,0,0,0,0,0,0,0,0,0.256822891978916,0.100060556638073,0,0,0.0527920242636841,0,0,0,0,0,0,0,0,-0.223367028746566,0,0,0,0,-0.0809896782043709,0.149636385692941,0,0,0,0,0,0,-0.372253808966919
