,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.22556138922493,0,0,0.341439203127997,0,0,0,0,0,0.248460100190274,0,0,0,0,0,0,-0.0598482892016886,0,0,0,0,0,0,0,0,0,0,-0.0463283260318744,0,0,-0.133256862113229,-0.0258362890441548,0.0936614511593328,0,0,0,0.0417695972141055,0,0.104522418411874,0,0,0,0,-0.124879120961718,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.143739726447779,0,0,0,0.0198644357184515,0,0,0.20374550321496,0.023970488496696,0.0039601586784473,0,0,0,0,0,0,0.0704232938746128,0,0,0,0,0,0.0590569866150704,0,0,0,0,0,-0.0336065090562971,0,0,0,0,0.551021577812222,-0.0792974169752587,0.00840840119230457,0,0,0,0.060709228061443,0,0,0,0,0
X601939.CH.EQUITY,0.199233640334405,0,0,0,0,0,0,0,0,0.00654406480525115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425907853017501,0,0,0,0,0,8.67361737988404e-19,0,0.112304022171544,0,-0.0494169092417587,0,0,0,0,0
X601288.CH.EQUITY,0.0134236685017933,0,0,0,0.0509062957002819,-3.46944695195361e-18,0,0,0.00886784549260535,0,0,0,0.088189196271448,0,0,0,0,0,0,0,0,0.362401362517453,0,0,0,0,0.066245628627971,0,0,0,0,0,-0.0598700087216347,0,0,0,0,0,0,0.212900082496949,0,0,0,0,0,0,0,0.0804721211943087,0,0,0
X5.HK.EQUITY,0,-0.0374886529642619,0,0,0,0,0,0,0,0,0,0,0,0,0.178923985775556,0,0,0.164728948851013,0,0.000683367411582607,0.276270609757571,0,0,0.406937217246014,0,-0.0405573233007443,0,0,-0.306727036381248,0,0,0,0,0,0,0,0,0,0,0,0,0.0205983968631428,0,0,0,0,0,-0.141534736628666,-0.10436736912634,0.158992536772135,0
X601988.CH.EQUITY,0.0977761618550854,0,0,0.395162730281924,0,0,0,0,0,0.0937492278154424,0,0,0.0930477208684336,0,0,0,0,0,0,0,0,0.270820999102063,-0.113610451728848,0,0,0,-0.00882315895152067,0.155681885897027,0,0,0,-0.0048287616954831,0,0,0,0.0981891571869471,0,0,0,0,0,0,0,-0.0491812940827762,0,0.019118268119173,0,0,0,0,0.0745611130969029
X600036.CH.EQUITY,0,0.707107009170138,0.0171048398749891,0,0,0,0,0,-0.182555701739255,0,0,0,-0.101107702734791,0,0,0,0,-0.0926894435037171,0.124481144984678,0,0,0,0,0,0,0,0,0,0,0,0.122124829841158,0,0,0,0,0,0,0,0,0.0750769616871384,0,0.212899485734618,0,0,0,0,0.00288718219065567,0,0,0,0.156092220878363
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0845114554641239,0,0,0,-0.134478851694469,0,0,0,0.241375953806249,0.0652711012058595,0.238430230640692,0,0,0.347426110853223,0,0,0.0639825455068872,0,-0.0221420695491888,0,0,0,0,0,0,0,0.0716801924707995,0,0,-0.033833408049766,0,0,0,0,0,0,0,0,0,0,0,-0.171644800587928
X601628.CH.EQUITY,0,0.130118053526435,0,0,0,0,0,0,0,0.0431117166474116,0,0,0,0,0,0.24044690072622,0,0,0,0.0481340598597746,0,0,0.154995638552219,0,0,0,0,0,-0.0302813251683919,0,0,0,0,0,0,0,0,0.214547281763058,0,0.113507641015402,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19
X601166.CH.EQUITY,0,0,0,0,0,0.299279014383094,0.0120000943860649,0,0.0586195891609496,0,0,0,0,0,0,0.484490597153312,0,0,0,0,0,0,-0.273056362067948,0,0,0,0,0.348900524791225,0,0,0,0,0,0.0383741225884139,0,0.293625181893752,0,0,0,0,0,0,0,-0.0602369969900047,0,0,0,0,-0.123339786004911,0,-0.155811742398568
