,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.483336397250413,0,0,0.436843708414858,0,0,0,0,0.00840607369165052,0,0,0,0,0,-0.0594606302989239,0,-0.0503950114342283,0,0,0,0.0124545960930975,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.224116728620093,0,0,0,0,0,0,0,0,-0.100543104941817,0,0,-0.20368398912397,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0583246495654752,0,0,0,0,0,0,0.130436326499945,0,0.160886088049101,0,0,0,0,0,0.0631379887651844,0,0,0,0,0,0,0.0508818050565823,0,0,0,0,0.0883808418326204,0,0,0,0,0,0.378433967636309,-0.0236678083711276,0.0735725199818709,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.136456161736002,0,0,0,0,0,0,0,0.00888308808199697,0,0.0684721126105867,0,0,0,0,0,0,0,0,0,0.122971252496644,0,0,0,0,0,0.405526495747289,0,0,0,0,0,0,0.0672501025863162,0.0922169807796581,0,0,0,0.016047594104867,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.0473533924703565,0,0,0,0.0309975461374068,0,0.0281802289335502,0,0.0955116639092917,0,0,0,0,0,0,0,0,-0.00345010866052419,0.381303392900113,0,0,0,0.101302710872282,-0.01720244837333,0,0,0,0,-0.0505347913455212,0,0,0,0,0,0,0.191011579569526,0,0,0,0,0,0,0,0.079249139985186,0,0,0
X5.HK.EQUITY,0,-0.134382937056371,0,0,0,0,0,0,0,0,0,0,0,0,0.0180381822388791,0,0,0.138738298847556,0,0.360038000262283,0.01345871593987,0,0,0.407026054924685,0,-0.0144765723395174,0,0,-0.187429644406227,0,0,0,-0.0519327764491554,0,-0.068770875577337,0,0,0,0,0,0,0,0,0,0,-0.00668685911650274,0,-0.132095876674902,0,0.293487463854395,0
X601988.CH.EQUITY,0.160613076959454,0,0,0.473473112713608,0,0,0,0,0,0.0968635702213251,0,0,0.13987240332617,0,-0.032004222017303,0,0,0,0,0,0,0,0.0679970673804433,0,0,0,-0.0500504778174335,0.0521959638096045,0.016622829084243,0,0,0,0,0.111024875573745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000948917956944658,0.0894471729385646
X600036.CH.EQUITY,0,0.528213075451564,0,0.0364997952564453,0,0,0,0,0,0.0625365941951037,0,0,-0.187066562706307,0,0,0,0,0,0.0837238101732238,0,0,0,0,0,0,0.188439196097123,0,0,0.0217752980279909,0,0,0,0,0,0,0,0,0,0,0,0,0.282125795296415,0,0,0,0,0.137995839941484,0,-0.226331360266697,0,0
X1299.HK.EQUITY,0,0.00571911186583573,0,0,0,0,0,0,0,0,0,0,0,-0.0970689579272876,0,0,0,0.208153396372918,0.114654348919606,0,0.278398887472842,0.281131844744206,0,0.0894565840128882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101381122103467,0,0,0,0,0,0,0,0,0,0,0,-0.210339401118405
X601628.CH.EQUITY,0,0.18068244091922,0,0,0,0,0,0,0,0.00177552127815013,0,0,0,0,0,0.23374991852454,0,0,0,0,0.0308463502810273,0.142246715285875,0,0,0,0,0,0,-0.0414161827067184,0,0,0,0,0,0,0,0,0.138135924606052,0,0.102253105140405,0,0,0,0,0,0,0,0,0.0638403451534496,0,0
X601166.CH.EQUITY,0,0,0.162529963736091,0,0,0.239984793533977,0,0,0,0,0,0,0,0,0,0.354082083981449,0,0,0,0,0,-0.196385611574926,0,-0.0253748198628802,0,0,0,0.275468647618039,0,0,0,0,0,0.298046647940502,0.0011975488594898,0,0,0,0,0.1054313950851,0,0,-0.094313527442783,0,0,0,0,0,0,0,-0.126222848640622
