,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.129857632182945,0,0.0559278148867055,0,0,0,0,0,0,0,0.364282292407365,0,0,0,-0.0343203376463658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465583458399061,0,0,0,0,0,0,0.249672128653594,0,0,0,0,0,0.0725893989688761,0,0,0,0.0128334501696973,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.112384657048505,0,0,0,0.00140128761979491,-0.176399245516877,0,0.0931261730853916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230403605174746,0,0,0,0,0,0,-0.254203247682005,0,0.448081286209129,0.0493989003328802,0.130399206241509,0,0,0,0,0.187094491479391,0,0,0
X601939.CH.EQUITY,0.221130837700707,0,0,0.255973955326727,0,0.148197553253324,0,-0.0489874924915732,-0.0289582178169751,0,0,0,0,0,0.0320305795637507,0,0,0,0,0,-0.00975821812260234,0.0635256675638266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487390470212655,-0.0956199487087285,0,0,0.0178312240376314,0,-0.0385404011035138,0,0,0.0344966980877189,0,0,0
X601288.CH.EQUITY,0.413253276595137,0,0.194857607486412,0,0,0.154075359250142,0,0,0.0263601614722361,0,0,0,0,0.0413667730257771,0,-0.118173231845461,0.0482521632560529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203120623413576,0,0,0.0386866999792316,0,0,0,0.156289735068047,0,0,0,0,0,0,0,0,0,0.17863862052953,0,0
X5.HK.EQUITY,0,-0.0538713865736034,1.73472347597681e-18,0.222490860813079,0,0.0452270881948022,0,-0.214146820033142,0,0,0,0.0675992216394485,0.0413095768661875,0,0,0,0,0,0,0.67933527018627,0,0,0,0,0.169344629648935,0,0,-0.0604204931228855,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.217533527085538,0,0,-0.083284425912151,0,0
X601988.CH.EQUITY,0.140618006329693,0,0.125687206556598,0.149435450450509,0,0,0,0,0.100382623928676,0,0.10204350618792,0,0,-0.241936202106518,0,0,0,0,0,0,0,0,0.0697187001649015,0.250626411243853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113195286582297,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0102409950200722,0,0,0,0,0,0.102974987939232,0,0,0,0,0.0536668793283807,0,0.295765429837268,0.239309264189012,0,0,0,0.115128735485953,0,0,0,0,0,0,0,0,0,0,0.0655056455280257,0,0,0,0,0,0,0,0,0,0,0,0.0366166045799277,0,0,0,0,0.087854017525605,0,0,0.00245425557767114,-0.0420690965845198
X1299.HK.EQUITY,0,0,0,0,0,-0.00308342554540927,0.0103250615533315,0,0,0,0.209826586943584,0,0,0,-0.141523586883418,0,0,0,0.335583922473336,0.239009634563692,0,0,0.0201924363048908,0,0,0,0,0.153079069292786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607794037800986,0,0.121174160818562,0,0,0,0,0
X601628.CH.EQUITY,0.285258695925449,0.281034973566411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823424350373413,0,0,0,0,0,0,0,0,0,0.0477032966930778,3.73072197921483e-05,0,0,0,0,0,0,0.0999975785694635,-0.0408080523755885,0,0,0,0,0,0,0,0,0,0.0514771094531481,0,-0.187626249057278,0,0,0.222198226269687
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
