,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.288739765476578,0.0981791936579274,0.0807551009944372,0,0,0.268928262632056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143684015370089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946458933245286,0,0,0,0,0,0,0,0,0,0,0,-0.0506696202458026,0,0
X601318.CH.EQUITY,0,0,0.241885016630805,0,0,0,0,0,0.101929310960935,0,0,0,0.0602856404180898,0,0.0310329523698904,0,0,0,0,0,0.178160200072188,0,0,0,0,0,0,0,0,0,0,0,0.0429618660361601,0,0,0,0,0.1087470827562,0,0,0,0,0,0,0.0266818784878099,0,0,0,0,0,0,0.100435325353313
X601939.CH.EQUITY,0.420648038430081,0.270618194276283,0,0,0,0.0265216403362857,0,0.384156360849386,0,0,0,0,0,0,0,0,0.0298522267233358,0,0,0,0,-0.111627869401197,0,0,0,0,0,0.12706842449479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134587821056427,0
X601288.CH.EQUITY,0,0,0.0020230744086359,0,0,0.0980442761727774,0,0.456275424728881,0,0,-0.0918923577345793,0.14942935777727,0,0,0.0414310501655213,0,0,0,0,0,0,0,0,0.039914337859715,0,0,0,0.0533310428160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503813617873833,0,0,0,0.0298258963730046,0,0,-0.0425354120171115
X600036.CH.EQUITY,0,0.117201098894806,0,0,0,0,0.233183795285929,0,0,0,-0.0203751747357323,-0.0462279102863803,0.0968800128097776,0,0,0.122474374132021,0,0,0,0,0,0,0,0,0.467677911853477,0,0.125897766897883,0.104601755283394,0,0,0,0,0,0,0.00621085686208827,0,0,0,0,0,0,0,0,0,-0.0328638885874896,0,0,0,0,0,-0.102940405788626,0.0496148763833497
X601628.CH.EQUITY,0.0381007375302439,0,0,0.0070930396699934,-0.0285668195179472,0,0,0,0,0,0,0.0653080194039374,0,0,0,-0.213643994016063,0,0,0,0,0,0.012689055093065,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.711317825379661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133213383703137,0.0113690086368307,0,0.243556587542888
X1299.HK.EQUITY,0,0,0,-0.0178688216435082,0,0,0,0,0,0,0.0736299386324578,-0.0525031997154557,0,0,0,0,0,0,0,0.0315219710403995,0,0,0.153437117027391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108625655595418,0.122895151484633,0.162396025228979,0,0.147814803316088,0,0,0,0,0,0,0.26922308928758,0,0
X601988.CH.EQUITY,0,0,0.100131251374223,0.482177987439162,0.0822788053154004,0,0,0,0,-0.00276913968224286,0,0,0.214015620178864,0,0,0,0.0721084911890003,0,0,0,0,0,0.039901863378595,0,0,0,0,0,0,0,0.0219685962277488,0,0,0,0,0,0.0299719493724457,0,0,0,0,0,0.0368912793062152,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0917904610370583,0,0,0,0,0,0,0,0,0,0,0.000478513774861657,-0.107335549795717,0,0,0,0,0,0,0.145621038123226,0,0.167817108431647,0,0,0.120080911249913,0,0,0,0,-0.0448561027731371,0,0.104132590965104,0,0,0,0,0,0.331912584027535,0,-6.93889390390723e-18,0,0.20304878446856,0,0.0524913458810836,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0280384124723025,0.0490550044240729,0,0,0,0,0,0.0912177616685257,0.0965453138178887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199358496659437,0.394983758352459,0.0635284069349391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0849316090795584
X388.HK.EQUITY,0,0,0,0,-0.1481906910968,0,0.442303928463783,0,0,0,0,0,0,0,-0.0536777703586778,0,0,0,0,-0.189244653888568,0,0.350284926718544,0.0369037697503222,0,0,0,0,0,0.106566930103175,0,0,0,-0.158624995379105,0,0,0,0,0,0,0.0499000116766204,-0.0876415229736789,0.163696884457538,0,0,0,-0.155170972443801,0,0,0,0,0.117517878705903,0
X601658.CH.Equity,0,0,0,0.324126344977394,0,-8.67361737988404e-19,0,0.0121647965342212,-0.171304848847403,0.243650856373285,0.0270271734009893,0,0.10558328481124,0,0.080959947702017,0,0.376356486861013,0,0,0,0,0.277626268060868,0,0,0,0,0,0,0.0213162087475147,0,0,-0.51807541905205,0,0,0,0,0,-0.0311421335479208,0,0,-0.0325804094262483,0,0.093896669364509,0,0,0,0,0,0,0,0,0
