,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0145802614617402,-0.0065666372058338,0.23901452229302,0,0,0,0,0,0,0,0,0,0,-0.132044088166633,0,0,0,-0.199283327884687,0,0,0,0,0,-0.334291934386861,0,0,0,0.0744982125774411,0,0.758694243242333,-0.188058718191503,0.188625635718105,0,0,0,0,0,0,-0.0246548197887028,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0522228490404645,0,0.0698545767969194,0,0,0,0,0.0740544322405984,0,0,0,0,0,0,0,0,0,0,0.195565145803867,0,0,0,0,0,0,0.0285438962367867,0,0,0,0,0,0.309908013840793,0,0,-0.0123710956763235,0,0.197689139416558,0,0,0,0,0,0,0,-0.0510729272627423
X601939.CH.EQUITY,0.273326862408431,0,0,0,0,0.0394001687297053,0,0,0,0.0217555078651747,0,0,0,0,0,0,0,0.0839854510194183,0,0,0.0296938838092596,0,0,0.0234129574963615,0,0,0,0,0.143453018212708,0.107227520988061,0,3.46944695195361e-18,0,-0.114580426671365,0,0,0,0,0.415760630794075,0,0,0,0,0,0,0,0,0,0,0,0.106457089347098
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.179183910201807,0.177463187028025,4.33680868994202e-19,0.557231892237135,0,0,0,0.129969855963572,0,-0.0483511732003599,0,0,0,0,-0.0669095024442872,0,0,0,0,-0.020705896442564,0,0,0,0,0,-0.692733806758915,0,0,0,0,0,0,0,0,0.414301417077347,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.1405713804304,-0.0464613149556184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394389130940541,0,0,0.22777570593725,0,0,0.208532703124915,0,0.269665304422588,0,0,0,0,0,0,0,-0.098965303052918,0,-0.0313649502377527,0,0,0,0,0,0,-0.145185002837616,0,0.160105024537329,0,0,0,-0.0286908669864826,0,0,0,0
X601988.CH.EQUITY,0,0,0.0230696522154469,0.0956633683463809,0.0901658255006077,0,0,0,0,0,0.259078868955737,0,0,0,0,0,0.0639194163436799,0.0955424813672701,0,0,0,0,0.00644547738143905,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785011869105435,0,0.143333903097266,0,0,0,0,0.228627468853858,0.211965738391043,0,0,0,0,0,0.0194596089764483
X600036.CH.EQUITY,0,0.105104247878433,-0.0929230251623332,0,0,0,0,0,-0.056253818602004,0.235178349744145,0,0.389812210976185,0,0,0,0,0,0,0,0,-0.0612235178634215,0.250023158239322,0,0,0,0,0,0.0698915586090736,0,0,0,0.450026426870298,0,-0.260369374488711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208591325555062,0,0
X1299.HK.EQUITY,0,0.087396227994054,0,0,0.0717934978928737,0,0,0,0.0751740771605982,0,0,0,0,0.0257692877642384,0.179008532506672,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.111022734701465,0,0,0,0.0263993932725407,0.249371158135573,0,0,0,0,0,0,0,0,-0.0468675825351218,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0386849301923807,0.0357171928485408,0,0,0,0,0,0,0.00752140185857633,0,0,0.335828216264784,0,0,0,0,0,0,0.0487291765145014,0,0,0,0,0,0,0,0,0,0,-0.0585989806892109,0,0,0,0.0416954978425999,0,0.302154631361586,0.0939534743592892,-0.054597279614005,0,0,0,0,0,0,0,0,0,0,-0.11047891816881
X601328.CH.EQUITY,0,0,0,0,0,0,0.314733844053873,0,0,0,0,0.178156561336112,0,0,0,0,0,1.38777878078145e-17,0,0,0.0456972639318181,0.260788909931299,0,0,0,0.0994314868921847,0,0,0,0,0,0,0,0,0,0,-0.168332202343784,0,0,0,0,0,0,0.0880416800691654,0,0,0,0,0,0,-0.217892143985235
