,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0332478540836757,0,0,0,0,0,0,0,0,0,0,0,0,0.508737957396036,0.758954200135872,0.0106772677413496,0,0,-0.110859104494599,0,0.218627417507748,0,-0.226719103838845,0,0,-0.320915259437425,0,0,0,0,-0.0453885386270845,-0.0584985243097014,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.222599220208672,0,0,0,-0.0194187032190889,0,0,0,0,0,0.0200827878641713,0,0.136662962985899,0,0,0,0,0,0,0,0,0,0,0.0262011825968008,0,0.0827338303463501,0,0,0,0,0,0,0.221643587190347,0,0,0,0,0,0,0,0,0.0729881810851313,0,0,0.195216072432453,0,0.115014846284983
X601939.CH.EQUITY,0,0,0,0.818260140514514,0,0,0.0288105621728749,0,0,0.0268287040547889,0,0,-0.0472722108636432,0,0,0,0.066879310725012,0.0698224554264362,0,0,0,0.00569577007964767,0,0,0,0.0649626955301098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442614155778037,0,0,0
X601288.CH.EQUITY,0.0242670384992365,0,0.896716117376446,0,-0.0660681857862698,0,0,0,0,0,0,0,0,0,0,0.0103964874460884,0,0.136391979997178,0,0,0,0,0,0,0,0.0509008822129187,0,0,0,0,0,0,0.00194184201816809,0,0,0,0,0,0,-0.0966022580219743,0,0,0,0,0,0,-0.0318940884643074,0,0,0,-0.0527119134592295,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0755247992871034,0,0.424243301943731,0,0,0,0,0,0,0,0,0,0.10398756580983,-0.00531851738301162,0,0,0,0,0,0,0,0,0,0,0,-0.0975592181630049,0.369097528328384,0,0.0383940037284272,0,0,0,0,0,0,-3.46944695195361e-18,0.121226284331932,0,0,0,0,0.0803887132772054,0.128620413372329
X600036.CH.EQUITY,0,0,0.36275422505235,0,0,0,0,0,0.0218705717934992,0,0,0,0,0,0,0,0.142288774743034,0,0,0.00457668712189355,0,0,0,0,0,0.166213304018501,0,0,0,0.226737552108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403282328283143,0.0226319985579718,-0.00297442817165656,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.118692985299489,0.111659877070596,0,0.0670663526391038,0,0,-0.0392479601070865,-0.0275589313366048,0,0.00720995684914406,0,0,0,0,0,0,-0.04553039710836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110291959594775,0,0,0.0165622962966414,0,0,0,0,0,0,1.04316260739689,0,0
X1299.HK.EQUITY,0,0.106214233110897,0,0,0.159337393148509,0,0,0,0,0.246404128817192,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2154715225302,0,0.351707222970273,0,0,0.222024577933039,0,0.124727568582094,0.121466514583495,0,0,0,0,0,0,0,0,0,0.113690965166041,0,-0.103855895204524,0,0,0,0,0,0,0.110250326326914,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876402182830294,0,0,0.291589835875545,0.411888342242127,0,0,0,0,0,0,0,0,-0.079656029273437,0,0,0,0,0,0,0,0,0,-0.150228373622895,0,0,0,0,0.203276195380101,-0.0713772693071553
X388.HK.EQUITY,0,0,0,0,0.34019526920746,0,0,0,0,0,-0.1314454432466,0,0,0,0,0,0,0,-0.226567465377748,0,0,0,0,0,0.44904840040522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0615555381510313,0,-0.15234892186756,0,0.039904181153343,0.224354958330904,0,0,0.0416408440657341,0,-0.131859126746162,0
