,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.121402671725574,0,0,0,-0.17578540767005,0.255616341952257,0,0,0.0910260205561081,0,0,0,0.277091018156465,0,0,-0.127039814570878,0,0,0,0,-0.136275930400123,0,-0.194183151584984,0,0,0,-0.224261558593707,0,0,0.814965270716928,-0.0516723262049643,0,0,-0.0823574806176915,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.060145250981182,0,0.0344738390777944,0,0,0,0,0.171254443636632,0,0,0,0,0.0920952847250822,0,0.0987744679911175,0,0,0,0,0,0,0,0,0,0,0.036385036616506,0,3.46944695195361e-18,0.248105615711307,0,0.248216631813114,0,0,0,0,0.0101828963867643,0,0.00993758855832819,0,0,0,0,0,0,-0.0543324108025456
X601939.CH.EQUITY,0.323336524430043,0,0,0,0,0,0,0,0,0.127267212273965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0914288767463746,0,0,0,0,0,-0.247352941056981,-0.26128255629182,0,0,0.134561159222676,0,0,0.549407430440883,0,-0.0412681157118454,0,0,0,0.253804980902073,0,0,0,0,0.0302106663766543
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.751517901988057,0.106223967359828,0.0717880283519225,0.319215682286415,0,0,0,0.462399346446864,-0.180359815167633,0.365772686720924,0,0,-0.406844888314726,0,0,0,0,0,0,0,0,0,0,0,0,-0.361288142731712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512797240059347,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145939203593624,0,0.129087579792333,0,0,0.0717259494381623,-8.67361737988404e-19,0,0,0.172565815971372,0,0,0.119784834502868,0.00362587310774241,0,0,0.0507888042689063,0,0,0,0,0,0,0,-0.0150031364380666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924259783418807,0,0,0,0.197153422470269,0,0,0
X601988.CH.EQUITY,0,0,0,-0.0217142615956984,0.475291574430335,0,0,0,0,0,0,0,0,0,0.0860868108550227,0,0,0,0,-0.186030366753277,-0.039077858814001,0,0,0.273500479576986,0,0,0,0,0,-0.407746240217831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146038609948193,0,0,0.0442998360602389,0,0
X600036.CH.EQUITY,0,0.217767393044206,-0.0273555345037136,0,0,0,0,-0.132238063843693,0,0.39622344447451,0,0.191536197889151,0,0,0,0.145902754354425,0,0,0,0.389151731600704,0,0,0,0,0,0,0,0.118854337903695,-0.115944229081526,0,0,0,0,-0.0147114117279526,0,0,0,0,0,0,0,0,0,0,0,-0.0449513828825452,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.298133367796086,0,0,0,0,0,-0.00754888172418219,-0.115491151227155,0,0,0,0,0.0100442706561621,0,0,0,0,0,0,0,0,0.0260456578409366,0.150392344465251,0,0.116659818190826,0,0.12144086595065,0,0,0,0,0,0,0,0,0,0,-0.122141113863402,0,0,0,0,0,0,0,0,-0.0362571613350913
X601628.CH.EQUITY,0,0.123085454112455,0,0.0758108472079072,0,0,0,0,0,0,0.0145923803982684,0,0,0.254848140020876,0,0,0,0,0,0,0,0,0,0.147259171749633,0,0,0,0,0,0,0,0,0,0,0,0.119299061078994,0,0,0.0356172957972762,0,0,0.16544038862965,0.241894363584786,3.46944695195361e-18,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0766793314363991,0.0861444359991857,0,0,0.605955171565284,0,0,0,0,0,0,0,0,0,0,0,0,0.199186162809068,0,0,0.00167870077202393,0,0,0,0.208737488959998,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0313092496241095,0,-0.30692763062493,0,0,-0.0649983310107168,0,-0.138462598536079
