,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.236257006819322,-3.46944695195361e-18,0,0.0871190139458388,0,0.238980833109701,0,0,0,0,-1.38777878078145e-17,0.128006720747211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381485049619407,0,0,0,0.0939292236408067,0,0,0,0,0,0.0225392178854823,0,0,0,0,0,0,0,0.106422223883544,0,0,0,0,0
X601318.CH.EQUITY,0.169828941524235,0,0,0,0,0,0,0,0.27686929965656,0,0,0,0,0,0,0,0.25163471164012,0,0.0590104595891955,0,0,0,0.0958043651019052,0,0,0,0,0,0.037949553219249,0,-0.0880524608032402,0,0,0,0.0942061789568441,0,0,0,0,-0.0198575994704053,0,0.0536213080560616,0.0190837953954127,0,0.0587457283649718,0,0,0,0.0610611151557365,0,0,0
X601939.CH.EQUITY,0,0,0,0.28251453836116,0,0.0747245069386544,0,0,0,0,0,0,0,0.416035854496887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558659073243344,0,0,0.0735816427158823,0,0,0.00942231352562831,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354604655122114,0,0.0265066152259379,0,0,0.487158970855103,0,0,0,0,0,0,0,0,0.030160813217252,0,0,0,0,0,0,0.0175641080675364,-0.028604006894346,0,0,0,0,0,-0.000303431850076513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10489660745677,0,0,0,0.00350349782269097,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0333675201275765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313549170029368,0,0,0,0,0,0.222607672782262,0.0962235683816154,0,0,0.390817207636856,0,0,-0.0538124869878448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287325290698242
X601988.CH.EQUITY,0.375621992086306,0,0.000211030163985455,0,0,0,0,0,0,0,0,0.0950720048869802,0,0,0,0,0,0,0.0251870130197572,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.159779058922582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297331851813871,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.281567783900297,0,0,0,0.313525304454716,0.045355158929374,0,0,0,0.143922537222496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141792852368404,0,0,0,-0.047332423545067,0,0,0,0,0,0,0,0,0.0203157843461508,0,0,0,0,0.0816273866436126,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37851105550272,0,0,0.0701667778797705,0.171053414218489,0.0133305871596186,0,0,0,0,0,0,0,0.273546964438374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.254271949023642,0,0,0,0,0,0.274623272280439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166219807248881,0,0,0,-0.148738474637092,0,0,0,0,0.746900660876124,0,0,0,0,0,0.251791694416277,0,0,0,0,0
