,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,-0.0565030453106696,0,0,0,0,-0.00666806177822228,0.247448756351357,0,0,0,0,0,0,0,0,0,0,-0.210220618884226,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.303342377664065,0,0.00187743919078317,0,0,0.780567212630945,-0.199121267736652,0,0.270552668419852,-0.0967698734165822,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.195546458058102,0,0,0.0308966513968228,0,0,0,0,0,0.00257654828534919,0,0,-0.062729330690539,0,0,0,0.0638672256180938,0,0.137154500453922,0,0,0,0,0.0981407384507158,0,0,0,0,0,0,0,0.000920371601161676,0.567280467721912,0,-0.062785119278291,0.00123169973733942,0,0,0,0,0,-0.0386388683651787,0,0,0
X601939.CH.EQUITY,0.30633329130644,0,0,0,0,0,0,0,0,0.043153883918419,0,0,0,0,0,0,0,0,0,0,0,0,0.101445730432451,0.0498983106490815,0,0,0,0,0.198774869710472,0,0.087869718754284,0,-0.00858715017455013,0,-0.117550246407985,0,0,0.420198724015398,0,0,0,0,0,0,0,0,0,0,0,0,0.161613151461249
X601288.CH.EQUITY,0,0,0,0,0,0.358559083105118,0,-0.0756774733914805,0.290231090196561,0.0273204552170973,0,0,0,0,0,0,0,0.113900147451573,0,0,0,0,0,0,0,0,0,0.211592712066177,0,0,0,0,0,0,-0.0294081301800089,0,0,0,0,0,0,0.0794793995593626,0,0,0.0622555981595305,0,0,-1.38777878078145e-17,0,0,0
X5.HK.EQUITY,-0.181777053326564,0,0,0,0,0,0,0,0,0,0.0172289285938019,0,0,0,0.00813340282515117,0.250442935010541,-0.0125158654085445,0,0.0929106100562709,0,0.232883216357829,0,0,0.495140721969523,0,0,0,0,0,-0.241135568690659,0,0,0,0,0,0,-0.0161750373649245,0,0,0,-0.097622771716888,0.193695564873706,0,0,0,-0.140048930822842,0,-0.076454275563897,0,0,0
X601988.CH.EQUITY,0.17533930113891,0,0,0.516972497771756,0,0,0,0,0.0284891002966906,0,0.14070453880163,0,0,0,0,-0.0286492512745655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108930448857615,0,0.0362005367249143,0,0,0,0,0,0.104495715015943,0,0,0,0,0.0878720700719461
X600036.CH.EQUITY,0,0.543895313936566,0,0,-0.0219061419510527,0,0,0,-0.201479487038559,0.614465779162957,0,0,0,0,0,-0.0939518698212457,0,0,0.107769752311754,0,0,0,-0.0534721148625265,0,-0.0449848874371001,0.154239004353845,0,0.0509732150121942,0,0.222935081989102,0,0,0,0,-0.159343969908931,0,0,0,6.93889390390723e-18,0,0,0.187604278867123,0.0778882508908365,0,0,0,0,0,-0.0857200109227224,0,0
X1299.HK.EQUITY,0,0,0.0190938596154535,0,0.182047952799176,0,0,0,0,0,0,-0.0485515405921439,0,0,0,0,0.172458631925866,0,0.0125743647368487,0,0,0,0.0373281555452139,0,0,0.259463884427803,0,0,0,0,0.187406193734582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347590004097358,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0113510954210571,0.00238854846697203,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0146702954724026,0.209167572808542,0,0,0,0,0,0,0,0,0.108423731747991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393244102811948,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0501249633659118
X601328.CH.EQUITY,0,6.93889390390723e-18,0.0654929763832522,0.30606027092114,0,0,0.281781739682742,0,0,0,0,0.0368801326634441,0,0,0,0,0,0.242719626526389,0,0,0,0,0,0,0,0,0.0592604483279996,0,0,0,0,0,0,-0.160626754741312,0,0,0,0,0,0,0,0,0,0.0369059406942594,0,0,0,0,0,0,-0.433912715498048
X601166.CH.EQUITY,0,0,0,0,0,0.210368144662835,0,0,0.154433435222818,0,0,0,0,0.321995697951317,0,0,0,0,0,0,-0.0543019927963027,0,-0.0810426601398192,0,0,0,0.20994387453572,-3.46944695195361e-18,0,0,0,0,0,0.0394033691875106,0,0,0,0.244007145939149,0,0,0,0,0,0,-0.0645148597125856,0,0,0,0,0,-0.243844265387923
X600000.CH.EQUITY,0,0,0,0,0,0,0.40692249823156,0,0,0.117054171193243,0,0,0,0.450236068076238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171604092373666,0,0,0,0,0,0,0,0,-0.325570998311848,0,-0.00808179347507844,0,0,0.0687825000187144,0.1720710450675,0,0,0,0.0364652658239114,0,0.0812067623339999
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404909331123238,0,0,0.172001276743527,0,0,0,0,0,0,0,0,0.0462942934010559,0,0,0,0,0,0,0.135356935488354,0,0,0.271279984947825,0,0,0,0,0.0042135421249097,0,-0.135138434405879,0
X601601.CH.EQUITY,0,0.37128704877579,0,0,0,-0.218341457793266,0.00930401437709616,0,0.250031795656744,0,0.031706273851945,0,0,0,0,0.200546742130278,0,-0.0411566243527155,0,0,0,0,0,0,0,0.0696189435433735,0,0,0,0,0,0,0,0,0,0,0,0.0563960830886844,0,0,0,0,0,0,0,0,0,0,0,-0.0298254600161381,0
X11.HK.EQUITY,0.0472663103661775,0,0.118729464116214,0,0.363947327140453,0.0234249128663483,0,0,0,0,0,0,0,-0.0228639220438449,0,0,0,0,0,0,0.14820423851794,0,0,0,0,0,0,0,0,0.167986945899631,0.130823306680755,0.0741121165843567,0,0,0,0,0,0,0,0,0,-0.0611700401654573,0,0,0,-0.0805830736815833,0,0,0,0,0
X000002.CH.EQUITY,0,0,-0.00863879398156923,0,0.0664713881548505,0,0,0,0,0,0,0,0,0.353955380362833,0,0,0,0,0,0,0,0,0,0,0,0,0.253625984946592,0,0,0.351448231231647,-0.385769025469691,-0.00379646647443824,0,0,0,0,0,0,0,0,0,0.143597193791879,0,0,0,0,0,0,0,0.358174715921875,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0317061778998956,0,0,-0.0301432910680527,0,0,0,0,0,0,0.0300836864283039,0,0,0,0,0,0,-0.0396771872063295,0.209942266424808,0,0,0,0.134186167063436,0.0522148322852991,0.188287047339886,0,0,0.162952108933313,0,0,0,0,0,0.420104267349186,0,0,0,0,0,0,0,0.0116701341551438,0,0
X267.HK.EQUITY,0,0,0,0,0.0658068785680345,0,0.413527467614141,0,0,0.0360830386625857,0,0,0,0,0,0,0.0592610142488545,0,-8.67361737988404e-19,0,0.30722822470075,0,0.0159785226286732,0.0381936647046174,-0.232983829392539,0,0.0323454425273164,0,0,0,0,0,0,0,0,0,0,0,0,0.0415430889770259,0,0.00554706309071806,0,0,0,0,0,0,0,0,0
