,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.564246798119153,0,0.0412348584012173,0,0,0.0442724175922786,0,0,0,0,0.0915467009016334,0,0,0,0,0,0,0.136974236312227,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,-0.0213777429396958,0,0,0,0,0.094228414708393,0,0.056243557733544,0,-0.0483704796413521,-0.0220320381109314,-0.0129467943501814,0,0.0151371019315283,0,0.01257364702033
X601318.CH.EQUITY,0,0,0,0.198415244889759,0,0,0,0,0.0744164030957138,0,0,0,0,0,0,0,0,0,0,0.190765252292796,0,0,0,0,0,0.0264271093787331,0,0,0.0993256480831144,0,0,0,0,0.0646155579560795,0,0,0,0,0,0,0.183401793868378,0.0196519623502606,0,4.33680868994202e-19,0,0,0,0.0898196213165226,0,0,0
X601939.CH.EQUITY,0.123430145208431,0,0,0.379912344539616,0,0.195270599422189,0,0,0,0,0,0,0,0,0,0,0,0.0238225075970765,0,0,0.0183689058473169,0,0,0,0,0,0,0,0.0865936308145591,0,0,0,0,0.102550113537897,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.0540377183063442
X601288.CH.EQUITY,0.0133835155392163,0,0.288840046579706,0,0,0,0,0,0,0.211311459687261,0,0,0,0,0,0,0,0,0,0.0500697631081155,0,0,0,0,0.0131358928460639,0.224661458642912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720531020617217,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.450832313002673,0,0,0,0,0,0,0,0.119180875960058,0,0.210114618799039,0.165518363242773,-0.0925651153751001,0,0,0,0,0,0.31512051308337,0,0,0,0,0.0378179801504232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449255731395634,0,-0.709605918073493,-0.154812940544792,0,0,0.14530529202414,0
X601988.CH.EQUITY,0,0,0.110748481356087,0,0.0360901790600171,0,0,0,-6.93889390390723e-18,0,0,0,0.065012311837146,0.0579526728497331,0,0,0,0,0,0.00594851086358845,0,0,0.62037014754393,0.0150844500017214,0,0,0,0,0,0.107728245052813,0,0,0,0,0,0,0,0,0,0,0.0461391089002936,0,0,0,0,0,0,0,0,0.0852784312583429,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0431380474913582,0,0,0,0.261093030553882,0,0,0,0.172422842514784,0,0,0,0.0743953003540001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00994813104857945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789035571774402,0,0,0.0054688783429602,0.068509115700784,0,0,0,0,0,0,0,0,0,0,0,0,0.0148507092333183,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.212571278900893,0,0,0,0,0,0.0309698243904473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681524,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218806,0.0277536992582405,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.111979491114055,0,0,0,0,0.150369157690365,0,0,0,0,0,0.189846013823324,0,0,0,0,0,0,0,0.267049483895331,0,0,0,0,0,0,0.0409484935907849,0,0,0.000210053711543561,0,0,0,0,0,0,0,0.0397226105955839,0.206495127116503,0.0223356360190125,0,0,0,0,0,0,0.0119071947692409,0,0
