,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.231678299927268,0,0,0,0,0,0,0,0,0,0,-0.26980422757741,0,0,0,0,0,0,0,0,0,0,-0.319028368711368,0,0,0,0.785265226083536,0,0,-0.180026231909657,0,-0.0511809210935844,0.269424171896007,-0.0225080245143326,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.146086543873974,0,0.121380076787764,0.0317284585517379,0,0,0,0.0401526103687497,0,0.0285952646188269,0,0.1477441450958,0,0,0,0,0,0,0.0411454260355749,0,0,0,0,0.063929158058839,0,0,0,0,0,0,0,0,0,0.372236729885137,0.027163331550173,-0.0769000378778276,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.237161927953489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102301001939967,0,0,0,0,0.0684621827563119,0,0.0277339726787904,0,0,0,0,0,0,0.344501598946617,0,0,-0.00161942896863232,0,0.118385574168904,0,-8.67361737988404e-19,0,0,0,0.010786797021664,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.26459110749249,0,0,0,0.00480886598653089,0,0,0.0468302765459646,0,0,0,0,0,0.0864167790336056,0,0,0,0,0,0,0,0.146848623939567,0,0,0,0,0,0,0,-0.0560188907622292,0,0.0841034631775751,0,0,0.337884240532741,0,0,0,0.0854409428346943,0,0,0,0,0,0,-0.0131931683560927
X5.HK.EQUITY,-0.0448427649663705,-0.252466177706415,0,0.137280410613616,0,0,0,0,0,0,0.0232677917504006,0,0,0,0,0.360007157764806,0,0,0,0.0836629210270526,0.261397689168579,0,0,0.30194305567145,0,0,0,0,0,-0.0419069284467452,0,0,0,0,0,0,-0.0980275489404172,0,0,0,0.237952454325578,0,0,0,0,-0.0285755478319967,0,0,0,0,0
X601988.CH.EQUITY,0.237346671129764,0,0,0.575570586235576,0,0,0,0,0,0,0.11774673324595,0,0.143899344983961,0,0,-0.0666689546234903,0.0812047637999712,0,0,0.00890329283422766,0,0.0177250996286908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378051850700713
X600036.CH.EQUITY,0,0.563605246876643,0.00284354835348367,0,0,0,0,0,0,0,0,0,-0.095731148300527,-0.139686748080628,0,0,0,0,0,0,0,0,0,0,-0.00121779063310669,0.27705397375164,0,-0.137170609467602,0,0,0,0,0,0,0,0,0,0,0,0,0.174114230494015,0,0,0,0,0,0.137118184924218,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0349621252917757,0,0,0,0,0,0.362003253779688,-0.123125744163564,0.133894639569524,0.0817260626605893,0,0,0,0,0.166436329932999,0.197909726868003,0,-0.133204115064585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038223517372762
X601628.CH.EQUITY,0,0.126275078770211,0,0.033112211036299,0,0,0,0,0,0,0,0,0,0.239293626832317,0,0,0,0,0,0,0,0,0,0,0.154217829286207,0,0,0,0,-0.0206320392657064,0,0,0,0,0,0,0.0978941507210102,0,0,0.161479001872549,0,0,0,0,0,0,0,0,0.0480546552853785,-0.00355231808496821,-0.0149176415396529
X601328.CH.EQUITY,0,0.093872631402652,0.108693240069631,0.344235631976002,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.035681959318892,0,0,0,0.042610998576072,0.0131899972305562,0,0.00902485871108059,6.93889390390723e-18,0,0,0,0,0.16703647943344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169455501707116,0.0868428485951588,0,0,0,0,0,0,-0.246550778783303
