,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0405140015384859,0,0.12394389936243,0,0,0,0,0,0,0,0.428756373263394,0,0,0,0,0,0,0,-0.0918053097679893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126068252759415,0,0.153455184740589,0,0,0,0,0,0,0,0,0,0,0.192724038837837,0.0416553460209936,0,0,0.122084405121524
X601318.CH.EQUITY,0,0,0,0,0,0.0956244733313122,0,0,0.164694650153352,0,0,0,0.213458313943566,-0.0695817555203227,0,0.251365404935267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104575682939535,0,0,0,0.226116668343324,0,0,0,0,0.220250639052374,-0.255058980709477,0,0.174773883821128,0.0969059675967138,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.626778476533536,0,0,0,0.0224868625308228,0,0,-0.0336104188643791,0,0,0.172648819476234,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.000366059193787549,0,0,0,0,0.0324238524598126,0,0,0.277235337683846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.271529785273139,0,0,0,0,0.416784537217959,0,0,0,0,0,0,0,0,0,0,0,0.0978835844910122,0,0.0403165006592203,0.0189323016956622,-0.0713444293739016,0,0,0,-0.0219624087392495,0,0,0,0,0,0,0,0,-0.0582655247546002,0,0,0,0,0,0.22297982095384,0,0,0,0,0,0,0.0865174387631637,0,0,0,0
X5.HK.EQUITY,0,-0.108648998397029,0.101483734815586,0.213189293748431,0,0,0,-0.0745346070870769,0,0,0,0,0.167940864595978,0,0,0,0,0,0,0,0.479577983142855,0,0,0,0,0,0,0,0,0,0.227696016518373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159816426187152,0,-0.129113850217435,0.039850613539927,-0.0939300007812161
X601988.CH.EQUITY,0.225875578412447,0.06868733070707,0.214602680341756,0,0,0,0,0,0.161593524235855,0,1.38777878078145e-17,0.0871313498024238,0,-0.178823572723112,0,0,0,0,0,0,0.0776874605306213,0,0,0,0,0.056228270733719,0,0,0,0,0,0,0,0.0877125334348201,0,0,0.0143494920184046,0,0,0.0615802806558568,0,0,0,0.093849262128115,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.202987200127591,0,-0.03293983949202,0.0316310347434132,0,0.236893505108668,0,0.278557413103906,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.0463582942620635,0,0.0820960106035995,0.0347877302696245,0,0.0954267508179272,0,-0.000725328526257828,0,0.034356606193767,0,0,0,0,0,0,0,0,0,0,0.00133558457464359,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.106377082038153,0,0,0,0.112572925110503,0,0,-0.112150973176859,0,0.0234817763804933,0,0.236122202944392,0,0,0.0263430808030689,0,0,0,0.0471606234476879,0.0658704288260435,0.0910122250736739,0,0,0,0,0,0.0121279792020862,0.212868861643324,0,0.0313590001259424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.148031048870026,0.174463908347654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102502431858704,0,0,0,0,0,0.26045257277613,0,0.0319980136620999,0,-0.121173572616829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765403266523453,0,0,0,0.0306618025800821
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.132810019576204,-0.334015849279351,0,0,0,0,0,0,0,0,0,0,0.409807177029727,0,0,0,0.113343748114161,0,0,0,0,0,0,0,0.0689136875062228,0,0,0,0,-0.619029535220931,0.120369124464022,0,0,0,0,0,0.765584215175603,-0.0490817136542951,-0.289990044051087,0,0,0
