,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601328.CH.EQUITY,0,0.0396391400700233,0,0,0.0683237218291173,0.0282598831304983,0,0,0,0.00734794556402138,0,0.268515825075189,0,0,0,0,0,0,-0.148495003061628,0.212974083760489,0,0.0704857335136577,0.104634759190323,0,0.0897442834638988,0,0,0,0,0,0,0,0.0369826417217045,0,0,0,0,0,0,0.0138848421727845,0,0,0.189891928227097,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.157358720757765,0,0,0,0.425105882786623,0,0,0.083387130102979,0,-0.0525982194020018,0,0,0,0,0,0,0.0119393349837763,0,0,0,0,0.157389737923934,-0.00852098989578711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224991233753425,0.0456320609841254,0.205557080239139,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0487007012132965,0,0,0,0,0,0,0,0,0,0,0.221035477416406,0,0,0.0211234967565892,0.0285113207123581,0,0,0,0,0.0146575114357053,0.0505122466316134,0,0,0.377079362387502,0,0,0,0.277284279965962,0,0,0,0,0,0,6.93889390390723e-18,2.71050543121376e-20,0,0,0.0679494788297668,0,0,0.0911282076795417,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,-0.10059473560751,0.0270054222472759,0.0922039320821144,0,0.162081749967033,0,0,0,0,0,0,0,0.155940909544518,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211872090724668,0.257638180183838,0,0.140598549102286,-0.234872685959127,0,0.105890148392758,0.183494067201572,-0.0873573599298364,0,0,0,0,0,-0.0178981439442216,0.171792998753302,0.194169197628926,0,-1.73472347597681e-18,-0.0215342158301677
X16.HK.EQUITY,0.0149317147393053,0,0,0.275189925086748,0,0,0,0.230630462584646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297816905435827,0,0,0.0298131734542151,0,0.0345113254622436,0.0990979740547083,0.167904837110782,0,-0.11040391195932,0,0,0,0,0,0,0,0,0.0264067497473024,0,0,0,0,0,0,0.227294773266219,0,0
X601601.CH.EQUITY,0,0,0,0,0,-0.20896163292577,0,0,0.168185915812779,0.249616274289651,0,0,0,0.142609096620731,0,0,0.258420576346864,0,0.12202865055966,0,0,0,0.0452369169327459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278091673408254,0,0,0,0,0,0,0,0,0,0.0475937926516237,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.292334448300959,0,0,0,0,0,0,0.038169121740841,0.0567320530707758,0,0,-0.0356248698204669,0,-0.104886413636499,0,0,0,0,0,0,0,0,0,0.226408529241988,0,0,-0.0266036233493372,0,0,0,-0.310320717417703,0,0,0,0.37304864865847,0,0.167984575368397,0,-0.0697930719660633,0,0,0,-0.0850462434363544,0
X11.HK.EQUITY,0,0,0,0,0.233364173767959,0,0,0.303957204458193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223527970690262,0,-0.0838240854655263,0,0,0,0,0,0.152409743250989,0,0,0,0,0,0,-0.09048567335991,0,-0.113646419686745,0,-0.0338360084944382,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0.112141067204069,0.01172737543374,0,0,0,0,0,0.181661212319196,0.0503066172641609,0,0,0,-0.0988909650791292,0,0,0,0,0.47385070665226,0,0,0,0.056295839896795,0,0,0,0,0,0,0,0,0,0,0.0992518847037299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631461135499446,0.13390188006604,0.0437788901718107
X601998.CH.EQUITY,0,0,0,-0.0198875085858943,0,0,-0.167654200440176,0,0,0,0,0.33780643810559,0,0,0,0,0,0,0,0,0,0,0.207519304212466,0,0.0335165866007095,0,0,0,0,0.182002477223063,0.0123594322400327,0,0,0,0.020640904789353,0,0,0,0,0.00762141614084009,0,0,0,0.286796292923255,0,0,0,-0.0975484463741108,0,-0.132463717822281,0.0299720264262642
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0273710189567854,0.026538498965283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261310022195754,0.224762240477868,0,0,0,0,0,0,0,0.14198533540092,0,0,0,0,0,0,0,0.143489856209061
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.235216977176117,0,0,0,0.300697641577807,0,0,0,0,0,0,0.216074358149876,0,0,0,0,0,0,0,-0.0380663715251218,0,0,0,0,0.0205999226558419,0.0327280515210342,0,0,0,0,0,0,0,-0.168945286051163,0,0,0,0,-0.0207266945705953
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.444318678582798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702697266538908,0,0,0,0,0,0.108462852811313,0,0,0,0.000240612111443855,0.0285231227349437,0.064448769492516,0,0.292778137111157,0.0449308398729612,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.512785370784273,0,0,0.0201804539992648,0.0147877049143449,0,0,0,0,0,0.208977444962258,0,0,0.205253185284504,-0.196426405522089,0,0,0.463605752318584,0,0,0,0,0,-0.00360222061206895,0,-0.0291210695901012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0139287536204205,0,0,0.0596759720663511,0,0,0,0.133552318725732,0.0504390744971648,0.0036563729243643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23187955954344,0.341799718078924,0,0,0,0.10254795217643,0,0,0,0,0,0.185633616239473,0,0,0,-0.00421742842637891
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.175680921542477,0,0,0,0,0,0,-0.0722073893171379,0,0.524048057446594,0,0,0,0,0.0593300402324548,0,0,0,0.0285821370701497,0,0.105505379984992,0,0,-0.00154424196410373,0,0,0,-0.0461717989119353,0,0,0,0,0,0,0,0,0,0,-0.102744148073465
X2007.HK.EQUITY,0,-0.153867735730023,0,0,0,0.322033889690482,-0.0604668278513951,0,0,0,0,0,0,0,0.0872123488115721,0,0,0,0,0,0,0,0,0,0,0.0340298476261783,0,0,0,0,0,0,0,0.243955296907241,-0.0612059261138542,0.00563137558851072,0,0,0,0,0,0.461810476134371,0,0,0,0,0,-0.0601870021364204,0,0.025895266564017,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,-0.10149329227138,0,0,0.295669756277387,0,0.0924331905749899,0,0,-0.148205415851332,0,0,0.288073897764596,0,0,0,0,0,0,0,0,0,0.168315120500876,0,0,0,0,0.0795439490008737,0,0,0,0,0.0341237542091457,-0.0396127298594749,0,0,0.124657825699908,0,0,0,-0.201817610820825,0,0,0
X1113.HK.EQUITY,0,0,0,-0.0380828973757004,0,0,0,0,-0.0754302203059424,0,0,0,0.142637940095396,0,0,0,0,0.158006631522063,0,0,0,0,0,0.079397772201774,0,0,0,0,0,0,0,0.171428587116182,0,0,0,0,0,0,-0.128058168329207,0,0,0.260105500283932,0,0,0,0,0,-0.0465554354465642,0.0563918694432726,0.0168159527775653,-0.0689545115889089
X600048.CH.EQUITY,0,0,0,0,0.147730464514458,0.163667570186613,0,-0.122058945090414,-0.343337238370012,0,0,0,0.528662491031043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0642268746691134,0.0478890576465748,0,0,0,0,0.131599721327523,0,0,0,0,0,0.026231637120811,0,0,0,0,0.175919166098727
X12.HK.EQUITY,0,0,0,0.196598837673676,0,0,0,0.0969169858677799,0,0,0,0,-0.0344096781129827,-0.0367725299895732,0.236776109100197,-0.0399141388861431,0,0.169413821212656,0,0,0,0.117884196924261,0,0,0,0,0,0,0.253257147565654,0,0,0.233943345457231,-0.00539615530496279,0,0,0,0,0,0,-0.0918285436631237,0,0,0,0,0,0,-0.0105148466571043,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.025489999050066,0,0,0,0,0,0,0,0,0.393914782928242,0,-0.110881773782578,0,0,0,0,0,0,-0.109090015742197,-0.0108731734450068,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.115482169846602,0.324281765515362,0,0.042389265081502
X002142.CH.EQUITY,0,0.247044926435155,0,0,0,0,1.73472347597681e-18,0,0,-8.67361737988404e-19,0,0,0,0.37942148559168,0,0,0,0,0,-0.0810174116923414,0,0,0,0,0,0,0,0.110792305134872,0,0,0,0,0,0,-0.0585725783730625,0.0825893019321143,0,0,0,0.0127901772024044,0,0,0,0,0,-0.00192196371034965,-0.111080080046687,0,0,0,-0.179396964723028
X601066.CH.EQUITY,0,0,0.0834529951686074,0,0,0,0,0,0.0603821092338876,0.0181275232427062,0,0,0,0,0,0,0,0,0.0134323538239718,0,0,0,0.0400970694534741,-0.259105674296758,-4.33680868994202e-19,0,0,0,0,0,0,-0.250446308773835,0,0,0,0.0377475226049684,0,0.378703975603389,0.0126920464161419,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.394398862892977,0.456480474054648,0,-0.158736210627426,0,0,0,0,0,0,0,0,0,-0.0812436133630902,0,0,0,0.266102401493316,0.0642954777652008,0,0,0.0330345207270997,0,0,0,0,0,0,0,0,0,0.138663256366204,0,0.231378027633905,0,0,0,0.147047105335756,0.0125654808939158
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,-0.236634635590853,0,0,0,0,0,0,0,-0.019269063853097,0,0,-0.563536477540624,0,0,0,0,0.894492511764787,0,0,0,0,-0.015557432172576,0,0,0,0,0,0,0.0494890607620327,0.0111021616355479,0,0,0,0,0,0,0,0,0,0,0.112126560697752,0,-0.0270489129768865
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462212071639042,0,-0.00679940583909915,0,0,0,0,0,0,0.0914855487386249,0,0.20099614385967,0,0.00483068476633903,0,0,0.0454447923064769,0,0,0,0,0,0.282752003444999,-0.043722550002399,0,0.0899808421301888,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194487438669985,0,-0.125409950695737,0,0,-0.00342383981493193,0.0902893205073989,0,-0.0338704511026345,0.0227613889002307,0,0,0.0709050346338307,0,0,0,0.0742096564961617,0,0.040869608951927,0,0.420651479256862,0,0.0455042118320021,-0.190240476290196,0,0,0
X601229.CH.EQUITY,0,0,0.160765567210173,0.342756732231284,0.122461076838863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311374381830496,0,0,0,0,0,0,0,0.274022252296966,0,0,0.126377684591607,0,0,0,0,0,0,0.172300750573702,0,0,0,0,0,-0.118235708753811,-0.0977632223047207
X601336.CH.EQUITY,0,0,0,0,0,0,0.0286149048703875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108546902300164,0,0,0.264981194683924,0,0.31294958373849,0,0,0,0,0,0,0,0,0.188504799286932,0.257545307794716,0.231669627701822,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,-0.0783612285008739,1.35525271560688e-20,0,0,0,0,0,0.0727593099913192,0,0,0.0836505345487026,0,0,0,0,0.0359927838338631,0,0,0,0,0,0,0,0.184798664801687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26444400963003,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0610813068218338,0,0.0608659118724488,0,0,0.0882979272301534,0.150753936291384,0,0,0,0,0,0,0,0,0,0,0,0.207270384550494,0.265380561149745,-0.087940649769214,0.0542654464765255,-0.0381955228680363,0,0,0.0232793308667711,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.174131820034129,0,0,0,0.0142341827601099,0,0,0,0,0.200478650468555,0.159210544120832,-0.038112887633655,0,0,0,0,0,0.0344117781895183,0,0,0,0,0,0,0,0,0.111601388751627,0,0,0,0,0.135132617356184,0,0,0,0,0,0,0,0,0,0,0.383320083999214,0,0,0,0,0,0,0.0366081684530614
X600015.CH.EQUITY,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808422785432831,0,0,0,0,0,0,-0.016230586055434,0.318643153279073,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.129250462504694,0.00929626231057227,0.112883947216576,0,0,0.203471092717336,0,0,0.0133568892208093,0.015477995346858,0,0,0,-0.00714155300668078
X000166.CH.EQUITY,0,0,0.285605220486113,0,0,0,0,0,0,0,0,0,0.0212446253234373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438803141897983,0.178264250854486,0,0.0274982452767288,0,0.0173346850065159,-0.0410365230536095,0.0757785926304105,0,0,0,0,0,-0.0196494563809153,0.515796979365599,0,0,0,0
X2881.TT.EQUITY,0.101496245167481,0,0,0,0,0,-0.0597743189861181,0,0,0,0,0,0,-0.0724642312563077,0,-0.156096186693704,0,0.148394035174597,0,0,0,0,0,0,0,0,0,0.094067018440551,0,0,0,1.38777878078145e-17,-0.035133174027005,0,0.0769559382421066,0,0,0,0,0,0.704051645721801,0,0,0,0,0,0,0.170956835768759,0,0,-0.203929602066229
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0284944493174659,0,0.152956238922784,0,0,0,0,0,0,0,0,0,0,0.148447805463538,0,0,0.0177135793493189,-0.176328299948771,-0.054490015111243,0,0,0,0,0,0,0,0,0.383211370399722,0.146905029640048,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0.0883663876692708,0,0,0
X2891.TT.EQUITY,0,0,0.183637152500921,0,0,0,0,0,0,0,0,0.100561919598173,0,0.0899468309929609,0,0,0.233632187736623,0,0,0,0,0,0,0,0,0,0,0,0,-0.3806260455337,0,0,0.175301575479837,0,0.142143308839016,0,0,0,0,0,0.397526076980502,0,0,0,0.105988198721626,0,0,0,0,0,0.454231417829626
X17.HK.EQUITY,0,0,0,0,0.104409306602768,0,0,0,0.0785908662098108,0,0,0,0,0,0.0670524338003497,0.0388345913909799,0,0.258768797180539,0.255437645331422,0,0,0,0,0,0,0,0,0,0,0.0126213145541146,0,0,0,0,0,0.057845907082889,0,0,0,0,0,0.304722394958492,0,0,0,-0.0309213046146157,-0.118661476588284,-0.0382753538774464,0,0.0249550624049183,0
FXI.US.EQUITY,0,0,0,0,0,0,0.521043199316664,0,0,0,0,0,0.00417077884609253,0,0,-0.092897023033911,0,0,0,0,0,0.0491315361802045,0,0.0836781396063188,0,0,0,0.301362841881,0,0.00888409146211103,0.538837286119793,0,-0.233793339857767,0,0,0,-0.0892787623753653,0,0,-0.297166991082209,0,0,-0.289113177260798,0,0.0782062162942662,0.0428706521766712,0,0,0,0,0
CN2YR,0.0917403449028328,-0.014493158254896,0,0,0,0,0,0,0.304984704126056,0.227691678900305,0,0,0,0,0,0,-0.130809994614909,0,0.18408255886539,0,0,-0.19744517463021,0.0931095086224321,0,0,0,0,0,0,0,0,0,0,-0.429206520023292,0,0,0,0,0,0,-0.135644076180378,0,0,0,0,0,0,-0.202074979371059,0.0812428980898423,-0.133373763000528,0
