,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.33226414948294,0.339883564421552,0,0.0846757740037253,0,-0.0910394201336033,0,0,0.223316401258273,0,0,0,-0.0412092512673235,0,-0.0791316193887686,6.93889390390723e-18,0,0,0,0,0,0,-0.00695391317126409,0,0,0.0110862066952061,-0.0238654808389115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0761818339768268,0,-0.113594976061516,-0.0897897938183871
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.213862085676193,0,0,0.301328863903606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616271723539239,0,-0.0123307766479233,0,0,0,0,-0.262359233237933,0.282704198450968,0,0,0.202280634364994,0,0,0,0,0.0661642060550646,0,0,0
X601939.CH.EQUITY,0.413554876163946,0,0,0.0934839723642595,0.10143382588946,0,0,0,0,0,0,0,0.132705662119043,0,0,0,0,0,-0.0360731230561544,0.123843851029984,0.00803741637823692,0,0.042385501683714,0.0438013166386541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310924963414542,0,0,0,0,0,0,-0.165716329235757,0,0,0,0,0
X601288.CH.EQUITY,0.367757541841636,0,0.205154048531658,0,0.15847963014447,0.0730887873217246,0,0.0434033906688849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853429814094431,0,0,0,0,0,0,0.0299583080172797,0,0,0,0.0306704512985664,0.175479485740087,0,0,0,0.0444182894823797,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0704765712504742,0,0.06798913409677,0,0,0,0,-0.303066506088386,0,0.0760136024056205,0,0,0,0,0,0,0.487382307376827,-0.142612068026862,0,0.174929701164135,0,0,0,0,0,-0.00943059967737635,0,0,0,0,0,0,0,-0.0904976128729501,0,0,0,0.0527009567362296,0,0,0,0,0.264431669407827,0,0,0,0,0,0.301219704171604,0
X601988.CH.EQUITY,0.0738789017899268,0,0.199731808060794,0.152278987260859,0,0,0,0.0912585796991505,0,0.128591947248495,0.261087599619339,0,0,-0.321090078060576,0,0,0,0,0,0.0269651393917115,0,0,0,0,0,0,0.0774581423608686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379423960762051,0,0,0,0.135373548150856,0,0,0,0,0.00817335669428373,0.0881166761945271
X600036.CH.EQUITY,0,0.33303661071745,0,0,0,0,0,0,0.0264536559433427,0,0,0.10300593233129,0.17221659165218,0,0.0570884346847952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156099920978681,0,-0.0382529999538769,0,0,0,0,0,0,0.154799353320071,0.0336291458050418,0,0,0,0,0.0788049863352498,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.00997564819070292,0,0,0,0,0.0920960344645014,0,0,0,0,0.0229158573929196,0,0,0,0,0,0.161981774134772,0,0,0,0,0,0,0,0,0,0,0,0,0.0491212360335435,0,0,0,0,0,0,0.0965212822806777,0,0.0682299653246956,0,0,0,0,0,0,0.176754576912033,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0321002487397965,0.211925822787238,0,0,0.0507169758638199,0,-0.0496982371254325,-0.0789244253152858,0,0,0,0.347156259374164,0.237147251412355,0,0.106635613286299,0,0,0,0.0542370942881736,0,0,0.13609791112945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533335475520606,0,0,-0.0799091048575286,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.217481303702223,0,0,0,0,0.0753002384675013,0.0693895871205765,0.0793555204472573,0,0,0,0,0.123420700797609,0,0.328901111086932,0,0,0,0,0,0,0,0,0,0,-0.0742510962291479,0.0190540020410727,0,0,0,0,0.412519391101054,0,0.20337490440545,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
