,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.142630025566747,0,0,0,-0.166475944143339,0.278570842165046,0,0,0.128950646739233,0,0,0,0.227167566158669,0,-0.0746159160845105,0,-0.121639013958292,0,0,0,-0.146116191589385,0,-0.244347632789174,0,0,0,-0.20455178391589,0,0,0.847669389833431,0,-0.00174341508577966,0,-0.120813661682638,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.132390285594025,0,0,0,0,0,0,0.172261394198584,0,0,0,0,0.0951112044884436,0,0.12421333771935,0,0,0,0,0,0,0,0,0,0,0.0880614642672231,0,0,0.329141356710768,0,0.189244221269036,0,0,0,0,0.00752019366890477,0.0336627846760577,0,0,0,0,0,0,0,-0.113774425324111
X601939.CH.EQUITY,0.351940873831028,-0.0682658756359793,0,0,0,0,0,0,0,0,0.102911809546304,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0458100817202008,0,0,0,0,0,0,-0.161619738654268,-0.222134305553718,0,-0.0989360450798102,0.189524293667334,0,0,0.592885211134603,0,-0.0356942833824029,0,0,0,0.214488152386439,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.500312650494222,0.0996466949358136,0.482233253792149,0,0,0,0,0.413435386966965,-0.385117745457384,0.284341719782592,0,0,-0.230383573378282,0,0,0,0,0,0,0,0,0,0,0,0,-0.520476489555468,0,0,0,0,0,0.0496025300621115,0,0,0,0,0,0.260199617470329,0,0.286104949584657,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.119494837915906,0,0.211288862868192,0,0,0,0,-0.0294647156881892,0,0.127887574018092,0.119352599200165,0,0.0997298368434546,0.00453279730110126,-0.085675506801602,0,0.0799901348660687,0,0,0,0,0,0,0,-0.0621011396190028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125210864989015,0,0,0,0.194935416213173,0,0,0
X601988.CH.EQUITY,-0.0574883874517263,0,0,-0.00885556416266456,0.514124365775988,0,0,0,0,0,0,0,0,0,0.169874827426818,0,0,0,0,-0.0954358555773396,-0.15200754219728,0,0.272078910946732,0,0,0,0,0,0,-0.323243647371177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890165544800018,0,0,0,0,0
X600036.CH.EQUITY,0,0.166019363351919,-0.0793967123350264,0,0,0,0,-0.137736583195902,0,0,0.601043341065433,0.0820544460844218,0,0,0,0.113315659846202,0,0,0,0.291852131345573,0,0,0,0,0,0,0,0.104117660921958,0,0,0,0,0,-0.156955161767293,0,0,0,0,0,0,0,0,0,0,0,-0.00899895419046908,0,0,0,-3.46944695195361e-18,0.059830550464819
X1299.HK.EQUITY,0,0,0,0,0.289831140491113,0,0,0,0,-0.0162619400483913,0,-0.0953443954215532,0,0,0,0,0.00295552144013464,0,0,0,0,0,0,0,0,0.146766383658322,0,0,0.134251177622827,0,0.120622643737604,0,0,0,0,0,-0.00449590480386606,0,0,0,0,-0.117886946605989,0,0,0,0,0,-0.00238077594282188,0,0,-0.0361507730763898
X601628.CH.EQUITY,0,0.183940217327087,0,0,0,0,0,0,0,0.156559095154396,0,0,0,0.209700507472846,0,-0.0780747734452641,0,0,0,0,0,0,0.0248183335740909,0,0,0,0,0,0,0,0,-0.0119017712304692,0,0,0,0.1991964542548,0,0,0,0,0,0.181776660106663,0.229135583601154,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0545855962945256,0,0,0.141989758157752,0,0,0.00341112730255298,0,0.145886622709124,0,0,0.0925775533000767,-0.0508158624675594,0,0.0446710226953831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082730321555389,0,0,0.280381228060537,0,0,0,0,0,0,0,0,-0.178089856252097,0,0,0,0,0,0,0,-0.149083741222346,-0.135734284287388,0
