,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.258679065800798,0,0.154918619489368,0,0.12885872719162,0,0,0.276829535047305,0.0858364208219089,-6.93889390390723e-18,0,0,0,0,0,0,0,0.00623783808169423,0,0,0,-0.112464761588397,0,0,0,0,0,0,0,0,0,0,0,0,0.032115060757736,0,0,0,0,0,0,0,0,0,0.117824925467788,0.0132368988870503,0,0,0,0,0
X601939.CH.EQUITY,0.479936645741504,0,0,0,0,0,-0.0319339929871895,0,0,0,0.169560387652371,0,0.266065701269034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.000429144057583499,-0.0148064725745532,0
X601318.CH.EQUITY,0,0,0,0,0.0129036645827782,0,0,0,0,0,0,0.188004255764681,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153701400399647,-6.93889390390723e-18,0.0918269288242618,0,0.16553676649287,0.206706889997074,0,0,0,0,0
X601288.CH.EQUITY,0.429813111899057,1.73472347597681e-18,0,0,0.343529910278905,0,0,0,0,0,0,0,0,0,0,0,0.0790230638292218,0,0,0,0.0741421354057025,0.0325016344533378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.330449428520277,0,0,0,0,0,0,0.267479338632977,0.134856561428162,0,0.0794821918798417,0,0.00933687798916046,0,0,0.128524369065321,0,0,0,0,0,0.03692566243779,0,-0.0140006635169091,0,0,0,0,0,0,1.38777878078145e-17,0,-0.0194546110059185,0,0,0,0.0235268668137584,0,0,0,0,0,0,0,0.0386116848983017,0,0,-0.013281346584441,0
X600036.CH.EQUITY,0,0,0.0210302853051232,0,0,0,0,0,0,0,0,0.409099221973553,0,0,0,0,0,0,0,0,0,0,0.052591849550942,0,0.12224713286293,0,0,0,0,0,0,0,0,0,0,0,0,0.0838465304239906,0,0.058348062604756,0,0,0,0,0,0,0,0,0,0.260910072878029,0,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.0835238565259222,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0998919647418337,0,0,0,0,0.088035295664111,0,0,0,0,0,0.177833789753194,0,0,0.0875500427035134,0,0.207098677509334,0,0,0,0,0,0,0,0,0,0.0100538889844932,0,0,0,0.162050286827792,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115577550186031,0,0.0934607867063746,0,0,-0.395209828601838,0,0,0,1.01753548359702,-0.753566518883313,3.46944695195361e-18,0,0.578991279242705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372415951114094,0,0,0,0,0,0,0,0,0,0.0708456876112744,-0.116017566034622
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0853485873299969,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.250547727023927,0,0,0,0.34819749306441,0,0,0.0648822902294456,0,0,0,0,0,0,0.00769726336131835,0,0,0,0,0,0,0,0.0144846940774381,0,0,0,0,0,0,0.072246919343664,0
X601658.CH.Equity,0,0,-0.163271430955534,0.29276014121034,0,0,0,0.10142081674529,0.0157732736146449,0,0,0,0,0,0,-0.202740079881422,0,0,0,0,0,0,0,0,0,0,0,0,0.693777984966402,0,0,0,0,0,0,0,0,0,0,0,-0.0690224209405777,0,0,0,0,0.67553333793624,0,0,0,-0.115610292174904,0,0
X601328.CH.EQUITY,0,0,0,0.249951822225379,0,0,0,0,0,-0.0845183674875381,0,0,0.279162518452525,0.0351370820535329,0.0208631115470486,0,0,0,0,0.185288144321463,0,0,0,0,0,0,0,0,0,0,0.184707672620137,0.00429857837349593,0,0,0.114870666868251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279928278313044
X601166.CH.EQUITY,0,0.0376448427325054,0,0,0,0.16005826122423,0,0,0,0.0177812520278991,0,0,0,0.0198073970133109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254328781081582,0,0,0,0,0,0.00115104973730315,0,0,0,0,0.014402750183733,0.25610632062272,0,0,0,0.216005119855575,0,0,0.0304864547790406,0.0168643861434953,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0603396691026176,0,0,0,0,0,0,0,0,0.475155115472215,0,0,0,0,0,0.202741273557144,0,0,0,0,0,0,0,0,0.0889772138675284,0,0,0,0.0374800071437949,0,0,0.00435039989938639,0,0,0.0458558704386017,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.00801747951616309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106018880101837,0,0,0,0,0,-0.0412650743382476,0,0,0.0704842086646836,0,0.509675174735223,0,0.146676023382454,0,0.158142822536176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0.111456679661391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596977105098309,0,0,0,0.108604913458716,0,0,0,0.0628166880171108,0,0,0,0,0,-0.0787952719817263,0,0.197281283657433,0.0567250329853772,0.234667710800241,0,0,0.251112757607142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.196427362084718,0,0,0,0.477016938017968,0,0,0,0.0306001599277273,0,0,0.00444526558536496,0,0,0,0,0.00532200952404041,0,0,0,0,0,0.0587868927088538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158973276614871,0,0,0,0,0,0.00267406282131188,0,0
