,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.528367278731924,0,0.0929428156129489,0.0261858603162978,0.0809666475297599,0.0664877110936359,0,0,0,0,0,0,0,0.0360995277703658,0,0,0.0221083369026477,0.0640812554386969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760925611012536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.40518129176124,0,0,0.0794383565645879,0.00251170003732611,0.10039732662525,0,0,0,0.0886704334409336,0.0845602553130764,0,0,0,0,0,0,0,0,0,0,0,0.0220687098736777,0,0,0.0451714985279304,0,0,0,0,0,0,0,0,0.00539244719496766,0,0,0.0409398213400154,0,0.0317566591044211,0.0663796454965074,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152632677581394,0,0,0.00355614085755265,0,0,0,0,0,0,0,0.134604266556436,0,0,0,0,0,0,0,0,0.0248047721662078,0,0,0,0,0,0.253992543508383,0,0,0,0,0,0,0.256824506184884,0,0,0,0.0864982307462765,0,0.0602046574036521,0,0,0,0,0
X601288.CH.EQUITY,0.373886744513123,0,0,0,0,0.0101646164085788,0,0,0,0.0957524698336807,0,0,0,0,0,0,0,0.235886728075936,0,0,0,0,0,0,0,0.0303402107728878,0,0,0.124980600221884,0.0648451179647974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771752486559881,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.371712504724176,0,0,0,0,0,0,-6.93889390390723e-18,0.153538746227214,0,0,0.214228431680275,0,-0.444769297939183,0,0,0,0.182909376036995,0,0,0,0,0,0,0.384465999233663,0,0,0.115285326757832,0,0,0,-0.127071018328861,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0210912540822018,0,0,0,0.145102674800386,0
X601988.CH.EQUITY,0,0,0,0.0111700814956385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352466615989521,0,0.00331121690262391,0,0,0,0,0,0,0,0.0367664841708858,0,0,0,0,0,0,0,0,0,0.403933361617485,0,0,0,0,0.0700652701795837,0,0,0,0
X600036.CH.EQUITY,0,0,0.190420277593091,0,0,0,0,0,0.088820557073367,0,0.0485551559480073,0,0.215578529813717,-0.0440693191287842,0,0,-0.0469861511439731,0,0.0399284210520374,0,0,0,0,0,0.400141246094392,0,0,0,0,0.117542163968486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167676296184963,0,0,0,-0.0476397370790099,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.144831701424072,0,0,-0.104759818957272,0,0,0,0,0,0,0,0,-0.0302291998262937,0,0,0,0.218566773342072,0,0,0.14197789731811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219997904974451,0.110753837522995,0.265399337680243,0,0,0,0.0665037904822873
X601628.CH.EQUITY,0,0,0.0388553274637604,0,0.0683128951077382,0,0,0,0,0,0,0.0168862196307787,0.198218723535943,0,0,0,0.025090279926694,0,0,-0.110321449743439,0,0,0,0,0,0,0.154588401274551,0,0,0,0,0.236194989555781,0,0,0,0,0,0,-0.0282304157803932,0,0.0928353037795583,0.173060707113441,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.101858431854631,0,0,0,0.0500409825041654,0.00820606118754402,0,0,0,0,0.0771964573186647,0,0,0,0,0,0,0.0236928319475208,0.208364173498843,0,0,0,0.00466851541417655,0,-1.73472347597681e-18,0,0,0,0.0884853505355453,0,0,0,0,0,0,0,0,0.169593742261975,0.25846102396942,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.139541638003254,0.0658098954297214,0,0,0,0.142735312253593,0.00812128482290171,0.115836495987352,0,0,0,0,0,0.00441058402146754,0,0,0,0,0,0,0.293864393853928,0,0,0,0,0,0,-0.00738287829127281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785566066777464,0,0.0285081668461925,0,0,-0.0193500138201666,-0.00911183764352274,0
