,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.119241780071948,0,0.0724557558585208,0,0.0240241844971983,0,-0.0167630187805833,0,0,0,0.394716868870756,0,0,0,-0.0925555065084874,0,0,0,0,0,0,0,0,0,0,0,0,0.212723353772937,0,0,0,0,0,0,0,0,0,0.229488419569565,0,0,0,0,0.0179913444694695,0,0,0,0.0544479069872375,0,0,0,0.128942001097364
X601318.CH.EQUITY,0,0,0,0,0,0.135906882812954,0,0,0.11049434309816,0,0.17912115679454,0,0,-0.0751814077910977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125517181999792,0,0,0,0,-0.218526956701082,0.261600456257564,0,0.0739126394152303,0.129051527236037,0,0,0,0,0,0.208454998081984,0,0
X601939.CH.EQUITY,0.168871674422447,-0.00123364707809321,0,0.296584900163701,0,0.113142505493436,0,-0.0730826698955519,0,0,0,0,0,0,0.0717222339766933,0,0,-0.0188193153408448,0,0,0,0.103171680330741,0,0,0,-0.06865589208179,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.486983326570486,0,-0.0311452878196422,3.46944695195361e-18,0,0,0,0,0,0,0.0205232831594049,-0.034268610179669,0
X601288.CH.EQUITY,0.305941912767565,0,0.198827704523509,0,0,0.206764998675328,0,0,0.115662268343561,0,0,0,0,0.0394323211746031,-0.0216701080007062,-0.14701551686566,0.0750423035120687,0,0,0,0,0,0,0,0,0,0.0233452359594873,0,0,0,0.0033160619588685,0,0,0,0,0,0,0,0,0.131477370901892,0,0,0,0,0,0,0,0,0.181245348999116,0,0,-0.0660559799786145
X5.HK.EQUITY,0,-0.124777519124863,0.027707311632711,0.285661773173181,0,0,0,-0.24804962096118,0,0,0,0,0.146133313081675,0,0,0,0,0,0,0,0.539824327650948,0,0,0,0,0.302208785209669,-0.0109683590548776,0,0,0,0,0,0,0.0223771068228078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200680426025176,-0.0718032224482488,0,0,0
X601988.CH.EQUITY,0.207497799681212,0,0.236944091920257,0.030132640218044,0,0,0,0,0.0775509123318666,0,0.0783713844579533,0,0,-0.275493783293904,0,0,0,0,0,0,0,0,0.0545531131836187,0,0.211206020619787,0,0.143393637628927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132303880439056,0,0,0,0,0,0,0,0,0.0752694982648984
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0967472841316873,0,0,0,0,0.0532481015329835,0,0.301505984710949,0.246264892251078,0,0,0,0,0.0972182223449085,0,4.33680868994202e-19,0,0,0,0,0.00741316036103273,0,0,0,0.0603350113058717,0,0,0,0,0,0,0,0,0,0,0,0.0233249299531609,0,0,0.0905753717869446,0,0,0,0.00151976201654416,-0.0351485975511289
X1299.HK.EQUITY,0,0,0,0,0,-0.0341781622820476,0.0696093296863503,0,0,0,0.140516471426689,0,0,0,-0.146565265010173,0,0,0,0.376512519532852,0,0.254058733064447,0,0.0430227953051741,0,0,0,0.104992521141589,0,0,0,-0.00406843518678824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.275265982111218,0.269645308468016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055414711532683,-0.0268791588609574,0.042681795188115,0,0,0,0,0.0240939105329733,0,0.0218589486856535,0,0.0414241736855903,0,0,0,0,0,0,0,-0.240327503225101,0,0,0,0,0.17214458468754,0,0,0,0.142258563195209,0,-0.105685201920792,0,0.149898990072011
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504646077462363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0326852796786542,0,0,0,0.457151779662454,0,0,0,0,0,0,0,0,0.228374051012625,0,0.0151045419603555,0,0,0,0,0,0,0,0,0,0,0.0480454481579957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183049246008241,0,0,0,0,0,0
