,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.357250612608738,0.0786398869215361,0.116490712365563,0,0,0,0,0,0,0.213880911631705,0,0,0,0,0,0,0,0,0,0,0,-0.0365685513809904,0.028887976923362,0,0,0,0,0,0,0.0145990717555421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329441652819071,0,0,0,0.0211426936369204,0.158960009495697,0
X601939.CH.EQUITY,0.396350694239085,0,0,0.186436290682392,0,0,0,0,-0.0372838168235817,0,0.143195187441404,0,0,0,-0.0803416657816407,0,0,0,0,0,0,0,0,0.178535581410001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00598839117633677,0,0,0,0.0969428487040586,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.304738784913059,0.0831699950297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18194567148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760916599528725,0.10838344611901,0,0,0.0119512319558201,0.14347595220323,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377077455992495,0,0,0,0.214150835898829,0,0,0,0,0,0,0,0,0.146995062027622,0,0,0,0,0,0.0913852626985949,0.0343044874243173,0,0,0,0,0,0,0,0,0,0,0,0.0843710465896369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0.478025612290196,0,0,0,0,0,0.185090232059926,0,0,0,0,0,0.0403545764553404,0.198988605373764,0,0,0,0,0,0,0,0,0,0.011955934258568,0.087188286510849,0,0,0,0,0,0,0,-0.579607181107183,0,0,0,0,0,0,0,0.176418785110894,0,0,0,0,0,0.0901346134726728,0,0.227080955174331
X600036.CH.EQUITY,0,0,0.0453335613819803,0,-0.036959601150115,0,0,0,0,0,0,0.286364588234508,-0.0497750020875296,0,0,0,0.0710647847289258,0,0,0,0,0.175753046731658,0.0114384718735373,0,0,0,0,0,0,0,0,0.208542062158225,0,0,0,0,0,0,0,0.109872238699954,0.00663158652838448,0.0865567229203256,0,0,0,0.074963538152649,0,0.0614110968723124,0,0,-0.0391720618290122,0
X1299.HK.EQUITY,0,0,0,0,0.0353276486057789,0,0,0,0,0,0.0348054584185535,0,0,0.187237441547364,0,0,0.0341618956726822,0.502059181114357,0,0,0,0,0.115532305794174,0,8.67361737988404e-19,0,0,0,0,0.0173688216958446,0,0,0,0,0,0,0,0,0,0.0849993986014491,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0162172457528228,0,0,0,0,0,0,0,0,0,0,0,0,-0.158945801556503,0,-0.176244619738911,0,0,0,0,0,0.522106326456711,0,-0.265388942678112,0,0,0.758051241970491,0,0,0,0,0,0,0,0,0,0.404359434375176,0,6.93889390390723e-18,0,0,0,0,-0.267875802148294,0,0,0,0,0,0.0175438620947447,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.112755741550514,0,0,0,0,0,0,0,0,0.378369422956078,0.020584753917505,0,0,0,0,0,0,0,0,0,0,0.0418459988389982,0,0,0.0863893300494031,0,0,0,0,0.228665921894923,0,0,0,0,0,0.0200488735045551,0,0,0.179848977993006,0.0295033041409671
X601658.CH.Equity,0,0,0,0.150355667347842,0.147167305878963,0,0,0,0,0,0,0,0,0.128477403734282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168874084221797,0,0,0,0,0,0,0,0,0.214407596363751,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.334557024948806,0,0,0
