,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0244895658302524,0.470585623262388,0.0803507046868819,0,0,0.0875817937520867,0,0,4.33680868994202e-19,0,0,0.18701885101968,0,-0.0512959138064768,0,0.0813921743553594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447831920000916,0,0,0,0,0,0,0,0,0,0,0.0217146944391104,0,0,0,0,0,0,0,0,0.0881215068663305
X601318.CH.EQUITY,0,0,0,0,0,0,0.0346433515434479,0.0945445840210649,0.277248370637709,0,0,0,0,0,0,0.0579182988992768,0.343648635499048,0.0896270218671563,0,0,0.0649152263144058,0,0,0,0,0.018273906169947,0,0,0,-0.0415729025961222,0,0,0,0.00118415628160615,0,0,0,0,0,0.0623225822696578,0,0,0.00108603778837392,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.179030638327005,0,0,0.391088460172066,0.0545477972692474,0.0518727107193599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178044047426469,0,-0.045429732059177,0,0,0,0.0896001626759175,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.00744071415007912,0,0,0.00254584554940786,0.098567608423047
X601288.CH.EQUITY,0,0,0.197917588433475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214549972520825,0,0,0.19538839122361,0,-0.000759462009013244,0,0.00734649671140991,0,0,0,0,0,0,0,0,0,0.215466974648131,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X5.HK.EQUITY,0,0,0.0811561172024113,0,0,0.232751730922076,0,0.169461270272258,0,0,0,0.311238017647559,0,0,0,0,0,0.112804847237826,0.00315190482919593,-6.93889390390723e-18,-0.221128451170772,0,0,0,0,0.273940237288673,0,0,-0.122154245825163,0,0.0208990732207411,-0.0610365724097805,0,0,0.142740274322231,0,0,0,0,0,0,0,0,0,0,0,0.119748491923821,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.200903949657153,0,0,0.0965485347594977,0,0.24106472874708,0,0,0.10362807362041,0,0,0,0,0,0.0860099699081592,0,0,0,0,0,0.17297731869552,0.0558335579200051,0,0,0,-0.0785841066720991,0,0,0,0,0,0,0,0,-0.0370456248217404,0,0,0,0.222172472446637,0,0,0,-0.00834986802351497,0,-6.93889390390723e-18,0.049948160818644,0
X600036.CH.EQUITY,0,0.0409310377273143,0,0,0,0,0,0,0.00804793251320801,0,0,0,0,0,0,0,0,-0.0454232163911462,0,0,0,0,0,0,0.730477354262089,-0.0240039135779492,0,0.0442484264021063,0,0,0.131860907363342,0,0,0,0,0,0,0,0,0,0,0.110243911044273,0,0.0727952752034853,0,0,0,-0.022523755316542,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.262027051402055,0,0,0,0,0,0,0,0.0505724454212087,0,0,0,0,0,0.0815114432049358,0,0,0,0,0,0,0,0.0692771934787582,0,0.136965783718699,0,0.0139500147416185,0.291554563190811,0,0,0.100720040274662,0,0,0,0,0,0,-0.0762708978390264,0,-0.0603014484625781,0,0.0542897706245478,0,0,0,0,0
X601628.CH.EQUITY,0,0.156185063513296,0,0.0394612177284657,0,0,0,0,0,0,0,0,0,0,0,0,0.0672580476261659,0,0,0,0,0,0,0,0.146672328199558,0,0,0,0,0,0,0,0,0,0,0,0,0.377294316328517,0,0,0.126307405846673,0.0634492795539157,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.208374632904952,0,0.0961028248018397,0,0,0,0.02248151642246,0,0,0,0,0.333616804548437,0,0,0,0,0,0,0,0,0,0,0.324863858974648,0,0,0,0,0,0,0,-0.0305355022670094,0,0,0.0622724224294096,0,0,0,0,0,0,0,0.0827984781022559,-0.0146097331410407,0,0,-0.0363131457094295,0.102858687077712,0,0,0,0
