,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.00107130944210744,0,0,0,0,0,-0.0404224505598604,0,0,0,0,0,0,0,0,0,0,0,0,0.515391015621212,-0.114112574647802,0.660607162779362,0.00755515130916097,0,0,0,-0.196292272488594,0,0,0,0.243026251175279,-0.309769843065337,0,0,0,0,0,-0.0546984841609652,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0.0117198559299371,0,0,0.195524765385621,0,0,0,0,0,0,0.113518230596168,0,0,0,0,0,0.132776727492638,0,0,0,0,0,0,0,0,0.133666733648386,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.228553956007991,0,0,0,0,0,0,0,0,0,0,0,-0.0156678780482717,0
X601939.CH.EQUITY,0,0,0,0.813147438758036,0.0116084386496995,0.00228811303862136,0,0,0,0,0,0,0.00859247804128197,0,0,0,0,0,0.0520964491238796,0,0,0.00254973312540514,0,0,0,0,0,0,0,0,0,0.0884804233206954,0,0.0438739883237487,0,0,0,0,0,0,0,0.033768468620359,0,0,0,0,0,0,0.0386681001721743,0,0,0.020736505598495
X601288.CH.EQUITY,0.0117826729733563,0,0.884398829688826,0,-0.0868686342428282,0,0,0,0,0,0,0,0,0,0.00643043371732392,0.0550606830957873,0,0.128365108975351,0,0,0,0,0,0,0,-0.0258925636321516,0,0.0519684734947064,0,0,0,0,0,0,0,0,0,0,0,0,-0.115802566450405,0,0,0,0,0,0,0,0,0,-0.0423764251786845,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.826513799927023,0,0.0346271055153689,0,0,0,0,0,0,0,0.141238505346107,-0.00743055531081834,0,0,0,0,0,0,-0.0886762446190953,0,0,0,0.0224942409416043,-0.0334547094372086,0,0,0,0.00689935194153714,0,-0.0309443856811392,0.0657470415965553,0,-0.016259651366715,0,0.013627552016645,0,0,0,0,0.036125860762767,0.144141354303985
X601988.CH.EQUITY,0,0,0,0,-0.0805322482548573,0,0,0,0,0,0,0,0.867874198073083,0,0,0,0,-0.32866385911357,0,0,-0.0397780343392479,-0.000876960349071901,0,0,0.390833867361578,0,0,0,0,0,0,0,0,-0.0805540273822269,-0.0126008646342834,0,0,0,0,0,0,0,0,0.081110559059646,0,0,0.0789925298836139,0,0,0.005803396944771,0.0741298578778024,0.0776980425495968
X600036.CH.EQUITY,0,0,0.350191931513264,0,0,0,0,0,1.73472347597681e-18,-0.0181422838758596,0,0,0,0,0,0,0.15941591836002,0,0,0.0253366195242142,0,0,0,0,0,0,0,0.151574454356705,0.0980980894367925,0,0,0,0,0.249936255860575,0,0,0,0,0,0,0,-0.0155434425670127,0,0,0.0301094186366348,0,0,0,0,0,0.0778546812849371,0
X1299.HK.EQUITY,0,0.0553331736894455,0,0,0.0789674689073788,0,0,0,0,0.159956366395536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13276255911563,0,0,0.243105925870493,0.346827647054853,0.134760391339862,0.118035798278488,0,0,0,0,0.0819435614425448,0,0,-3.46944695195361e-18,0,0,0,0.162597069597485,0,-0.218366489864463,0,0,0,0,0,0.16821863329512,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239700748351857,0,0,-0.20597799794252,0,0,0,0.0169307386171912,0,0,0.0375044251536801,0.373403259215023,0.340314134360312,0,0,0,0,0,0,0,0,0.00804963421112746,-0.100210490924341,0,0,0,-0.129353849914902,0,0.0901695001275608,-3.46944695195361e-18,0,0,0,0,0,0.140123563821245,-0.095943029687757
X388.HK.EQUITY,0,0,0,0,0.217981908302313,0,0,0,0,0,0,0,0,0,0,0,-0.0366569156502568,0,-0.24013753653292,0,0,0,0,0,0,0.442517236063011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259420901693495,0,-0.113669028415206,0,0.0500778229718555,0,0,0,0,-0.111610646596511,0.069904897199112
X601658.CH.Equity,0,0,0,0.225208413838515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269832822937067,0.0314085068304546,0.023315768614174,-0.134576038155893,0,0,0,0,-0.112635354617668,0,0,0,0.00916458670533931,0,0,0,0,0,0,0,0,0,0,0,0,0.377228280856284,0,0,0,0,0,0,0.0304323497740458,0,0
X600030.CH.EQUITY,0,0,0,0,0.156880891477517,0,0,0,0,0.0486508156407606,0,0,0,0.152944594803011,0.00322504179878355,0,0,0,0,0,0,0,0,0.0155587533314563,0,0,0,0,0.0123603570607156,0,0,0,0.413831133449695,0,-0.0519890050790254,0,0,0,0,0,-0.0283454543583481,0.0205314499924072,0,0,0.152265953552206,-0.0121144200727477,0.0466289793158767,0,0,0.114122972095812,0,0.0218597969291181
X601166.CH.EQUITY,0,0,0.0192022924011466,0,0,0.563857147818486,0,0,0,0.0170464871650475,0.0721205314000196,0,0,0,0,0.0171259167554434,0.0866301448479077,0,0.0676231679010677,0,0,0.0516991585508526,0,0,0.0067447357105659,0.0868010554834121,0,0,0,0,0,0,0,0,0.000698429768558158,0,0,0,0,0,0,-0.0285947108611719,0,0,0,0,0,0,0,0.0430053767524125,0,0
