,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0.144705635153073,0,0,0,0,0.0981879028641645,0,0,0,-0.0611476634306713,0,0,0,0,0,0,0,0,0.240817008061033,0,0.0130131952869326,0,0,0,0,0,0,0,0,0,0.0434546815456036,0,0,0.118621779209564,0,0,0,0,0,0,-0.0579853422810236,0,0,-0.116951068626321,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175179713100589,0,0.0933106634339525,0,0.314306081653461,0,0,0,-0.0391202836558265,0.000570008757632735,-0.0147737870005559,0,0,0,0,0,0,0,0,0,0.0789724781231925,0,0,0,0,0,0,-0.281581805638027,0.247387305785049,0,0.223891635723544,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.319321983825487,0,0,0,0.0817421266355506,0,0,0,0,0,0,0,0,0.153166516622309,0,0,0,0,0,0,0.0737184074060579,0,0,0,0,0.150947775960167,0,0,-0.00513499855366844,0,0,0,0,0.108216154424387,0,0,0,0,0.0414102132249724,0,0,0,0,0.112538658527239,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.211431324981589,0.0654750650293226,0.0928215854385817,0,0.0283803312441153,0,0,0,0.0274653567230461,0,0,0,0,0,0,0,0,0,0,0,0.0836613521200252,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279418911836221,0,0,0,0.188412448432255,0,0,0.271650198063057,0,0,0,0,0,0.1474261796766,0,0,0
X5.HK.EQUITY,0,-0.208388576445351,0,0.426612796050958,0,0,0,-0.121823512628251,-0.0416965081063359,0,0.185791155700554,0,0,0,0,0,0.079865141863095,0.124515842503956,0,0.0178386840037129,0,-0.0844610248179035,0.467731048364851,0,0,0,-0.0253804555171749,-0.007973839979916,0,0,0,-0.0553965154305289,0,0,-0.190495409531375,0,0,0,0.0346931915534368,0,0,0,0.13915932901897,0,0,0,0,-0.208195668135342,0,0.0347119223478264,0
X601988.CH.EQUITY,0,0,0.0920796289162846,0.208263388258704,0,0,0,0,0.0554676963224268,0.155025325838482,0.389013229932197,0,0,0,0,0,-0.0389068033697362,0,0,0,0,0,0,0.117178097149548,0,-0.0988801552645422,0.00264594746862479,0,0,0,0,0,-0.113015302757786,0.0319031456848126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286694203957272,0.157150023849727
X600036.CH.EQUITY,-0.0473431193912658,0.210675323687424,0,0,0,0,0,0,-0.0157792487811358,0,0,0.105451891053727,0,0.264855405079147,0,0,0,0,0.168517597396998,0,-3.46944695195361e-18,0,0.0476688215964576,0,0,0,-0.0492173005622862,0,0,-0.0193589635002526,0,0.144374698614192,0,0,0,0,0.0686238659499567,0,0,0.0734332549884295,0.214774245959678,0,0,0,0,0,0.0489732672137427,0,0,0.0985064070083892,0
X1299.HK.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0241828518538968,0,0,0,0.0833931334725563,0.156807359195808,0,0.227193033760756,0.105074814929468,0.0583441765257666,0,0,0,0,0,0.1755703503647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634246062337571,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.00865120949333117,0,0.0343977956109253,0,0,0,0,0,0,0,0,0,0,0.124721478122462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551996762854279,0,0,0,0,0,0.298596950694371,0,0,0,0,0,0,0,0,0,0.156502504855564,0
X601166.CH.EQUITY,0,0,0,0.106857905483047,0,0.143374059577882,0,0,0.00397863652278316,0,0,0,0,0,0,0.200558433099756,0,0,0,0,0,0,0,0,0,0,0.1060066576374,0,0,0,0,0.370418166193809,0,0.143741926976203,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.161376221313047
