,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.27956391065773,0.115035576840727,0,0.245572126062517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199722898131278,0,0,0,0,0,0,0.0147287977090366,0,0,0.018586181238963,0.0962287606266152,0,0,0,0.0891570771985668,0,0,0,0,0,0,0,0,-0.000888833353897611,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.113363633701322,0,0,0,0,0.184321283957295,0,0,0,0.0342286198048801,0,0.0532004515028771,0.208606707738657,0,0.138027385021242,0,0,0,0.134013049186365,0,0.0203128279964363,0,0,0,0,0,0,0,0.0873679735764195,0,0,0,0,0.0496788051400433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.117234233911162,0,0,0,0,0,0,0.0873259641683603,0,0,0,0,0,0,0,0,0,0.0493305680283708,0,0,0.0779938845365816,0.337459514397289,0,0,0,0,0,0,0,0,0,0,0,-0.117843712555962,0.111646438496614,0,0,-0.0415317175888844,0,0,0,0,0,0.161248188209536,0.0191593874821749,0,0
X601939.CH.EQUITY,0.544803152579737,0.0152421988797078,0,0,0,0,0,0,0.132611671738793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130370451055978,0,0,0,0,0,0,0.0121735883380786,0,0,0.0856039961760652,0,0,0.137644543977297,0,0,0,0,0,0,0,0,0,0.138042062986037,0.193556831570532,0.0449632688732129,0
X601288.CH.EQUITY,0,0,0,0.197493758864389,0,0,0.45382066717311,0,0,0,0.0905993366846991,0,0,0,0,0,0.0691159379361203,0,0,0.0318753444035993,0,0,0.044438063286688,0,0,0.0432397700567055,0,0,0,0,0,0,0.11161103661638,0,0,-0.0173807624631235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234755234606253,0,0
X1299.HK.EQUITY,0,0,0.0201766909797079,0,0,0,0,0,0.0724763193561827,0.264725360580147,0,0,0,0.143699338342867,0,0,0,0,0,0,0.188656548586235,-0.250184237701322,0,0,0,0,0,0,0,0.113350577346517,0,0,0,0,0,0,0,0.0356078303544809,0,0.144647457893146,0,0,0,0,0,0,0.233870218703135,0,0,0.0235572800127258,0,0
X601988.CH.EQUITY,0.191604477721832,0,0,0,0.349476420359741,0,0,0.07807051121422,0,0,0,0.060381322797308,0,0,0,0,0,0,0.12042532378509,0,0,0,0.0943733496493613,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.203910982551636,0,0,0,0,0,0,0.053491346625747,0,0,0,0,0,0.0724616705551553,0,0,0,0,0,-0.071083657861259
X601628.CH.EQUITY,0,0,-0.013279366743831,0,0,0,0,0,0,0,0,0,0,0,0,0.142733739596796,0,0,0.198117883649316,0,0,0,0,0,0.071265193837479,0,0.0497944241980889,0,0,-0.052526780274649,0,0.0417176814161451,0,0.0694475216034846,0.330558169457504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.150917499808099,0,0.0849091560823037,0,0,0,0,0,-0.143471441876677,0.086237474454425,0.0543318709464025,0,0,0,0,0,0,0,0,0,0,0,0,0.252551063780614,0,0,0.136424974407694,0,0,0,0,0.0457200620616276,0,0,0,0,0,0.217028326016691,0,0,0,0.0950621010721763,0,0.110502262771494,0,0,0,0,0,0,-0.0307132652506263
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382601948108123,-0.142158405354441,0,0,0,0,0,0,0,0,-0.247056266422522,0,-0.176400964837851,0,0.193580075233146,0,0.231570071883778,0,-0.176676907785558,0,0,0.164848936033296,0,0,0.493802759847565,0,0,0,0
