,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X000001.CH.EQUITY,0,0,0,0,0,0,0.0334570176182358,0.152981401414708,0,0.0723836938003008,0,0,0,0,0,0,0,0.0819916648815869,0,0,0,0,0,0,0,0,0.0203788944861918,0,0,0,0,-0.2369716347367,0,0.192415908516952,0.160210241451688,-0.242480980741713,0,0,0.217895935109512,0,0,0,0,0,0,0,0.220532211741177,-0.0339810449061826,0.221772191226861,-0.00479489090708589,0
X16.HK.EQUITY,0.0143971709298882,0,0,0.206320513736627,0,0,0,0.201574920594036,0,0,0,0,0,0,0,0,0.067311746144673,0.125568211344277,0,0,0,0.032691154398626,0,0.166490049085772,0,0,0,0,0.00676069872622045,8.67361737988404e-19,0.200193428795265,1.73472347597681e-18,0,-0.0905165655548081,0,0,0,0,0,0,0,0.224726117438867,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,-0.129385253662865,0,0,0,0,-0.269039839321271,0.135365495410633,0,0.287322064941847,0.325286604499669,0,0,0,0.0517430753565856,0,0,0.202881138745038,0,0,0.177052333322934,0,0,0,0,0,0,0,0,0,0,0,0.0221187794373303,0,0,0.0880566755141312,0,0,0,0.252550361989987,0,0,0,0,0,0,-0.0888520941526924,0,0,0,0,0.0220633018502929
X388.HK.EQUITY,0,0,0,0,0,0,0,0.254903586023898,0,0,0,0,0,0,0.099684589706013,0.0902705159949644,0,0,0,-0.058166620619617,-0.192083316934127,0,0,0,0,0,0,0,0,0,0.249006710130885,0,0,0,0,0,0,-0.272156102787092,0,0,0,0.237678011863461,0,0.138869778980208,0,0,0.0168992958944433,0,0,-0.159566373334751,0
X11.HK.EQUITY,0,0,0,0,0.111462412315764,0,0,0.204946391870549,0,0.0220258267224581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339476821543424,0,0,-0.0316640630126503,-0.0822304066536351,0,0,0,0.0903944356095843,0,0,0,0,0,0,-0.0988828868575128,0,-0.0680443831296873,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0
X601998.CH.EQUITY,0,0,0.0246520790002428,0,0,0,0,0,0,0,0.126649596725995,0,0,0,0,0,-0.0593701883047418,0,0,0,0,0,0.100421379216772,0,0,0,0,0.212106240997896,0.188971173126369,0,0.157978743539695,0,0,0,0,0,0,0,0,0,0.0302882473698686,0,0,0.156494088384053,0,0,0,0,-0.00767862883235464,-0.110617426348391,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.271736129700497,0.0497856936698233,0,0,0,-0.128316787125278,0.0998540992993749,0,0.0331521148747882,0,0.346649758724593,0,0,0,0.00745993779363135,0,0,0,0,0,0,0,0,0,0,0,0.12545283851339,0,0,0,0,0,0,0,0.157861643849917,0,0,0,0.0934809977169521,0,0,0,0.144796057633145,0.118920155436238
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390353112160436,0,0,0,0,0.10456892030747,0,0,0,0.155411834806169,0,0,0,-0.0446912048997086,0,0,0.117033283754186
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.233004701433874,0,0,0,0.298615496862404,0,0,0,0,0,0,0.210104820828417,0,0,0,0,0,0,0,-0.0295963959234593,0,0,0,0,0,0.0474785456002174,0,0,0,0,0,0,0,-0.161923727410995,0.0191784597652871,0,0,0,-0.0171238009449449
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.257134593060196,0.147504943245641,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0616688738662906,0,0,0,0,0.0402600806571618,0,0,0,0.0500753260218787,0.137419133438196,0.0926149001091433,0,0.166371965016609,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.531125097067919,0,0,0,0.0244164621573769,0,0,0,0,0,0.22299730077167,0,0,0.170023362933899,0,-0.150459380972623,0,0.472387462018742,0,0,0,0,0,-0.0165620145713323,-0.0240476255602088,0,0,0,-0.0337379822213135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00862649063267499,0,0,0.0578929193522596,0,0,0.121136255169836,0,0,0.00921763429753119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231532590633188,0.334660597000955,0,0,0,0.0772822567648715,0,0,0,0,0,0.15243794353487,0,0,0,-0.000886979420686573
X2007.HK.EQUITY,0,-0.129353191875826,0,0,0,0.27128965508859,-0.0776324797175189,0,0,0,0,0,0,0,0.0917394765279069,0,0,0,0,0,0,0,0,0,0,0,0.0304153080304898,0,0,0,0,0,0.27486696199541,0,0,0,0,0,0,0,0,0.433465353749415,0,0,0,0,0,0,-0.0784182812648653,0.02222799319519,0
X1109.HK.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,-2.16840434497101e-19,0,0,0,0,0.174375421016038,0,0,0,0,0,-0.0668905720738638,0,0,0.523684835704334,0,0,0,0.0656862802416216,0,0,0,0,0.0268807330262857,0,0,0.103736073535378,0,0,0,0,0,-0.0495438121891898,0,0,0,0,0,0,0,0,0,0,-0.0991300219402352
X601818.CH.EQUITY,0,0,0,0,0,0,0,-0.0615373902273066,-0.0834895104945189,0,0,0,0,0.209884325501584,0,0,-0.162345999956705,0,0.213486794899178,0,0,0,0,0,0,0,0,0,0.240909576762823,0,0,0,0,0,0,-0.0181769656795446,0,0,0,0,-0.061907803674746,0,0,0.270942824676315,0,0,0,0,-0.0618806610687982,0,0
X600048.CH.EQUITY,0,0,0,0,0.172239352488348,0.133454170786136,0,-0.106097344880886,-0.357184930490633,0,0,0,0.408208649401861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0396025508450788,0,0.147805798642397,0,0,0,0,0.124004658203716,0.0276892498467878,0,0,0,0,0,0,0,0,0,0.162211245447799
X1113.HK.EQUITY,0,0,0,-0.00770478084897964,0,0,0,0,0,0,-0.0693848925621174,0,0.154980220188253,0,0,0,0,0.184451156580203,0,0,0,0,0,0.0932932419081314,0,0,0,0,0,0,0,0.278144002918712,0,0,0,0,0,0,-0.0695804076414918,0,0,0.139881189110685,0,0,0,0,0,0,-0.0409130318389784,0.00581082653221726,-0.0974979988367632
X12.HK.EQUITY,0,0,0,0.186105978208645,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0810450515942756,-0.0995467988030101,0.346629599622651,0,0,0.0450087035440001,0,0,0,0.254149199997896,0,0,0,0,0,0,0.0965115419654608,0.241977735619345,0,0.241432657431022,0,-0.0439602334080954,0,0,0,0,0,-0.0681538384939839,0,0,0,0,0,-0.0109053230756295,0,0,0,0,0
X823.HK.EQUITY,0,0.0673440233872167,0,0,0,0,0,0,0,0,0,0,0,0,0.0254798091836923,0,0,0.32515669011493,-0.079373472913919,0,0,0,0,0,0,-0.118686917312441,0,-0.0831697487399066,0,0.0661047054216509,0.135565928849297,0,0,0,0,0,0,0,0,0,0,0.133944482789639,0,0,0,0,0,0,0.0940671515520817,0,0
X601066.CH.EQUITY,0,0,0.0357335375381923,0,0,0,0,0,0,0.0327433095337383,0,0,0,0.00965434858745476,0,0,0,0,0,0.0274394037689011,0,0,0.0603068904284037,-0.183580661815596,0,0,0,0,0,0,0,-0.257478911385829,0,0,0,0.118155898201636,0,0.329417398426851,0.00346319201123518,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19
X002142.CH.EQUITY,0,0.237843454318112,0,0,0,0.284424357006507,0,-0.0424608775217246,0,0,0,0,0,0.163534019419338,0,0,0,0,-0.022443099605646,0,0,0,0,0,0,0,-0.00368264192329148,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0827481071617483,0,0,0,0,0,1.73472347597681e-18,-0.157464134163778,0.0116063560832094,0,-0.031966725543252
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285960915804035,0,0,0,0,0,0,0.0522099080478203,0,0,0,0,0,-0.241833069826683,0,0.393967626463919,0,0.100416699875456,0,0.110818264194576,0,0,0,0,0,0,0.0841582829059779,0,0,0,0,0,0.249412056997883,0,0,0.0269944364990568,0.0283395473902957,0.0464917816965418
X601688.CH.EQUITY,0,0,0,0,0.0193621215518745,0,0,0,-0.226490463599736,0,0,0,0,0,0,0,0,0,-0.473962305499283,0,0,0,0,0,0.896651500350791,0,0,0,0,0,0,0,0,0,0,0,0.147901262680848,0,0,0,0.102021564661257,0,0,0,0,0,0,0,-0.0180451755373096,0,-0.026909974098555
X601211.CH.EQUITY,0,0,0,0,0,0,0.0747009835797246,0.0377467392986563,0,0,0,0,0,0,6.0062001215791e-05,0,0,0,0,0,0,0,0,0,0.570411242909084,-0.0352292111067031,0,0,-0.0103491538608846,0,0,0,0.0176059778222248,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0164297647001566,0.0282407282186443,0,0.291481007092789,0,-0.0956939038268762,0.104665770027202,-0.0536045896996506
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264214920437787,-0.0903803657137339,0,0,-0.000399195958685423,0,0.0600920772853268,0,0,-0.0399859391714459,0,0,0.0610177810801066,0,0,0,0.0699743144520895,0,0.0434239194893516,0,0.41350355786636,0,0.0590448204858596,0,-0.166837804091217,0,0
X601229.CH.EQUITY,0,0,0.210534728367909,0.290632600599665,0.0812025393269155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442766526442178,-0.095264351075698,0,0,0,0,0,0.274523749753233,0,0,0,0.199781964801269,0,0,0,0,0.107002394848571,0,0.155123285320638,0,-0.0248838604662698,0,0,-0.0149890656108574,-0.11146545488052,-0.146250557802511
X601336.CH.EQUITY,-0.0872445130162336,0.198645856819437,0.168923397562084,0,0,0,0,-0.444955832802454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603426844816399,0,0,0,0,0,0,0.286466220261384,0,0,0.141121021793968,0,0.0724654933061373,0.137558321260884,0.23925453573362,0,0,0,0,0.13400215719662,0,0,0.224730748166465,0.177704102918109,0.0806043907246554,0,0,0,0,-0.00107096136123711
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0427351434706915,0,0,0.0719720326037745,0,0,0,0,0,0,0,0.0122466600412197,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0363824253076328,0,0,0,0,0.0544039185756732,0,0,0,0,0,0,0,0.273253658968646,0,-0.0448243829579465,0,0,-3.46944695195361e-18
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.149905649779109,0,0.169738080467715,-0.0808187447761699,0,0,0,0.180314117622862,0,0,0,0,0,0,0,0,0,0,0.2641318819163,0.0700510213393206,0,0,-0.150748073114176,0,0,0,0,0,0,0,0,0,0,0.0405207327838942,-0.0295817964634716,0,-0.0131562521169744,0,0
X601169.CH.EQUITY,0,0.136394922722633,0,0,0,0.129509758876901,0,0,0,0,0,0.238660757766282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082645949836284,0,0,0,0,0,0,0,0,0,0.609009154043805,0,0,0,-0.0567241602586886,0,0,0.00571402829300791
X600015.CH.EQUITY,0,0,0.0351189238302925,0,0.05775012645462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119567834720226,0,0,-0.0560177451011067,0,0.302038222197053,0,0,0,0,0,0,0,0,0,0.0609290392882569,0,0.16146143837058,0,0,0.312008366562311,0,0,0.0548701628377935,0,0,0,0,0
X000166.CH.EQUITY,0,0,0.251231849751837,0,0,0,0,0,0,0,0,0,0.0155272997367055,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.16769001953978,-0.0455760589253199,0,0.0310221551838529,0,0.0105416120506652,-0.0266048774815399,0.0730910436351312,0,0,0,0,0,-0.0191845148831507,0.554835670050495,0,0,0,-0.0132165003110478
X2881.TT.EQUITY,0.106719429297595,0,0,0,0,0,0,0,0,0,0,0,0,-0.148741959069121,0,-0.163409948436065,0,0.0432552134937961,0,0,0,0,0,0.0972848927761241,0,0,0,0.150977357849877,0,0,0,0.0991739726395148,0,0,0,0,0,0,-0.0795970797116958,0.0725043881762502,0.672802328401203,0,0,0,0,0,0,0,0.125083262418949,0,-0.187297814526947
X600999.CH.EQUITY,0,0,0,0,0.0496212183996107,0,3.46944695195361e-18,0,0,0,0,0.267883758991836,0,0,0,0.0698700404722513,0.0347597096897173,0,0,0,0,0,0.122019711260048,0,0,-0.121260327673225,0.0535138428591582,-0.148622714917954,0,0,0,0,0,-0.107772674621704,0,0,0.35114866862177,0.138089553640148,0,0,0,0,0,0,0,-0.00940822535826301,0,0,-1.73472347597681e-18,0,0
X601916.CH.Equity,0,0.000406992083903824,0,0,0,0,0,0,0,0,0,0,-0.0132933156084136,0,0,0,0.0183566129183184,0,0,0,0,-0.0154556233829449,0,0,0,-0.00837248420097652,0,0,-0.00734808149856543,0,0,0,0.0316114967581556,0,0,0,0,0,-0.00685676136235717,0,0,0,0,0,0,0,0,0,0.0117708431728611,0.0033260385021412,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0690179515239427,0,0.295613278358483,0,0,0.0741220387612656,0,0,0,0,0,0,0,0,0,0,0,-0.0313077709331091,0,0,0,0,0.103320907472903,0,0,0,0,0,0,0.285128311856287,0,0,0,0.0606168939781041,0.0510337376633285,0,0,0,0,0
FXI.US.EQUITY,-0.0181166778428073,0,0,0,0,0,0.391626416922455,0,0,0,0,0,0,0.0258838006123734,0,0,0,0,0,0,0,0,0,0.00513703348037087,0,0,0,0.317892863730106,0.0465622089079283,0,0.673403458975008,0,0,-0.272128100033942,0,0,-0.0229876086981091,0,0,-0.255068204950169,0,0,-0.327316054950502,0,0.12687147607048,0,0,0,0,0,0
CN2YR,0,0,0,0,0,0,0,0,0.378297140539828,0.0841320461181344,0,0,0,0,0,0,-0.0524048352205405,0,0,0.0686227068954609,0,0,0.0753039299369787,0,0,0,0,0,0,0,0,0,-0.348424153447196,0,0,0,0,0,0,0,-0.035640094448746,0,0,0,0,0,0,0,-0.212266718569978,-0.319148866762817,0
