,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,-1.73472347597681e-18,0,0.266924459497404,0,0,0,0,0,-0.13455114275605,0,0,0,0,0,0,0,0,0,0,0.489840551596154,0,0.502366560876046,0,0,0.173156443775962,0,0,0,-0.00715865205741636,0,-0.147720374886231,0,0,-0.288894984809883,0,0,-0.830065386077167,-0.0673664525515356,-0.00253887419153918,0,0,0,0,0,0,0,0,0,0.0888680763984351,0
X601939.CH.EQUITY,0,0,0,0.347354209244209,0,0,0,0,0.1544345271856,0,0,0.00888936424530018,0,0,0.0990079254455641,-0.0194067976318464,0,0,0.00466758021946244,0,0,0,0,0.0652564395365891,0,0,-0.0668223544476953,-0.0432459449699919,0,0,0,0,0,0,0,0,0,0,0,-0.0318738738273425,0,0,0,0,0,0,0.0422146028052268,0.410292667559445,0.0214566582654321,0,-0.09751449256296,0.151400049452299
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0,0
X601288.CH.EQUITY,0,0.394270769139027,0,0,0.22612681460175,0,0.0561380958043811,0,0,0,0,0.204118524819879,0,0,0,-0.0553511683242868,0,0,0,0,0,0,0.21172173515057,0,0,0,0,0,0,0,0,-0.00942092229070914,0,0,0,0,0,0,0,0,0,0,0,-0.0537454727758777,0,0,-0.0917896312371626,0,0,0,0,0
X601988.CH.EQUITY,0,0.277317920848543,0,0.146998255530094,0,0,0,0,0,0.0587672676196035,0,0,0,0,0,0,0.110611384720648,0,0.146347847681257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.527085063278637,0,0,0,0.161634898541219,0,0,0,0,0,0,0,0.354215178013069
X600036.CH.EQUITY,0,0.0716746916617323,0,0,0,0,0.0810570581846814,0.0388642169038532,0,0,0,0,0.105492851035156,0,0,0,0,0,0,0.00103254338481425,0.141854505470219,0,0,0,0,0.0161323779005109,0,0,0,0,0,0,0,0.425212590013816,0,0,0.00594301403961944,0,0,0,0,0,0,0,0.0915997447744195,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,3.46944695195361e-18,0,0,0.0494956301054316,0,0,0,0,0,0.138187654540781,0,0,0,0.0610363829137585,0,0,0,0.226183469922937,0,1.38777878078145e-17,0,-0.0921197755755023,0,0,0,0.0657864700803236,0,0,0.0846846965585807,0,0,0,0,0,0.0513624419730252,0.045933547064708,0,0,0.0560202510655904,0,0,0,0.342797318799185,0,0,0,0,0,0.0481649688994236,0.0905135180869878
X601628.CH.EQUITY,0,0,0,0,0,0.365042925088088,0,0,0,0,-0.161717714715264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136949017492415,0,0.063026296260074,0.164257729635777,0,0.0838551818984251,0,0,-0.0859305321026468,0,0.0946937131401552,0,0,0,0.0509027483323722,0,0,0.0150405528945014
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032326913222186,0,0,0.00808986935918566,0,0,0.0354781370925468,0.871644235288338,-0.620148152928591,0,0,0.644168472199415,0.120895536589308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122305746125286,0,0
X601658.CH.Equity,0,0,0,0.0554751520065211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268286443356449,0.191351214925522,-0.193216778464229,-1.73472347597681e-18,-0.0736673774971391,0.0294841745107103,0,0,0,-0.170508464512982,0,0,0,0,0,0,0,0,0,0,0,0,0.0136496104508592,0.534636706868523,0,0,0,0,0,-0.0482393262551029,0,0,0,0,0
