,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.39933120017615,0.0329623144135658,0.0129439173553167,0,0,0,0,0,0,0.201821900124127,0,0,0,0,0,0,0,0,0,0,-0.0114108824836971,0.104893101279593,0,0,0.079545429466916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553933774919111,-0.121758540415846
X601939.CH.EQUITY,0.415507251661047,0,0,0.206895805589322,0,0,0,0,0,0,0,0,0,0.176928154952391,-0.222998152287972,0,0,0,0,0,0,0,0,0,0,0.237684574838466,0,0,0,0,-0.00795399547480419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106889151477546,0.0218154617650702,0,-3.46944695195361e-18
X601318.CH.EQUITY,0,0,0,0,0.196097716818266,0.241084146899272,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0,0.0687578452425491,0,0.0254609687085,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296163446001386,0.0954243030495794,0,0,0.174305374015373,0,0,0,0,0,0,0,0,0.189649756749154,0,0,0,0,0,0.0454239336628605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120889527791894,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0
X601988.CH.EQUITY,0,0.211528977443726,0.0969591173245483,0.299857403593442,0,0,0,0,0,0.293910429310671,0,0,0,0,0.0785924031531173,0.154378196431224,0,0,0,0,0,0.0681190080934945,0,0,0,0,0,0.174355312898483,0,0,0,0,0,0,0,0,-0.661127577999841,0,0,0,0,0,0,0,0,0,0,0,0,0.0391881384090187,0
X600036.CH.EQUITY,0,0.0258656231713653,0,0,0,0,0,0,0.0531673239276176,0,0,0,0.146346425797377,0,0,0,0,0.0513164463100132,0,0.0276780297091094,0,0,0.153258243791009,0,0,0,0,0,0,0,0,0.357238457541105,0,0,0,0,0,0,0,0,0.0579773127249004,0,0.0408059417525215,0.187037241701973,0,0,0,-1.38777878078145e-17,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.194639743699945,0,0.11136842225354,0,0,0.121082176113811,0,0,0.203180098367734,0,0,0,0,0.224131117081031,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.180245289185386,0,0,0,0,0,0,0,0,0,0,0,-0.0403056457877902
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,-0.0396931486828932,0,0,0,-0.382211601030398,0,0.612718687002676,0,0.0469919455718354,0.691209813806716,0,0,0.018226310898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148817513032191,0,0.288577026191082,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.183972549550964,0,0,0,0,0.193966848738995,0,0,0,0.0938536174645659,0,0.192017563960365,0,0,0,0,0,0.0336989944741567,0,0,0.0194293953528157,0,0,0,0,0,0,0,0,0.247296106805076,0,0,0,0,0,0,0.154638408156388,0,0,-0.0655479064716663
X601658.CH.Equity,0,0,0,0.0229309380846371,0.125241012003602,0,0,0,0,0,0,-0.1260163218124,0,0.207557782136713,0,0,0,0.225908879236969,0,0,0.0878228556097032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271069942966195,0.122907727845658,0,0,0,0,-0.0367616538289512,0,0,0,0,0,0,0,0,0
