,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.419231305639881,1.73472347597681e-18,0,0,0.115060445389343,0,0,0.120093942582659,0.0368389142961803,0,0,0.211710842142738,-0.0387705428380967,0,0,0.0868486644053601,0,0,0,0,0,0,0,0,0,0,0,0,0.0335544883827908,0,0,0,0,0,0,-0.0282287137645891,0,0,0,0,0.0245065795969442,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00885435221526928,0.109692574538024,0.272683613168424,0,0,0,0,0,0,0,0,0.335274225232774,0.0867750772439906,0,0.075843465440692,0,0,0,0.0632112418493661,0,0,0,0,-0.0379287152424828,0,0,0,0,0,0,0,0.0182266590323813,0,0.0426761123348704,0,0,0,0,0,0,0,0,0.00605118425243679,0
X601939.CH.EQUITY,0.158046504906315,0,0,0.486397412110001,0.066105102606308,0.0896133278409539,0,0,0,0.0626419185149603,0,0,0,-0.0298612776586148,0,0,0,-0.0166925425535812,0,0,0,0,0,0,0,0,0,0.183351996996266,0,-0.00575081164444429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.211678681547322,0,0,0,0,0,0.0118815877569905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273529051350008,0,0.195459174815655,0,0,0,0.0474356308905278,0,0,0,0,0,0,0,0,0,0,0.0962266093650502,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565698332590696,0,0,0.207415068263509,0,0.206202217445938,0,0,0,0.212034389734765,-0.00851064718418379,0,0,0,0,0,0.195633608501891,0,-0.244550059248526,0,0,0,0.0459706539191352,0,0,0,-0.0612282516129635,0,0,0,0,0,0.189902270691639,0,0,0,0,0.0806289985999364,0,0,0,0,0,0,0.171380235914257,-0.00758882731882935,0,0
X601988.CH.EQUITY,0,0,0,0,0.37634023810969,0,0,0,0.107607546280405,0,0,0,0,0,0,0,0,0,0,-0.0111770637318087,0,0,0,0,0,0.13206012556646,0,0,0,-0.257278694063645,0,0.035021193118401,0.0692996288864068,0,0,0,0,0,0,0,0,0.0707219266410263,0,0,0,0,0,0,0,-0.14757947790576
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.039418849642354,-0.114460278153533,-0.0999206102685966,0,0.0912046795638325,0,-0.0749796289235513,0,0,0.0973014373919027,0,0,0,0.520771247466095,0,0.0210559142774125,0,0,0.0681439425806017,0,0,0,0,0,0.0512367946399276,0,0,0,0,0.0466322289723049,0.255809894225423,0,0,0,0.0933298520065549,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30340336792754,0,0,0,0,0,0,0,0.0734342053755415,0,0.0628633742477368,0,0.118951506139734,0,0.0375154550933006,0,0,0,0.230324941614513,0,0,0,0,0,0,0,0,0,-0.076563481660955,0,0,0,0,0
X601628.CH.EQUITY,0,0.148211571260105,0,0.050316628135669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104542747852587,0,0,0,0,0,0,0,0.147781021949143,0,0,0,0,0,0,0,0,0,0.0208751584510243,0.366378067707195,0,0,0,0.118943995713113,0,0.0565662848929127,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.391238876847945,0,0,0,1.35525271560688e-20,0,0,0,0,0.401746865594105,0,0,0,0,0,0,0,0,0.00895086878416692,0.0570205039237123,0.0850517015789591,0,0,0,0,0,0,0,-0.0116653282808427,0,0,0.0256190513842169,0,0,0,0,0,0.103897921615099,0,-0.0139283125609962,0.222566165337573,0,0,0,0.0693034914118259,0,0,0
