,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0799720615985007,0,0.660202445415912,0,0,0,0,-0.0264566868256569,0,0,0,0,0,0,0,0,0.11845336537303,0,0,0,0.0312879465682566,0.0117916014400054,0,0,0,0,0,0.0503775895292406,-0.0172562416556841,0,0,0,0,0,0,0.00164766004355327,0,0,0,0,0,0,0.00346592665425817,0,0,0,0,0,0.0286842277478543
X601318.CH.EQUITY,0,0,0,0,0,0,0.0235547211194572,0,0.014355048477843,0,0,0,0,0.256869753909441,0,0,0,0,0,0.529386886853374,0,0,0,0,-0.062374710973281,0,0,0,0,0,0,0.0558768715981988,0,0,0,0,0,0.112398807827918,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.351329211725943,0,0,0,0,0,0.140643257384634,0,0,0.0781081846880243,-0.106099211007345,0.100774922261233,0.196027334551802,0,0,0,0,0,0,0,0,0,0,0.0522644676168412,0,0,0,0,0,0,0,0,0,0,0.177147132863801,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.148510461125239,0,0,0.240565115599956,0,0,0,0,0.347095939178371,0,0,0,0.166311548687524,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00889264489612704,0,0,0,0.063763804991491,0,0,0,0,0,0,0,0.0752279432785497,0,0,0.1544048470146,0,0,0,0
X601288.CH.EQUITY,0.16121893194245,0,0.00241490715527944,0,0,0,0,-0.0483223558339713,0,0.0156770498078953,0,0,0,0.0211178489893306,0,0,0.621449267213118,0,0,0,0,0,0,0,0,0,0,0,0.0239589229339682,0,0,0,0,0,0,0,0.0688515778178805,0,0,0,0,0,0,0,0,0,0.0411632194275253,0,0,-0.0493858423884879,0
X600036.CH.EQUITY,0,0.247150588042726,0,0,0,0,0,0.0488699795856213,0,0,0,0,0,0.266660668678163,0,0,0,0,0.121978212611666,0,0,0,0,0,0,0.253508835826549,0.000782197138209388,0.056494260571018,0,0.081663529533699,0,0,0,0,0,0,0,0.00910078100931154,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.269077120919402,0,0,0,0,0,0,0,0,0,-0.105542732135846,0,0,0,0,0.0116644039806138,0,0,0,0.0215903549813557,0,0,0,-0.0645186662913301,0,0,0,-0.153741537455689,0,0,0,0,0,0,0,0,0,0,0,-0.0228543744514874,0,0.02345419704434,-0.0477856408009355,0.938851333765477,0,0.0752624638839361
X1299.HK.EQUITY,0,0,-0.152120744140854,0,-0.0746038929916258,0,0,0,0,0.252949928814384,0,0,0,0,0,0,0,0,0,0,-0.150259001419941,0,0,0,0.18184028127994,0,0.376581782439683,0,0,0,0,0,0,0,0,0,0.087380058736545,0.0866393065224053,0,0,0,0.0112377399086069,0.0632183425577475,0,0.134396377942282,0,0,0.0872421337964826,0,0,-0.0295674585498854
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.270487741020557,0,0,0,0,0,-0.121794045221712,0,0,0,0,0.180240029460616,0,0,0,0.0314755045383099,0,0,0.373475428365541,0.0450800318780709,-0.0784657133013458,0,0,0,-0.0894928487644411,0,0.10701443819955,0,0,0,0,0.19527522319334,0.019379855810585,0.187440831556841,0,0,0,0,0.140645294563584,0
X388.HK.EQUITY,0,0,0,0.136802412362576,0,0,0,0.0584058366832392,0,0,0,0,0,0.0600568870013247,0,0,0,0,0,0,0.065354151797266,0.121918869294935,0,0,0.0785605617079043,0,0,0,0,0,0.179024292154049,0,0,0,0,0,0.0702384608808877,0.102172612987012,0.185276371603864,0,-0.302941059934193,0,0,0,0.0342641490974116,0,0.25496911903365,0,0,0,0
X601658.CH.Equity,0.159356971002926,0,0,0,0,0,0,0.0349424735254274,0,0,0,0,0,0.21928757991093,0,0,0.384969775482049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124103262109475,0,0,-0.0595289875497359,0.072771580800974,0,0.0102387316536847,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.148531501741573,0,0,0,0,0,0,0.0170961437550476,0,0.0526373852872065,0,0.0284353941439622,0,0,0,0,0,0.127576607005316,0.0765029081472475,0,0,0.00662909182560242,0,0,0,0,0,0,0,0,0.115978084853525,0,0,0,0.0576397403201545,0,8.67361737988404e-19,0.0357789991196822,0,0,0.0298351381603819,0,0.337514746180488,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497016976425594,0,0.131538555160777,0,0,0.0898901175921584,-5.42101086242752e-20,0.091709007588961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159398251988299,0,0,-0.0291258541655018,0,0,0,0,-0.0245083755213802,0.170899051373312,0,0,0
X000001.CH.EQUITY,0,0,0.0682863211305978,0,0.199780794341097,0.529841001556729,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0233009594077195,0,0,0.0745804449578802,0.0885767122927313,0,-0.0176344887122386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26886545888962
X601066.CH.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0.00957345865658405,0,0,0,0,0.728875314318506,0,0,0.0721249080061559,0,0,0,-0.131116050448671,0,0,0,0,0.00811125959141665,0,0,0,0,0,0,0.0329754691567855,0.0377807707573469,0,0,0,0,0,0.13192458133176,0,0,0,0,0,0,0,0,0,0,-0.0169358025595384,0
