,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.216796685121262,0.0229900563986653,0,0,0.401124455525986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197228671937294,0,0.0560571876376096,0,0,0.0445215114561179,0,0,0.064090923959644,0.0251558077278039,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083869668388007,0.049740740037141,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0518176710559677,0,0,0.234020485313161,0,0,0,0.263189747203577,0,0,0.0479434912431025,0.026417845488417,0,0,0.193886483476636,0,0.0230093014645107,0,0,0,0,0.0413094059832448,0,0,0,0,0.093468488967921,0,0,0,0,0.200693023937146,0.0146366921159607,0,0,0,0,0,-0.0529311908294492,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.14858699160332,0,0,0,0,0,0,0.0973250856068088,0,0.0346632518623417,0,0,0,0,0,0,0,0,0,0.0583011526999435,0.26360208346313,0,0,0.0605212118151035,0,0,0,0,0,0,0,0,-0.134405012972057,0,0,0.0706810887618846,0,-0.0613029191327749,0,0,0,0,0,0,0.189034476825195,-0.0222430146210566
X601939.CH.EQUITY,0.623270670668821,0.0188847379444248,0,0,0,0,0,0,0.104842700907145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184377690445317,0,0,0,0,0,0,0,0,0.148483981651082,0,0,0,0,0,0,0,0,0,0,0,0.129074641608613,0
X601288.CH.EQUITY,0,0,0,0.080005729346437,0,0,0,0.404848060803522,0,0,0.0496892276010284,0,0.0192428717479342,0,0,0,0,0,0.0736702219174565,0,0,0,0.0262356758402416,0,0.168555262960481,0,0,0,0.0356689556850299,0,0,0,0.176015673756411,0,0,-0.0120275438390649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0104196159763601,0.107642791335644,0.244740288562707,0,0,0,0,0,0.145153120367929,0,0,0,-0.195153994642002,0.046850749910582,0,0,0,0,0,0,0.000256885817857771,0,0.0857627471820297,0.0608844642026267,0,0.0107192688527394,0,0,0,0,0.0778769884702154,0,0,0.148045720198837,0,0.161999804877818,0,0,0,0,0.290829586575088,0,0,-0.0570404614002084
X601628.CH.EQUITY,0,0,-0.141296844731956,0,0,0,0,0,0,0.0958607234655857,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0492788238186418,0.0977896573945188,0,0,0,-0.0421982737384222,0,-0.0823695609979341,0,0,0.368278443654649,0,0,-0.000527718780289725,0.3667052681137,0,0,0,0,0.0456852440458223,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.145327683554178,0,0,0,0.415515387567719,0,0,0,-0.0151528875749126,0,0,0.0417068116924458,-0.0936828009760109,0,0,0,0,0.167920804265901,0,0.0585483367112156,0,0,0,0,0.094867536463299,0,0,0,0,0,0,0,-0.187894468833065,0,0,0,0,0,0,0,0.0388436130830706,0,0,0,0,0,0,0,0.0786079333253559,0,0
X5.HK.EQUITY,0,0.193221495512026,0,0.0843439978180383,0,0,0,0,0,-0.145694662558292,0.0281207350753459,0.0542286885924531,0,0,0,0,0,0,0,0,0,0,0,0.166212139597031,0,0,0,0.142216931235356,0,0,0,0,0,0,0,0,0,0.282970472523658,0,0,0,0.0603628627360822,0,0,0,0,0.0199845007776939,0,0,0,-0.0688377453552431
X388.HK.EQUITY,0,0,0,0,0,0.0712501617459875,0,0,0,0,0,0,0,0,-0.0424954731132555,-0.0995600804020145,0.353649055112233,0,0,0,0,0,0,-0.0504453667001995,0,0,0,0,0,0,0,0,-0.198247853158936,-0.0647843033229634,0,-0.164104642813592,0,0,0.167931433990058,0,0,0,0.0547723680119527,0,0.0682975208290859,0,0.1349445101629,0,0,0,-0.515499533092657
