,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0367263631646318,0,0,0.0789145760936067,0,0.27459560504592,0,-6.93889390390723e-18,0,0,0,0.13680529098497,0,0,0,0.126887568431927,0,0,-0.00920148287416536,0,0,0,0,0,0,0,0.0303723196147938,0.257196818620278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421805669561538,0,0,0
X601939.CH.EQUITY,0.00627474946006775,0,0,0.184070910207268,0,0,0,0,0,0,0,0.372946473477406,0,0.252145096654434,0,0,0,0,0,0,0.0693091220460351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661315958591528,0,6.93889390390723e-18,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.188557772722466,0,0,0,0,0,0,0,0.201454810722364,0,6.93889390390723e-18,0,0,0,0,0.29818048997078,0,0,0,0.123781339384667,0,0,0,0,0.0233062637493955,0,0,0,0,-0.0362000530463454,0,0,0,0,0,0.0923722660436164,0,0,0,0,0,0,0.0270387045570191,0,0,0,0,0,0,0.10380489538127,0
X601288.CH.EQUITY,0.345362017739035,0.024222831406386,0,0,0.492566677138111,0,0,0,0,0,0,0,0,0,0.0319110882075429,0.00784947868241043,0,-0.0303216430161173,0,0,0,0,0.0141443511554919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100722770092965,0,0
X601988.CH.EQUITY,0,0,0.189850871018271,0,0,0,0,0,0,0,0.130952503137479,0,0,0,0,0.0256409418821983,0,0.0903436079245916,0,0,0,0,0,0,0.0399043070862273,0,0,0,0,0,0,0.152805973694219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212441730538373,0,0,0,0.124718558277809,0
X5.HK.EQUITY,0,0,0,-0.0996545539355789,0,0,0,0.403079759316187,0,0,0,0,0.422518907885825,0,0.0467138704079518,0,0,0,0,0,0,0.513164890374249,0,0,0,-0.69829291587318,0,0.166249771272605,0,0,0,0,0,0,0,0,0,0,0.238779424823137,0,0,0,0,0,0,0,0,0,0,-0.036419030997638,-0.233244259750416
X600036.CH.EQUITY,0,0,0,0.060787478973243,0,0,0,0.0924002136329321,0,0,0,0,0,0,0,0.135498838506136,0,0,0.123238459504314,0,0,0,0,0,0,0,0,0.0542621940528318,0,0,0.190750947961103,0,0.230587666419876,0,0,0.0415644601389825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0085531726642861,0,0,0,0,0,0,0,0,0.131459805163782,0,0,0,0,0.106604725612534,0,0.167853146926537,0,0,0,0,0,0,0.168756561535014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358994884742863,0,0
X601628.CH.EQUITY,0.26197464606182,0,0,0,0,0,0,0.0724019493647222,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0512090471426791,0,0,0,0,0.116939450001723,0,0,0,0,0.25981149224105,0,0,0.0626647916513796,0.109841756728949,0,0,-0.142466253420088,0,0,0,0,0,0,0,0,0,0,0.124474019066556,0
X601658.CH.Equity,0,0,0,0,0,0,-0.115680686342611,0,0,0,0,0,0.186445373927198,0,-0.105857112996082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770472042230958,0,0,-0.225381160970721,0,0,0,0,0,-2.77555756156289e-17,0.693018491530997,0,0,0,0,0,0,0.468290270585214,0,-0.161683136646289,0,0
