,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.258835122278244,0,0,0,0.262712584339329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170055340078783,0,0,0,0.0916053551544312,0.035343001158522,0,0.00978746818283062,0.0601964807274281,0,0.0800742408191784,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325347134396678,0,0,0
X601318.CH.EQUITY,0,0,0,0.125030881464442,0,0,0,0.00258250460480551,0.131899349546618,0,0.0242671519833358,0,0.175362712890129,0.0751782471268383,0,0,0,0,0,0.210846607212648,0,0.0780892916705871,0,0,0,0,0,0,0.192829309429143,0,0,0.0453660150492574,0,0,0,0,0,0,0,0,0,0,0,-0.0904788717138459,0,0,0.10759318578086,0,0,0.0672637924868472,0
X600036.CH.EQUITY,0,0,0,0,0,0.163391369518213,0,0,0,0,0,0,0.159816795237178,0,0.0678429526753461,0,0,0,0,0,0,0,0,0,0.103866938908588,0,0,0.0447413449953813,0.0371800763718969,0,0,0,0.0744213935891015,0,0,0,0,0,-0.107591687677814,0,0.0257528571160652,0,-0.073354846351365,0,0,0,0,0,-0.0452455451012868,0.397636104708226,-0.0444854411971126
X601939.CH.EQUITY,0.615297539620264,0.148219050900623,0,0,0,0,0,0,-8.67361737988404e-19,0,0.135696015052927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746965188396959,0,0.0764872533954953,0,0,0,0,0.0243914447098638,0,0,0,0,0,0.191772304854133,0,0,0,0,0,0,0,0,0,0,0.093874545393818,0
X601288.CH.EQUITY,0,0.0716829193297623,0,0.0449618894491183,0,0,0,0.520281257004555,0,-0.0237640484768458,0,0,0,0,0.0215710035777647,0,0,0,0.0836378090133841,0,0,0,0.0160369564062179,0,0.135081704471661,0,0,0.0862955315941586,0,0,0,0,0.107597442839256,0,0,-0.0544084692515782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028280552757987
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0748618683944393,0,0,-0.0787098899516101,0,0,0,0,0,0,0,0,0,0.0750486394786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105529193799785,0.10201285571088,0.152050356159723,0,0.184169881587295,0,0,0.0422558540898672,0,0.196373824855226,0,0,0
X601628.CH.EQUITY,0,0,-0.0549872587312437,0,0,0,0,0,0,0.161289937777199,0,0,0,0,-0.0679494032628362,0.13511505082063,0,0,0,0,-0.0325318378762132,0,0.133876706234568,-0.0667640340170925,0,0,0,0,0,-0.0258309577944774,0,0,0,0,0,3.46944695195361e-18,0,0.399279688970136,0,0,0,0,0,0.0101803666161633,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.204307960626913,0,0,0,0.409141039822344,0,0,0,0,0,0,0.0715234285246973,-0.0514208500535739,0,0,0,0,0.103764256625977,0,0.0940523820693991,0,0,0,0,0.0332934572791468,0,0,0,0,0,0,0,-0.178677434866847,0,0,0,0,0,0,0,0.086055476378183,0,0,0,0,0.063251982409089,0,0,0,0,0
X5.HK.EQUITY,0,0.201273009646941,0,0.0199493568273433,0,0,0,0,0,-0.124791060873568,0.053516446797685,0.0960666910344488,0,0,0,0,0,0,0,0,0,0,0.289276852332996,0,0,0,0.136906498990347,0,0,0,0,0,0.0833887783733864,0,0.0370660963206403,0,0,0,0.227629609992342,1.38777878078145e-17,0,0,0.0894680008383702,0,0,0,0.084293867501494,0,0,0,-0.0347986496416137
X388.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0604219636751033,0,0,0,0,0,-0.149556909722338,-0.0508346563478894,0.314779465209092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273603225219633,0,3.46944695195361e-18,0,-0.133949436715995,0.321862883775831,0,0,0.16151333974156,0,0.0575117864584272,0,0.0803527099124361,0,0,0,0,0,-0.413312667534496
