,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,-3.46944695195361e-18,0,0.266072070354957,0.114356274425133,0,0.248006776539135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192881127295689,0,0,0,0,0.0131190706309223,0,0.0201799667149515,0,0.0989095662683353,0,0,0,0.0927409449312738,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.104977288070344,0,0,0,0,0.18172292879218,0,0,0,0.0338453657806781,0,0.212153757829448,0.0505823351808138,0.139850546146774,0,0,0,0.136071427975613,0,0.0206282267904175,0,0,0,0,0,0,0,0,0,0.0838268109860028,0,0,0,0.0503811047768617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.157771754520159,0,0,0,0,0,0,0.108946309637511,0,0,0.051005304604537,0,0,0,0,0,0.00681016136867248,0,0,0.0668894294910762,0.220386026247882,0,0.0599146952416183,0,0,0,0,0,0,0,0,0,0,-0.133118084352217,0.0510512339432938,0,0,-0.0709544121211313,0,0,0,0,0,0.234417946503527,0,-0.0408610990726678
X601939.CH.EQUITY,0.66455338553872,0.0152536831705643,0,0,0,0,0,0,0.204083393749158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969429919548589,0,-0.0616703921060027,0,0,0,0,0,0.146035513526117,0,0,0.03235992896537,0,0,0,0,0,0,0,0,0,0.119982733522342,0,0
X601288.CH.EQUITY,0,0,0,0.095477640685986,0,0,0.37534140733826,0,0,0,0,0,0.0715191986069084,0,0,0,0,0,0,0,0,0,0,0,0.0214331091537268,0,0,0.0728373728276741,0,0,0,0.164514643011361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112102538111521,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.121807165995787,0.267690183404934,0,0,0,0.147289249499071,0,0,0,0,0,0.219016653578249,-0.194520042141853,0,0,0,0,0,0.0513023625436198,0,0,-6.93889390390723e-18,0,0.0527729098625493,0,1.0842021724855e-19,0,0,0,0,6.93889390390723e-18,0.172550551156218,0,0,0.020020487044192,0,0,0,0,0.183808365607463,0,0,-0.0208230102966595
X601988.CH.EQUITY,0.257914111234899,0,0,0,0.356776329398429,0,0,0.0656279811207792,-0.0186935922162997,0,0,0.0307207804797949,-0.118809839959868,0,0.00486021572441044,0,0,0,0.16253030512425,0,0,0,0,0,0,0,0,0,0,0,0,-0.175042491056229,0,0.0772043807486579,0,0,0,0,-0.0978661428380825,0.0976097783010098,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.133726880891421,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137419069694782,0,0,0,0.216325599688379,0,0.0299788433207683,0,0,0.0369018311436501,0,0.0840045090031361,0,0,0,-0.0289083215743595,0,0,0,0.0834917536652623,0.309962323163768,0.00450876176914131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324726467810425
X5.HK.EQUITY,0,0.170266616561377,0,0.0816809714872324,0,0,0,0,0,-0.0774716996734214,0.0696944786799453,0.0735202423556399,0,0,0,0,0,0,0,0,0,0,0,0.242880454056262,0,0,0.149455531715507,0,0,0,0,0,0,0,0,0,0,0,0.232340263463499,0,0,0,0,0,0.113479288144643,0,0,0,0,0,-0.0515836160728882
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0816518579992632,0,0,0,0,0,0.10558650488802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152612021688329,0,-0.281113492954948,0.294037643638324,-0.107292899305088,0,0.0687196697330271,0,0,0,0,0.0767376503905056,0,0.187667603315474,0,0.0253215352927719,0,0,0,-0.385218660601268
