,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X600999.CH.EQUITY,0,0,0,0,0.0641509361480427,0.158443478530495,0,0.107791786409759,0,0,0,-0.114299189529067,0,0,0,-0.00445979460836989,0,0,0.0700656534536528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25329225362521,0,0,0,0,0.0897434555977178,0.134536432845395,0,0,0,0,0,0.0729542710912602,0,0.111497920255873,0,0,0.0406648208915212,0
X1109.HK.EQUITY,0,-0.159226728479653,0,0,0.00229172139630432,0,0.0216295510305967,0,0,0,0,0,0.188764985355053,0,0,0,0,0,0,0,0,0,-0.00578863368047042,0.10093987852224,0,0,0.054277931108635,0,0,0,0,0,0,0,0,0.260741573507458,0,0,0,0,0,-0.0357477228530274,0.177025224754361,0,0,0,0,0,0,0.14759236619084,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0730207688649796,0.0028826223019402,0.0501151180248216,0.0918862258961334,0,0,0.269293159802133,0,-0.136425562019836,0,-0.0403563027231579,0,0,0,-0.0593754680219995,0,0,0,0,0,0.154275809613971,0,0,0,0,-0.0137915701820793,0.118904044815886,0,0,0,0,0,0,0,0,0,0,0,0.153995854915586,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00342090625542042,0.184839988163532,0,0,0,0.311005970535934,0,0.280096112308568,-0.185138737835015,0,-0.0362037671534675,0.00948960963429981,0,0,0,0,0,-0.139684587023655,0,0,0,0,0,0,0,0.0886335073502389,0.209217896407972,0.101742907156072,0,0,0,0,0,0,0,0,0,0,0,0.384888201731609,-0.029573345020724
X601688.CH.EQUITY,0,0,0,0,-0.0129386237442336,-0.0697157892771369,0.0717575354802194,0,0,0,0,-0.129068103978898,0,0.293285594385184,0,0,0,0,0,0,0.0202486155166671,0,0,0,0,0.272747130603122,0,0,0,0.0168471102864221,0,0,0,0.46675034875147,0,0,0.0875531695424209,0,0,0,0,0,0,0,0,0,0,-0.0105820317179933,0,0,-0.0511142977093556
X601211.CH.EQUITY,0,0.010964991077614,0,0,0,0,0,0,0,0,0,0,0,0.0391226369035585,0,0,0.194897849881879,0,0,0,0,0.0241394881772961,0,0,0,0,0,0.0592174693498664,0.0345176590226212,0,0,0,0.322888716073285,0,0,0,0,0,0.0544369600759961,0,0.0640191876782815,0,0,0,0.0444639547806627,0.131551111254005,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,-0.0641725076378977,0.0123574554388022,0.0923876059062519,0,0,0,0,0,0,0,0,0,0,0.0498175892594082,0,0,0,0,0,0,0,0,0,0,0,0,-0.127896697476262,0,0,0.157699598067252,0.242958701865139,0,0,0.00569199318749395,0.109042305385588,0,0,0,0.0365659441286496,0,1.32820973176503e-05,0.169672593974612,0,0.147742104556855,0,0,0,0
X688.HK.EQUITY,0.2893555736962,0,0.131768429481352,0,0,0,0,0,0,-0.0908696520489401,0.0116441189279791,0,0,-0.2118368200709,0,0,0,0,-0.0624936650220649,0,0,0,0,0.154482343370588,0,0,0,0,0,0.285511543044842,0.483106221324618,0,0,0,0,0,0,0,0,0,-0.177952231341781,-0.0440462769161561,0,0,0,0,-0.199255045463445,0,-0.0847622795145408,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.0764125012135547,0.470940286479962,0,0,0,0.0755242555659657,-0.15168487272911,0,0.15548664064627,0.201182816658,-0.145052954495613,0,0,0,0,0,0.0197270342697239,0,0,0,0,0,0,0,0,0,0.235663197772739,0,0,0,0,0,0,0,0,0,0,0,0.0166991259290608,0,0,0,0,0,0.0254821341579271,0.053838433701293
X267.HK.EQUITY,0.20341410414212,0,0,0,0,0.0940004432698234,0.304986141788791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.488907074517831,0,0,0,0,0.14955002899082,0,0,0.22006011160035,0,0,0,0,0.00331151481435096,0,0,0,0,0.220899009445784,0,-0.188955133182292,0,0,0.27742803020853,0,0,0,0,0,0
