,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0145703442847844,-0.00657054161272176,0.239012430279234,0,0,0,0,0,0,0,0,0,0,-0.132051900105877,0,0,0,-0.199280407490673,0,0,0,0,0,-0.334287692330278,0,0,0,0.0744964894119985,0,0.758694510869801,-0.18805487141148,0.188626741878574,0,0,0,0,0,0,-0.0246524605139819,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0390381124015354,0.0169545128149011,0,0,0,0.0812334472064655,0,0,0,0,0,0,0,0,0,0,0.219704713483316,0,0,0,0,0.0209516890969004,0,0,0,0,0,0,0,0.326814807312777,0,0,0,0,0.188112598068178,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.376341013616766,0,0,0,0,0.0503684731946371,0,0,0,0,0,0,0,0,0,0,0,0.309362314903072,0,0,0,0,0,0,0,0,0,0,0.00537445476643691,0.0789155125071367,0,3.46944695195361e-18,0,-0.217548457443076,-0.171149889970189,0,0,0,0.461358315610651,0,0,0,-0.0308022950045299,0.092344204974943,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0117990368216802,-0.237930798659933,0.196227938108882,0,0.392110807799027,0,0,0,0.208536819534852,0.0169361322873321,0,0,0,0,0,-0.0440602692165336,0,0,0,0,0,0,0,0,0,0,-0.535621282478063,0,0,0,0,0,0,0,0,0.271854353048263,0,0,0.0259333830161341,0,0.0884945335137877,0,0,-0.100085228245221
X5.HK.EQUITY,-0.140573710644689,-0.0464617061068726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394389027485904,0,0,0.22777332106777,0,0,0.208534420183126,0,0.269666058229752,0,0,0,0,0,0,0,-0.0989638994799589,0,-0.0313659586819931,0,0,0,0,0,0,-0.145183627954382,0,0.160104832659466,0,0,0,-0.0286899647332409,0,0,0
X601988.CH.EQUITY,0,0,0,0.0495774462976683,0.11940823200408,0,0,0,0,0,0.233814366795144,0,0,0,0,0,0.0712349291869236,0.0333016420481557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758211657187059,0,0.201045543154771,0,0,0,0,0.339994255355931,0.131466310729914,0,0,0,0,-0.0364084604161434
X600036.CH.EQUITY,0,0.105104247878433,-0.0929230251623332,0,0,0,0,0,-0.056253818602004,0.235178349744145,0,0.389812210976185,0,0,0,0,0,0,0,0,-0.0612235178634215,0.250023158239322,0,0,0,0,0,0.0698915586090736,0,0,0,0.450026426870298,0,-0.260369374488711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208591325555062,0
X1299.HK.EQUITY,0,0.0873892580032183,0,0,0.071786106865348,0,0,0,0.0751795371973537,0,0,0,0,0.0257807888607056,0.179009899394167,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.111013860085693,0,0,0,0.0264022863489397,0.249371313890626,0,0,0,0,0,0,0,0,-0.046868662293961,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0402623688385525,-3.46944695195361e-18,0.0669530193229106,0,0,0,0,0,0,0,0,0,0.313768510167786,0,0,0,0,0,0,0.100202181744978,0,0,0,0.0596683564785387,0,0,0,0,0,0,-0.0789568960749214,0,0,0,0.0698745046510244,0,0.231008681945991,0.032728891374918,0,0,0,0,0,0,0.101042733562977,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.60722132833726,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.283123958745887,0,0,0,0.0725091169300418,0,0,0,0,0,0,0,0,0,0,-0.0490612324019386,0,0,-0.0583814435322679,0,0,0,0,0.0496953256542269,0,0,0,-0.00382889765444679,0
