,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,-6.93889390390723e-18,0.585827017621344,0,0.0138918593105688,0,0.0299553872039734,0,0,0,0,0,0.103727362998403,0,0,0,0,0,0.0915269961585172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636554619435729,0,0,0.0627670402289861,0,0.00212747918181193,0,-0.0474868139754164,0,0.0236560126162791,-0.00892293671975294
X601318.CH.EQUITY,0,0,0,0,0,0,0.151648368961879,0,0.0900960757862753,0,0,0,0,0,0,0,0.0700441184312279,-0.00955310344458832,0.248056634952987,0,0,0,0,0,0,0,0,0,0,0,-0.0144064524932614,0,0,0.0469971564318868,0,0,0,0,1.73472347597681e-18,0.182934377657128,0,0.0437581259498794,0,0,0,0,0,0.144407512758696,0,0
X601939.CH.EQUITY,0,0,0,0.40771965838242,0,0.252317860734942,0,0,0,0,0.0277362250083198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.148037966214711,0,0,0,0.00715115785851552,0,0,0,0,0,0,0,0,0,0,0,-0.00246184665612254
X601288.CH.EQUITY,0.0654210727999899,0,0.241748152300941,0,0,0,0,0,0,0.159712687696837,0,0,0,0,0,0,0,-0.0139152917400266,0.128002133892312,0,0,0,0,0,0.154322463467669,0.0436647381835703,0,0,0,0.125677094742983,0,-1.73472347597681e-18,0,0,0,3.46944695195361e-18,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.270456921704057,0,0,0,0,0,0,0,0.230106041317761,0.00964207235424214,0,0,0,0,0,0,0,0,0,0,0,0,0.307488635755657,0,0,0,0,-0.0651537791126939,0,-0.0363821884277314,0,0,0,0,0.206904986863769,0,0,-0.0628463744495008,-0.353840081252162,0,0,0,-0.248674416910649
X601988.CH.EQUITY,0.162761997537513,0,0,0,0,0,0,0,0,0,0,0,0.0106599014325815,0,0,0,0,0,0,0,0,0,0.564099210471311,0,0,0,0.00216095960785374,0,0,0.114235727640506,0,0,0,0,0,0,0,0,0,0.074397354771449,0,0,0,0.0375182250011942,0,0,0,0,0,-0.0887558756468861
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246652502334202,0,0,-0.0226521947184263,0,0,0,0,0,0,0.0726482352339957,0,0,0,0,0,0.716344734064329,-0.00811966097333335,0,0,0.0267704618546253,0.09615594319184,0,0,0,0,0,0,0,0,0,0,-0.0012836339919178,0,0.0667981655177935,0,0.0531894099351553,0,0,0,0,0
X1299.HK.EQUITY,0,0.228651268606433,0,0,0,0,0,0,0,0,0,0,0.0765995751334659,0,0,0.0201915896111151,0.254712640122095,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.219598606860887,0,0,0.0843638022407837,0,0.0573069112304921,0,0.104966741841532,0,0,0,0,0,0,0,0,0,0,0.0329100760893124,0,0,0,0
X601628.CH.EQUITY,0,0.215155143557593,0,0,0,0,0.0307854950582832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504335879263591,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.403582981757256,0.232087696738983,0,0,0,0.0294979772999489,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.137053922235699,0,0,0,0.118451312631498,0.00562851402222356,0,0,0,0,0,0.26165509247907,0,0,0,0,0,0,0,0.23239661089205,0,0,0,0,0,0,0.0557854535398918,0,0,0,0,0,0,0,0,0.0149223829485129,-3.46944695195361e-18,0.20354355144424,0,0,0,0,0,0,0,0,0.0103086472073404,0
X601166.CH.EQUITY,0.00742023405072902,0,0.214076676093823,0,0,0,0.174845986963329,0,0.00469604102018842,0.0868423953189567,0,0,0,0.197555520605088,0,0,0,0,0,0,0,0,0,0,0.0766637063526764,0,0,0,0,0,0,0,0,0.00429371431957985,0,0,0,0,0,0,0,0.0932694720797626,0,0,0,0,0,0,0,-0.0461316044142074
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.0784574772447948,-0.200606373906682,0,0,0,-0.105881764690732,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241888277562966,0.20515594797328,0,0,0.145514771923297,0.17358325800386,0.260108515178331,0.362041114550053,0,-0.0971860600173463,0,0,1.38777878078145e-17,0,0,0.0590727751509744,0,0,0,0,0.059426982109927,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0156347785457635,0,0,0,0,0,0,0,0,0,0,0,0,0.385572575230702,0.087739691590085,0,0.0102855776807504,0,0,0,0,0,0.227864564764195,0,0,0,0.34092699245377,0,0,0,0,0,0,0,0,0,0,0,0,0.252699650530357,0.0478557803260961,0.0756354176750045,0.00369976183443721,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.20566402210564,0.0626063040507,0,0,0.301642835417439,0,0.097468889809743,0,0,0,0.0599873521044956,0.0377156698074854,0,0,0,0,0,0,0,0,0,0,0,0.0181864386387494,0,0,0,0,0,0,0,0,0,0.168391581786794,0,3.46944695195361e-18,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.316924238817308,0,0,0,0.120669389789341,0,0.13679842899225,0,0,0,0.0188366767454338,0,0,0,0,0,0.343789885614314,0,0,-0.230702122163792,0,0,0.183952953610939,0,0.0195874180037599,0.122832412026001,0,0.504627858741409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297462749185237,0
