,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.182819279149556,0,0,0,0,0,0,0.025319878672879,0,0,0.0824956707064567,0,0,0,0,0,0.123160676950324,0,0,0,0,0,0,0,0.105616530161212,0,0,0,0,0,0,0,0,0.0330095692615506,0,0.221485767980365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.119824288562545,0,0,0.392001738067654,0.0564027454003253,0.251678364806585,0,-0.0335695599755017,0,0,0,0,0,0,0,0,0,0,0,-0.132821241361046,0,0,0,0,0,0,0,0,0,0.0328771007074451,0,0,0,0,0,0,0,0,-0.0191084197994379,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.157094221099579,0,-0.0720260040866897,0,0,0.214875924116703,0,0,0,0.470728157902976,0,0,0,0,0,0,0,0,0,0,0,-0.0861122471843409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0946112374640866,-0.174421459147963
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0743773118672629,0.0764669825680234,0,0.458666053407384,0.0894357529504838,0,0.220870169536045,0,0,0,0,0,0,0,0,0,0,0.0617686940938842,-0.167613120275147,-0.0617365244147874,0,0,0,0,0,0,0,0,0.0981890350833745,0.0868360949099556,0,0,0,0,0,0,0,0.0532718756109832,0,0,0,0,0.0735563644793288,0
X600016.CH.EQUITY,0,0,0,0.209975947566542,0,0,0,-0.552706390287314,0.176119538871064,0,0,0,0,0,-0.906489304304482,0.533049571239413,0.0777581355578172,0,-0.0284660529011968,0,0,0,0,0.473916085122015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11084683498081,-0.347643153932993,0,0,0,0,-0.0849313332362855,0,0,0,0,0,0
X600036.CH.EQUITY,0.137451098846086,0,0,0,0,0,0,0,0,0.122126255230782,0,0,0,-0.0387106940446178,0,0,0,0.0967101792799162,0.104014236431417,0,0,0,0,0.0541563399545415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319331814079147,0.185436959451644,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.0402210122004212,0,0,0.0241415885925039,0,0,0,0,0,0.335113382207244,0,0,0,0,0.273674864288295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0936979021315764,0,0.134098421235081,0,0,0,0,0,0,0,0,0.0450349244512439,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,-0.026379518529357,0,0,0,0,0,0,0,0,0.530772374342434,0,-0.10782979296267,0,0,0,0,0,0,0,-0.00819248823592561,-0.197050285171031,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0116245981509043,0,0,0,0,0,0,0,0,0,0,0,0,-0.14672829884314
X601009.CH.EQUITY,0.0764860102905694,0.0777891771419768,0,0,0,0,0,0.0103307994485115,0,0,0,0.207828495426754,0,0,0,0,0,0,0,0,0.436643057146032,0,0,0,0.00111992484560747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316833104740774,-0.00503245576789494,0,0.165509378929808
X601166.CH.EQUITY,0.189630637112441,0,0.122710755093734,0,0,0.270073233383826,0,0,0,0,0.150361686343159,0.201824884129265,0,0,0,0.0091457717718247,0.0635066781437539,0,0,0,0,0.211279584768395,0,0,0,0,0,-0.0768855057067549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734377755448519,0,0,-0.052997168220546,0,0,0,0,0
