,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.272094249338116,-1.73472347597681e-18,0.137510129352638,0,0,0,0,0.085211724651285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444502058013153,0,0.082714791678561,0,0,0,0,0.12105360905651,0,0,0,0,0,0,0.11259227755404,0,8.67361737988404e-19,0,-0.331023819157988,0,0.271507235532934,0,0,0,0.0426674365405632,0,0,0.0186575636754574
X002142.CH.EQUITY,0.362829661282465,0,0,0,0,0,0.108932794671203,0,0.0680125032281045,0,0,0,0,0.308161999644678,0,0,0,-0.0625663390937151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227215195433703,0,0.143697378839931,0,0.0518688006354652,0.0340899354291461,0,0,0,0,0,0,0,-0.0281615749812848,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0144101001884663,0.544324150155351,0,0,0.0564859604334443,0,0.0126093122512936,0.0132510651375647,0,0,0,0,0,0,0,0,0,0,0,-0.147541478839188,0,0,0,0,0,0,0,0,0,0,0,0,-0.365557379107684,0,0,0.0471039679100747,0.340052353769087,0.125527228315787,0,0,0,0,0,0,-0.0297121148776394,0
X600015.CH.EQUITY,0.0648853152242123,0,0.0906092088190397,0,0.248915716252444,0,0,0.467504933508398,0,0,0,-6.93889390390723e-18,0,0.015255374797966,0.0105808606623922,0,0,0,0,0,0,0,0.0711033599838785,0,0,0,0,0,0.0840211913371076,0,0,0,0,0,0,0,0,0.0246222583381269,0,0.0716116841230198,0,0,0,0,0,0,0,0,0,-0.0140137165336048
X600016.CH.EQUITY,0,0,0.0326633633975692,0,0,0,0,0,0,0.0384170860289739,0,0,0.190241598274998,0,0.317773707858293,0,0,0,0,0.0699113468070541,0,0.0796264734740518,0,0,0,-0.0964742059165948,0,0,0,0,-1.73472347597681e-18,0,0.0872639275749097,0,0,0,0,0,0,0,0.110217094440914,0,0,0,0,0.137320433144953,0,0,0,0.188607316821546
X600036.CH.EQUITY,0,0,0.534842706991648,0,0,0,0,0,0,0,0.0614754197123888,0,0.0976419043937467,-0.0113778478416956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198793113716889,0.242178258731199,0,0,0,-0.110796128598598,0,0,0.107030230796676,0,-0.155755629729621,0.328903556759751,0,0,0,0,0,0,0.294764233388246,-0.105981093168204,0,0
X601166.CH.EQUITY,0,0.177489975659316,0,0,0,0,0,0,0,0.2304756363215,0,0,-0.021381268306852,0,0,0,0,-0.0919573894860719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549873772823068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.869433219172543,0,0,0,0,0,0,0,0,0,0,0,0.0799918281699129,0,0,0,0,-0.110170276941048,0,0,0,0,0,0,0,0,0,0,0.0834823384225792,-0.177669973163797,-0.274504425202636,0,0,0,-0.0628705327110606,0.474521814470478,-0.151397097157001,0,0,0,0,0,0,0.0506192353686151,-0.105305770443708,0.154727833032289,0
X601229.CH.EQUITY,0,0.18993765643313,0,0,0,0,0,0,0,0,0,0.456874351354127,-0.0958590930200049,0,0,0.147173287821778,0,0,0,0,0,0.101438996538253,0,0,0,0.0658890442216576,0,0,0,0,0,0,0.155530306808932,0,0,0.174891217894125,0,0,0,0,-0.22242052559306,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.55727660583064,0,0,0,0,0,-3.46944695195361e-18,0,0.0316902866270096,0,-0.206763098951843,0,0,0.388158402250731,0,0.21217865304656,0,0,0,0,0,-0.791366805269931,0,0,0,0,0,0.131054864029316,-0.117269432033899,0,0,0,0,0,0,0,0,0.0877890448302112,0,0,-0.0644848071146886,0,0,0
