,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0,0,0,0.403992827335382,0.35245140026733,0,0,0,0,0.0111478767559011,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0700711555483628,0,0.00329531663072012,0,0,0,0,0,0,0,0,0.036758281794404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.0543136431158274,0.0295673794668002,0.0443159464206505,0,0,0.0932298440876449,0,0,0.0917544709602142,0,0,0.230778722381895,0.201151461546103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691038915452758,0,0,0,0,0.0909879083683429,0,0,0,0,0,0,0,-0.0604028837293802,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.282465023659456,0,0,-0.0587671179915888,0,0.411202051473584,0,0,0,0,0,0,0,0.0149090387838716,0,0,0.328454388837073,0,0,0,0,0,0,0.173525608213852,-0.0424878149669119,0,0,0,0.0877572021309767,0,0,0,0.162034453500288,0,0,0,0.0628303329295872,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.044614129759028,0,0,0,0,0,0.0321821285876739,0,0.141040673841264,0,0.135992418703503,0,0,0,0,0,0,0,0.0766008148781489,0,0,0,-0.0574193248744329,0,0.0344032234787882,0.0161312744118514,0,0,0,0,0,0,0,0.0256733765359686,0,0,0.0230025220224051,0.124703395506047,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.371710111662445,0,0,0.214236815777514,0,0,0,0,0,0,0,-0.1270621296899,0,0,-0.44477437811506,0,0,0,0,0,0,-2.16840434497101e-19,0.153516241670159,0,0.115309626036271,0,0,0.384469076333882,0,-0.0210923265648041,0,0,0,0.182904503665436,0,0.145100775809746
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200606795796323,0,0.249318555383694,0,0.0308684297026693,0,0.198100822274199,0.220462043341408,-0.0300207855410232,0,0,0.00429186780824347,0.0945601094002674,0,0,0,0,0,0,0,0.0555733517291178,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.147150797089769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353000598871188,0,0,0.628740247577002,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0789246306444244,0,0,0,0,0,0,0.025028038252295,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0640766059312498,0,0,0,0,0,0,0,0.0321996038633509,0,0,0,0,0.000130280442078093,0.479847825903787,0,0,0.304577407518618,0,0.0469757242602533,-0.0604248492531286,0.199341335881133,0,0,0,-0.0742871020315713,-0.060214406840893,0,0,0,0,-0.0197929411368055,0,-0.0515430605660357,0,0.0898425368079558,0,0,0,0,-0.0163471428564455
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.0766844080811926,0,0,0,0,0,0,0,0.0335504825114178,0,0,0.14592648781244,0.0959073627324416,0,0,0,0.00929937003514617,0.0296030408908064,0,0.468269961533265,0,0,0.0803819858957364,0,0,0,0,0.127197815993385,0,0,0,0,0,-0.0575797691159923,-0.216183560513874,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0.0255651343488176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279106410165822,0,0.160732429424823,0,0,0.177843834907541,0,-6.93889390390723e-18,0,0,0,0.0959041217981408,0,0.11251359732717,0,0,0,0,0,0,-0.0508623016315052,0,0,0,0.122397119954664,0.0433497016660973,-0.0378276432460239,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117003726753253,0,0,0.189044147553496,0.0547646146982753,0,0.404190493056401,0.0289437877602092,0,0,0.294144544989901,0,0,0,-0.0143060710650538,0,0,0,0,0,0,0,0,0,-0.0458452481574209,0,0,0,0,0,0,-0.014033879267042,0,0
