,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.096040052146021,0,0,0,0,0.10533577884248,0,0.238132209413502,0,0,0,0,0.253637654937291,0,0,0,-8.67361737988404e-19,-0.0740017629350624,0,0,0,0,0,0,0,0,0,0,0.0234934284605092,0.0150152254746569,0,0,0,0,0,0,0,0,0,0,0,0,0.234984922150885,-0.0939201725532518
X601398.CH.EQUITY,0,0,0,0,0,0,0.138749420271089,0.0630582015510977,0,-0.0332519195506406,0,0,0.0724364172175189,0,0,-0.101552988368441,0,0.235579929209476,0.609411956258582,0,0,0,0,0,0,0.0478690541522499,0.047990259284309,0,0,-0.0246352252519837,0,0,0,0,0,0,0,0,0,0,0,0,-0.25570327580164,0,0,0,0,0,0,0.00380407690966993,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0.065285722867618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324053354547372,0,0,0,0,0.0596447320790845,0,0,0,0.00521147814068436,0,0,0.0362808494965814,0.201368986031328,0,0,0,0.0476920624614381,0,0,0,0,0,0,0,0,0.0738562453852425,0,0
X601818.CH.EQUITY,0,0,0,0.352864791235047,0,0.24355117440224,0,0,0,0,0,0,0.159308109212968,0,0,0,0,0,0,0,0.33524887411084,0,0,0,0,0,0.033390664791738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396013025570047,0
X601838.CH.EQUITY,0,0.212311328984591,0,0,0,0.00828225336686727,0.0746651156692088,0,0.012446923915994,0,0,0,0,0.100371579926903,0.22832744213836,0,0,0,0,0.0894403518677049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151098058950952,0,0,0,0,0,0,0,0,0,0.123097331700167,0,0,0,0,0,0,-0.0214050719207689
X601939.CH.EQUITY,0,0,0,0,0.0406932632321153,0,0,0,0,0,0,0.116774234326964,0.329184506283074,0,0.238978178044769,0,0.0176765916067131,0,0,0,0,0,0,0.132702604368671,0,0,0,0,0,0,0.0446771234526816,0,0,0,0,0,0,0,0,0,0,0,-0.0442125093937055,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.00672282042318353,0,0,0,0,0,0,0,0,0,0.0310611836324403,0.0965691862727982,0.0881917961819416,-0.0545076643493391,0,0,0.34795847089769,0,0.21566893169955,0.105293086371,0,0,0,-0.0221887317915171,0,0,0.00922352837219149,0,0,0,0,0,0.00504066966304028,0,0.110715367659498,0,0,0,0,-6.93889390390723e-18,0,0,-0.213538488924938,0,0,0,0,0,-0.0558221983151357
X601998.CH.EQUITY,0,0.00339129030436043,0,0.0692108883432861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304687260891176,0.374164827358494,0,0,0,0.0848355361782183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16640972049941,0,0,0,-0.176656141933093,-8.67361737988404e-19,0,-0.0201923672758986,-0.0540072113566424,0
X601658.CH.Equity,0.0517460083108549,0.042376743018485,0,0,0,0.762181054414375,0,0.0957704000606042,0,0,0,0,-0.0313761391048982,0,0,0,0,0,0,0,0,0,0,0,-0.0131762289599262,0.203163822367626,0,0,0,0,0,0,0.138967934512811,0,0,0,0,0,0,0,0,0,0,0.150595205053624,-0.354064874867703,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0.249493827968746,0,0,0,0,0,0,0,0,-0.149902496774367,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.104132292772178,0,0,0,0,0,0,0.278268831503892,0,0,0,0,0,0,0,0.354919611190131,0.152870947610992,0,0,-0.0526595285507436,0,0,0,0,0.0336011558917816
X601077.CH.Equity,0,0,0,0,0,0,0,0,0.0670709847077094,0,0.0757717751310129,0.156578513851128,0,0.0331776161765732,0,0.185070787973638,0,0,0,0,0,0,0,0,0,-0.0674308143837399,0,0.0582862795155783,0,0,0,0,0,0,0,0,0.361338735821884,0,-0.0156573544289619,0,0,0,0,0,0,0,0,0.0155709984592559,0,0.0389756716267393,0
X11.HK.EQUITY,0,0,0,0,-0.083510559840524,0,0,0.0243177891588831,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0283539795984779,0,0,0,0,0,0,0,0.426822583734818,0.219668749717406,0,0,0,-0.166058823390142,0,0,0,0,0,0.154584329974764,0,0,0,0,0.141854194926636,0,0.0971289829937596,0,0,0,0,0.117921722622306,0,0
X2388.HK.EQUITY,-0.479198422684532,0.132090656874681,0,0.40763552613077,0,0,0,0,-0.158557441725865,0,-0.344533142683973,0,0,0,0,0,0.275702186565155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950454098818352,0.212797164881425,0,-0.098634800813353,0,0,0,0,0,0,0,0.126568866769463,0,0,0,0,0,0,0,0,-0.154126190791293
X5.HK.EQUITY,0,0,0,0,0,0,-0.277546220170128,0,0,0,0,0,-0.0535542337209085,0,0,0,0.294110171124266,-0.111192670319471,0,0,0,0,-6.93889390390723e-18,0,0.173885756924303,0,0,0,0,0,0,0.239397262589762,0,-0.114832530501754,0,0,0,0,0,0,0,0.312539827827609,0,-0.116431159850101,0,0.0132533750618583,0,0,0,0.472930126606349,0.160508389649911
X2801.TT.EQUITY,0,0,0,0,0,0,0,0,0.137924408620928,0.0333722522877897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19570353164889,0,0.152892541917582,0.0946922869165047,0.167272182674321,0.00459492191324626,0.291223833425009,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0896986838555767,0,0,0,0.0133409294235979,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.0410617593945889,0,0.0120599852187379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248221050120874,0,0.146608551923804,0,0,0.153261408635181,0.374846427385034,0,0,0,0,0,0,0,-0.0230749901856858,0,0,0,0,0.0395412130272898,0.137384037409136,0,0,0
X2884.TT.EQUITY,0,0.241088626242355,0,0,0,0,0,0,0,0,0,0,0,-0.104573019770834,0,0,0,0.0155482160996766,0,0,0,0,0,0.0112054887084105,0,0,-0.0989963298401892,0.114569709884085,0.178517553118251,0,0,0,0.0762525829239955,0,0,0.0424539778313846,0,0,0.216908994031931,0,0,0,0,0,0,0,0.013153599519655,0.0866201547657353,0.179732294078791,-0.0474279921334482,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.12060989706591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27689194390642,0,0,0,0.281453077145464,0,0.196546788907233,0,0.293658254570007,0,-0.048568845278568,0,-0.220004208203456,0.221424832254568,0,0,0,-0.20039084809991,0,0,0.250084018365987,-0.320230966529344,0,0,-0.0393913294610023,0
X2891.TT.EQUITY,0,0,0,0,0.028117188096842,0,0,0,0,0,0.166902853633032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111294338865257,0.199087065383983,0,0,0,0.0789963998420792,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0846023659151912,0,0,0,0,0,0,0.104679984112341,0,0.0676827112674427,0.0589696646626038,0,0
X2892.TT.EQUITY,0,0.0964064095481282,0,0,0,0,0,0,0,0,0,0,0.0658917260742758,0,0,0,0,0,0,0,-0.032768229477451,0,0,0,-0.0532573778388465,0,0,0.083000673858471,0.59136163446491,1.38777878078145e-17,0.111041366348048,0,0,0.0384464648624014,0,0,-0.0135744149695244,0,0,0,-0.155481792670063,0,0,0,0,0,0,0,0.137686218603891,0,-0.00294764647307829
