,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X388.HK.EQUITY,-0.15658236582807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904648187659127,0,0,-0.0806130144142665,0,0,0,0.185054665990873,0,0,0,0,0,0.177165709902063,0,-0.196239438815474,0,0,0,0,0.397747804873508,0,0,0,0,0.108401924857221,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.196906165524081,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118784101312901,0,0,0,-0.0285226683225078,0,0,0.402528481307079,0.253241075485547,0,0,0,0,0,0,0,0,0,0,0,0,0.0869052689140573,0,0,0
X601319.CH.EQUITY,0,0,0.0153894914728325,0,0,0,0,0.184090076235788,0,0,0,0,0,0.0203759759392345,0,0,0,0,0,0.243391002121285,0.185811505773971,0,0,0,0,0,0.0282293957784087,0,0,0,-0.0162642456248579,0,0,0,0.135747883323614,0,0,0,0.0833490730648076,0.106945830502508,0,0,-0.0143776316646197,0,0,0,0,0,0,0,-0.0721790353763358
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306756386891809,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0853050655701769,0,0,0.551209646614022,0,0.127884960559333,0.0863922994704953,1.73472347597681e-18,0,0,0,0,0,0.00411180788579092,0,0,0.0192961774910971,0,0,0.0332885660830517,0.0562214862990077,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134833420233494,0,0.105797375887763,0,0,0,0,0,0,0,0,0,0,0,-0.119664252930668,0.0721273581992966,0.617191405447698,0,0.192153132912243,0,0,0,0,0.109258104499389,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0120209795089808,0,0
X601628.CH.EQUITY,0,0,0,0.101059443275863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379507626574876,0,0,0,0,0.913197720820263,0,-0.0830537199035038,0,0,0,2.71050543121376e-20,0,0,0,0.0798038254499178,0,0,0,0,-0.0587210850745105,0,0,-0.114306181344052,0,0,0,0,0,0,0,0.0164912786735846,0.057646382412242
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0107161097249249,0,0,0,0,-0.241732326083406,0,0,0,0,0.012158052126596,0,0,0,0,0,0,0,0,0,0.0588034925489621,0,0,0,0,0,0,0,0,0.040691725623539,0,0,0.0322342007643085,0.255751824270681,0.0434561286788109,0,0,0.340938845041538,0.174159647865813,0,0,0.332767990833538,0.139339788949203
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0044293377977742,0,0,0,0,0,0,-0.096721760637572,0,0.0896986335625496,0,0,0,0,0,0,0.0440259328154361,0,0,0,0,0,0,-0.0339834984721057,0,0.0925642235820107,0,0,0,0.78743309365859,0,0,-0.0904998685704012,0.103520869817779,-0.0594782877083656,0,0,-0.00605499438906115,0,0.205954201091153,0,0
X2882.TT.EQUITY,0.175413359787425,0,0,0,0,0,-0.0701935908536361,0,-0.0440041429138134,-0.188576191050957,0,0,0,0,0.159831947812255,0,0,0.040481405060573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117268316178561,0.0253906840548514,0,0.577069960424167,0,-0.361259110839862,0,0,0,0,0,0,0,0,0.331877401191149,0,0
X000002.CH.EQUITY,0,0,0,0,0,0.000871403675307275,0,0.0733808977346518,0,0,0,0.12823112925105,0,0,0,-0.0219192188419308,0,0,0,0,0,0.151164723089288,0.0233776847534537,0,0,0,0,0,0,0,0,0,0.145656252141015,0,0,0.0176089836235369,0,0,0,0,0,0.0279836793309952,0,0,0,0,0,0,0.0612898330103616,0,0
