,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601319.CH.EQUITY,0,-0.0671211857695086,0,0,0,0,0,0.050642676669666,0.176676108292738,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0324700153865958,0.154766408880314,0,0,0.0882258138373474,0,0,0,0.0536220298024995,0,0,0,0,0,0,0.0699997295945033,0,-0.112592806281079,0,0,0.346458364526815,0,0,0,0,-0.0251288828923272,0,0,0,0,-0.0038459448749956,-0.0623823613155757
X601336.CH.EQUITY,0.00383978922375441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453525225546281,0,0,0,0,0,0.267268072760179,0.0904922384265935,0,0.232788923904338,0,0,0.27404551473286,-1.38777878078145e-17,0,0,0,0,0,0,-0.0847229157764592,0.0881022849440222,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.037164109022085,0.108493190982905,0,0,0.019130548787191,0,0,0,0,0,0,0,0,0,0,0,0.18109591884026,0,0,0,0,0,0,0,0,0,0,0,0,-0.0879427446472697,0,0,0.554767489920519,0,0,0.271515582943651,0,0,0.280025056121588,0,0,0,0,0,0,0,0,0,0.0237473414444442,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0108843864771722,0,0,0,0,0,0,-0.0978648107355141,0,0,0,0,-2.77555756156289e-17,0.180304503886248,0,0,0,0,0,0.271437996296616,0.249153421147648,0,0,0.350042190927968,0.208150055421888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255686289107019,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0675812976018974,0,0.0790489408762173,0,0,0,0,0,0,0,0.131195351235099,0,0,0,0.00150804403186407,0.0738537178312559,0,0,0,0,0,0.0910338417118215,0,0.00540499086996546,2.16840434497101e-19,0,0,0.0534898732944105,0.277570357708942,0.00613065656340307,0,0,0,0.347511003420663,0,0,0
X2881.TT.EQUITY,0,0.0406092380613041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155333491929687,0,0,0.175370089530651,0,0,-0.0868079672296503,0,-0.106138071084533,0,0.142570860882158,0,0.575045472020312,-0.0563581604098399,0,0,0,0,0,0,0,0.0270289850572209,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,-0.0597357029221967,0,0,0,-0.167097995266821,0,0,0,0,0.0322259247199818,0,0,0,0,0,0,0.119851045511336,0,0,0.428526439963254,0,-0.347548724491321,0,0.108262858251982,0,0,0,0.195690118755205,0,0,0.79120262989951,0,0,0,0.022495209869913,0,0.0999537702952331,0,0,0.0499573484669083,0,0.059782261876499,0,-0.0152040428503615
X000002.CH.EQUITY,0,-0.0353376830313385,0,0,0,0.103968362474426,0,0,0.198432082419606,0,0,0,0.0197433193299998,0,0,0,-0.0645364338630784,0,0,0,0,0,0,0,0.115574660229247,-0.114149799325393,0.159710840655358,0,0,0,0.0118425302726158,0,0,0,0,-0.0470960359524561,0,0,0.280655430526535,0,0,0,0.0163978905337289,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,-0.117492470178125,0.690043838831756,0,0,0,0.137262739391316,0.0074268135008754,0,0.0479578677041218,0,0,0,0,0,0,0,-0.00305566035279322,0,0,0,0,0,0,0.0431334183681817,0,0,0,0,0,-0.0352333157170132,0,0,-0.0363067939209352,0,0,-0.0195015546558975,0,0,0,0,0,-0.00527657619203035,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153944646500563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716682796665877,0.0848438593754045,0,0,0,0,0,0.105160280989903,0,0,0,-0.0839248528832444
X1109.HK.EQUITY,0,0,0,0,0.233196648539313,0,0.011256048977254,0,0,0,0,0,0,0,0,0,0,0,0,-0.106228040933293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164348699922093,0,0,0,0,0,0,0.0234303988262861,0,0,0,0.579435747060411,0.088490455447681,0
X1113.HK.EQUITY,0,-0.0143106482696036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122477590225979,0.410372187508009,0,0,-0.0641370407866906,0,0,0,0,0,0.183179170731734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140772758758151,0,0,0.0363575762973046,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462458794529976,0.56215913477144,0,0,0,0,0,0,0,0,0,0,0,0,-0.142041443771412,0.0176100054061555,0,0,0,0,0,0,-0.160071338103885,0,0,0,0,0,0,0,0.123801037483775,0,0,0,-0.0688878206158146,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0782896481722234,0,0,0,0,0,-0.044781820521991,0,0,0,-0.054606481088835,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0912767649094863,0.136178765785291,0,0,0.0299219589325421,0.398350441687285,0.260042111152175,1.73472347597681e-18
X2007.HK.EQUITY,0,0,0,0,0.0722396070995612,0,0,0,0,0,0,0,0.0104579397411381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641537833737188,0.0625404598617361,0,0,0,0,0,0.164492869150777,-0.102100634864089,0,0,0,0.0360046847422639,0,0,0,0,0,0.29558427876405,0.194419016964244,0.095172128479886,0
X267.HK.EQUITY,0,0.0943371358003767,0,0,0,0,0,0,0,0,0,0.17018019786335,0,0,0,0,0,0.335205708937692,0,0,0,0,0,0,0,0,0.136023641997242,0,0,0,0.123503644887403,0,0,0,0,0.191238676657749,0,0,0,0,0,0,0.0268272427674,-0.0637182605927245,0,0,0,0,0.0781419981206691,0,0
X688.HK.EQUITY,0,0,0,0,0,-0.0343398996587232,0,0,0,0,0.294666684880333,0,0,0,0,0,0.0521330440986667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127766507318584,0,0,0,0,0.0111557936859141,0,0,0.399849165184011,0.292085235048076,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0.0607091716368176,0,0,0,0,0,0,0,0,0,0,0,0,0.23826048310639,0,0,0,0,-0.0448364472640274,0,0,0,0,0,0,0,0,0,0.0667145364762297,0,0,0,0,0,0,0,0,0,0,0,0,0.191206578998328,0.103447432698283,0.220247209393981,0,0,-0.0421704632907987
macro_return_add,0,-0.0692246570128446,-0.141870804411678,0,0,-0.160597132948785,0,0.118465061799341,0,0,0,0,0,0,0,0,0.0583953396058528,0,0.0672411026649088,0.340070611844007,0,0,0,0,0,0,0,0,0,-0.191327304335497,-0.0259307627255939,0,0,0,0,0,0,0,0,0,0,0,0,-0.255035673761044,0,0,0,0,0.0667641075440732,0.465942294070047,0
