,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X2388.HK.EQUITY,0,0.0338865386741894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182562075554646,0,0,0,0,0.0414202279598279,0,0.335788379412741,0,0.298619862686277,0,0,-0.0593392683826475,0,0,-0.0378405562790526,0,0,0,0,0.222907723977838,0,0,0,0,0,0,0.0269831002086842,-0.0171582995875698,-0.00176309964936536,0,0,0.0687673341517925,0
X5.HK.EQUITY,0,0.0110125384553936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973347249540166,0,0,0,0,0,0,0,0,0.413664505034371,0,0,0,0,0,0.316374308507066,0.172326406177695,0,0,0.0120011554583795,0,0,0,0,0,0,0,0,0,0,0,0.0282428625179197,0.0901917536869269,0,0
X2880.TT.EQUITY,-0.117409496876383,0,0,0.0397313262353058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563678505319739,0,-0.0628869719574409,0,0,0,0.088902126249863,0,0.145271705598152,0.310173196431422,0,0,0,0,0,0,0.206308004474969,0,0,0,0,0,0.0374670690231276,0.0705698217954626,0,0,0.115495042718222,0,0
X2884.TT.EQUITY,0,0,0,0.00156420678818922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607338844684485,0,0,0,0,0.240600191451482,0,0,0,0,0.0618231653318508,0.35356704433974,0.145309498319367,0,0.0326440176086122,0,0.0268138722299487,0,0,0.045389447133409,0,0,0,0,0,0,0,0.101813194058173,-0.0451772505038191,0,0,0
X2886.TT.EQUITY,-0.121581122774287,0,0.130556444218732,0,0,0,0,0,0.337330698355708,0,0,0,0,0,0,0,0,0,0,0,0,0.181286644320187,-0.216908547106142,0,0,0,0.0722952431715293,0,0,0,0,0.0795254694307209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387020393580863,0,-0.0204701510006537,0,0
X2891.TT.EQUITY,0,0,0,0,0,-0.0139367580584031,0,0,0.00850255335791894,0,0,0,0,0,0,0.12386843233603,0,0,0,0,0,0,0,0,-0.0480527228525597,0,0,0.0176882053563959,0.0787631497370565,0,0,0.37773811329008,0,0,0,0,0,0,0,0,0,0,0,0.0120463652813741,0,0.242877168061677,0.195523812656858,0,0.0158381880655132,0,0
X2892.TT.EQUITY,0,0,0,0.000653603111823296,0,0.0367270730322341,0,0,0,0.0417536174352477,0,0,0,0,0,0,0,0,0,0.0222748101217032,0,0,0,0,0,0,0,0.328681996405393,0.188064254387405,0,0.215806719105387,0,0.0819531621075014,0,0,0,0,0,0.127396640324722,0,0,0,0,0,0,0,0,0,0,-0.0173587401509479,0
X5880.TT.EQUITY,0,0,0,0,0,0,0.000288956764318858,0,0,0,0,0,0,0,0,0,0.0756615519224408,0.0676070082150006,0,0,0,0,0,0,0,0,0.00574378578923557,0.378140157706554,0,0,0.0965388220299676,0,0,0.00914180099466123,0,0,0,-0.0352076290244588,0,0,0,-0.00702749783774037,0,0,0,0,0.107015180340599,0.145343191657352,0,0,0.181956470411964
X600030.CH.EQUITY,0,0,0,0.047995589491412,0,0,0,0,0.0556783350402112,0,0,0,0,0,0,0,0,0.0255955889812462,-0.0766820806519274,0,0,0,0.467927033138906,0,0.0859594300403592,0,0,0,0,0,0,0,0,0,0.475731524023726,0,0.0888924722628096,0,0,0,-0.371280301393482,0,0,0,-8.67361737988404e-19,0.250588462478317,0,0,0,0,0.129066738376925
X600837.CH.EQUITY,0,0,0,-0.101311251936429,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,-0.0435333520857732,0,0,-0.0577697275402711,0,-0.0359443087652988,0,0.500917652263667,0,0.0484419711995412,0,0,0,0,0,0,0,0.205482619550022,0,0,0.25160105465182,0,0,0,0,0,0,0,0,0,0,0,-0.0352774881114362,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.11421575205927,0,0,0.154700270508125,0.0479148361111899,0,0,0,0,0,0.0991509831891508,0,0,0,0,0,0,0,0,0,0,0,0.294489729765054,0,0.00158679632312275,0.192269406178627,0,0,0.0295299434801784,0,0,0,0,0,0,0,0.143756780004005,0,0
X601211.CH.EQUITY,0,0,0.0528007281981031,0,0,0,0,0,0.0808135886032516,0,0,0,0,0,0,0.165136791580907,0,0,0,0,0.0490535723591829,0,0,0,0,-0.107574145625715,0,0,0,0,0,0,0,0.017339318536196,0.0761714406311269,0.294958673799138,0,0.293896438784101,0.023440327294474,0,0,0,0,0,0,0,0,0,0,0,0
