,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.109365661085526,0,0,0,0,0,0,0,0,0,0,0,0.606560607746996,0.462371139293186,-0.0834549790080318,0,0.0976621689011711,0,0,-0.00144459840798293,0,-0.113851804123466,0,0,-0.246663474678964,0,0,0,-0.434915042838758,0,0,0,0,0,0.0590531886765459,0,0,0,0,0,0,-6.93889390390723e-18,0
X601318.CH.EQUITY,0,0,0,0,0,0.0320721509978218,0,0.00696351285785099,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.337467734514108,0,0.0698522088677811,0,0,0,0,0,0,0,0,0.0847766900065039,0,0,0,0,0,0,0,0,0.320591609336581,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.100358043667591,0,0,0.320787008486049,0,0,0,0,0.0282617212462871,0,0,0,0.0685903766540428,0.190062353086159,0,0.0723545155045017,0,0,0,0,0,0,0.0105784999058413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214119378795174,0,0,0,0,0,0,0,0,0,0,0,0.269821094569702,0,0,-0.109360049362254
X601288.CH.EQUITY,0,0,0.336499360724596,0,0.328380073167382,0.0531666511819652,0,0.0309243619765456,8.67361737988404e-19,0,0,-0.00473877641637833,-2.71050543121376e-20,0.10098587805441,0,0.0443569976521983,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574557080586283,0,0,0,-0.0075230879969205,0,0,0,0,0,0,0.0327034465333232
X601988.CH.EQUITY,0,0,0,0.333377965022906,0,0,0,0,0,0.410983848881616,0,0,-1.38777878078145e-17,0,0.147964959731635,0,0,0,0.0567340386689979,0,0,0,0.0924292567603422,0,0.0255824454301082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35129802213394,0,0,0.0670531796917253,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.151562332850025
X600036.CH.EQUITY,0,0,0.282961517385157,0,0,0,0,0.11062309279466,0.108771554508192,0,-0.00238314506206773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067786220529759,0,0,0,0,0,0,-0.0280467614741518,0,0.232054105944139,0,0,0,0,0,0,0,-0.0396861001453507,0,0,0,0,0,0.125620593263263,0,0,0,0,0.0188613416028406
X601628.CH.EQUITY,0,0,0,0,0,0.341786313809202,0,0,0,0,-0.0736093641411202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186291698299148,0,0,0.0814180032705081,0.0388300257519767,0.0744900817960066,0.0448651398552724,0,-0.0305331745346172,0.0482481436861603,0,0.129068948835305,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0778262166572242,0,0,0,0,0,0,0,0,0,0.0334231748555972,0,0,0,0,0.185360097119043,-0.0589918360413129,0,0,0,0,0,0,0.16108329675073,0,0,0,0,0,0,0.0219218339934848,0.038615906932087,0,0,0,0.17302579487586,0.117240214600772,0,0,0,0,0.444533438744644,0,0,0.0890963587415877,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.113571906934995,0,0,-0.397009276314982,0.889647763162473,0,0.0748718853188144,0,0,0.666335408236282,0,0,0,0,0,0,-0.23581684497227,0,0,0,0,0,0.196532798740183,0.135503902225724,0,0,0,0,0,0.123267061386639,0,0.106327604227402
X601658.CH.Equity,0,0,0,0,0.0098995770676004,0,0,0,0,0,0,0,0,0,0,0,0,0.212195476557176,0.0385802443912248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250017119647787,0,0,0,0,-0.0132527406314063,0,0,0,0,0
