,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.680385906578138,0,0,0,0,0,0,0,0.0693531726939464,0,0.114109585796937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329009169125976,0,0.0622159999467096,0,0,0,0,-0.00067894959073425,-0.0114122641584216,0,0,0,0,-0.011252512269008,0
X601939.CH.EQUITY,0.1776327847249,0,0,0.270432167026604,0,0.322115126791361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717650721965878,0,0,0,0,0,0,0.0983454631536544,0,0,-0.00725638650624532,0,0,0.0233116334440459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372195188374996
X601318.CH.EQUITY,0,0.0175147572538635,0,0.0917758842216957,0,0,0,0,0,0,0,0,0,0,0,0.00884796346132371,0,0,0.192522149395803,0.00916996383960907,0,0,0,0,0.0104296405611583,0.0468507252718999,0,0,0,0,0,0,0,0.214086139649407,0.0165907399704181,0.0441250005774413,0,0,0,0.235099139237926,0,0,0,0,0,0.0861970698025421,0,0,0,0,0,0
X601288.CH.EQUITY,0.124705352476376,0.316221667626221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08889044026604,0,0,0.0622767594527347,0,0,0.0239112950756473,0,0,0,0.0945959722687307,0,0,0,0,0,0,0,0,0,0,0.0711612577391465,0,0,0,0,0,0.129080562102072,0,0,0,0,0,-0.10109344083287
X5.HK.EQUITY,0,0,1.73472347597681e-18,0,0,0.159064594171854,0.0655005290962946,0,0,0,0.453771672796738,0,0,0,0,0,0.25512654183146,0.014329572571622,0,-0.352768692995542,0,0,0,0,0.351413486872274,0,0,0,0,0.183293631102794,0,-0.00309419359483513,0,0,0,0,0,-0.25123761364633,0,0,0,0,0,0,-0.185707498440094,0,0,-0.0576675880525963,0,0,-0.313593555091787,0
X601988.CH.EQUITY,0,0.106223805000449,0,0,0.0990322826018031,0,0,0,0.10685915978569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506996922138716,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436065887314288,0,0,0,0,0,0,0,0,0.1035248923024,0.0874363498023802,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0430283481430005,0,0,0,0,0.260307160978991,0,0,0,0.170355714771933,0,0,0,0.0739884303560334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.00964237628267038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788177062673077,0,0.00558458684052284,0,0.0709540482925763,0,0,0,0,0,0,0,0,0,0,0,0,0.015094313811834,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.124955999015432,0.0918028149258609,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0241884880488541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355019053737861,0,0,0.0424515798054827,0,0,0,0.0862585671086405,0,0,0.115904274943047,0,0,0.0327715149110852,0,0,0
X601328.CH.EQUITY,1.73472347597681e-18,0.0024484644905641,0,0,0,0,0,0.189042470879213,0,0,0,0,0,0.113139604879665,0,0,0,0,0,0,0,0.322226129353755,0,0,0,0,0,0.0403265653173504,0,0,0,0.00478488655629586,-0.00123408611460416,0.0164233712335976,0,0,0,0,0.0724740318762393,0.236264799310088,0,0.0566881125325269,0,0,0,0,0,0,0,0,-0.0186685803309099,0
