,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.532762198053719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213566450521348,0,0,0,0,0,0,0,0,0,0.401239897241876,0,0,0.120924869769184,0,0,0,0,0,-0.148135229092175,0,0,0,0,0,0,0,0,0,0,0,0.0668091456292407,-0.102879227236638,0,0,-0.0242309527496697,0
X601939.CH.EQUITY,0.100620608502569,0,0,0.335941281905402,0,0,0,0,0,0,0,0,0,0.171628522342295,-0.0465858067869419,0,0,0,0,0,0,0,0,0,-0.0944661058922518,0.322485379094038,0,0,0,0,-0.0951917782956728,0,0,0,0,0,0,0,-0.0375890211629722,0,0,-0.0369648970957181,0,0,0,0,0,0.145976914889134,0,0.0603861390669109,-0.0209072044627207,0,0
X601318.CH.EQUITY,0,0,0,0,0.25914689148239,0.0950051527015485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445421035505819,0,0,0,0.13569267706499,0,0,0,0,0,0,0,0,0,0,0.171536226734397,0,0,0,0,0.0844966369144713,0,0.019542846659673,0,0,0,0,0,0,0,0.021092741103086,0,-0.0263669637838997,0
X601288.CH.EQUITY,0,0.654526210132969,0,0,0,0,0,0,0,0,0,0,0.102200043634049,0,0,0,0,0,0,0,0.148487246366666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238589569476488,0,0,0.0268452090394464,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0364182829218082,0,0.376017101190981,0,0,0,0,0,0.312244522912877,0,0,0,0,0,0.108402382516434,0,0,0.112755580382351,0,0.051659267188756,0,0,0,0.173816783501609,0,0,0.0443191733786607,0,0,0,0,0,0,0,0,0,0,-0.546755548675863,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.265975773337269
X600036.CH.EQUITY,0,0.176812857055069,0,0,0,0,0,0,0.0325900435090818,0,0,0,0.0414128126218891,0,0,0,0,0,0.111002224699822,0,0,0,0,0.242877536648148,0,0,0,0,0,0,0,0,0,0.36290274892077,0,0,0,0,0,0,0.0763427940248902,0,0,0,0,0,0.0928350071821802,4.33680868994202e-19,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0655272059564075,0,0,0.0677030689973167,0,0,0.382217657317384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233618124116073,0,0,0,0,0.281926139429914,0,0,0.0316822290697126,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583807056289948,0,0,0,-0.191579898116535,0,0,-0.474253774897458,0.747697598886378,0,0,0.0791374079637533,0.510604836689535,0,0,0.0582813091397582,0,0,0,0,0,0,0,0.086509522522476,0,0,0,0,0,0,0,0,0,0.189617171558803,0.113932607681645,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.304414768787789,0,0,0,0,0,-0.154094622594322,0,0,0,0,0.0889989842498784,0,0,0,0,0.187714269516625,0,0,0,0,0,0,0.115462397673041,0,0,-2.77555756156289e-17,-0.0673916095646548,0,0,0,0,0,0,0,0.0936791676698535,0,0,0,0,0,0,0,0,0,0.1523261000527,0,-0.0416310918377046
X601658.CH.Equity,0,0.148323516984654,0,0,0.00986557288062016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388292967475906,0,0,0,0,0.0131933921943777,0,0,0,0,0,0,0,0,0,0,0,0.188605237320567,0,0.113027576725455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.242527905850551,0.20428360346784,0,0,0,0,0,0,0,0,0,0.0883714581554334,0,0.015659859486412,0.161770703113349,0,0,0,0,0,0,0,0,-0.0447761213219278,0.00157772173692458,0.0598486095544832,0,0,0,0.0105514626683118,0.0819925118325986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11656259789296,0,0,0
X388.HK.EQUITY,0,0,0.295184207088306,0,0,0,0.100032012626795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108571062182166,0,0,0.0330792063759245,0,0,0,0,0,0,0,0,0,0,0,0,0.0192747334297728,0,0,0,0,0
